ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10057,2,1,0,0,0,0,0,0,0,0,0,0
10057,3,1,0,0,0,0,0,0,0,0,0,0
10058,1,1,0,0,0,0,0,0,0,0,0,0
10058,2,1,0,0,0,0,0,0,0,0,0,0
10059,0,1,8,8,8,8,8,8,8,8,8,8
10059,1,1,17,0,0,0,0,10,0,0,0,0
10060,1,1,0,0,0,0,0,0,0,0,0,0
10060,2,1,0,0,0,0,0,0,0,0,0,0
10061,1,1,17,17,17,17,17,17,17,17,17,17
10062,1,1,0,0,0,0,0,0,0,0,0,0
10063,1,1,11,19,8,9,22,15,3,10,10,16
10064,0,1,0,0,0,0,0,0,0,0,0,0
10064,1,1,0,0,0,0,23,0,0,12,0,0
10065,1,1,0,0,0,0,0,0,0,0,0,0
10065,2,1,0,0,0,0,0,0,0,0,0,0
10066,1,1,4,4,4,4,4,4,4,4,4,4
10067,1,1,0,0,0,0,0,0,0,0,0,0
10067,2,1,0,0,0,6,0,0,0,0,0,0
10067,3,1,0,0,0,0,0,0,0,0,0,0
10067,4,1,0,0,0,0,0,0,0,0,0,0
10068,1,1,0,0,0,12,0,0,0,0,0,0
10069,0,1,21,21,21,21,21,21,21,21,21,21
10069,1,1,0,0,0,0,0,0,0,0,0,0
10069,2,1,13,13,13,13,13,13,13,13,13,13
10070,1,1,20,20,20,20,20,20,20,20,20,20
10071,1,1,0,0,13,0,0,0,0,0,0,0
10071,2,1,0,0,0,0,0,0,0,0,0,22
10072,0,1,18,32,0,0,13,26,0,15,0,0
10072,1,1,0,0,0,0,0,0,0,6,0,0
10073,0,1,19,33,0,0,32,0,19,0,5,0
10073,1,1,0,0,0,0,12,0,0,0,16,0
10074,1,1,12,0,17,0,0,0,19,0,0,14
10074,2,1,0,0,38,0,0,0,0,8,9,0
10074,3,1,0,9,0,0,0,0,0,0,0,0
10074,4,1,0,19,23,0,0,23,29,0,0,7
10075,1,1,21,21,21,21,21,21,21,21,21,21
10075,2,1,0,0,0,22,0,0,0,0,0,0
10076,0,1,0,0,0,0,0,0,0,0,0,0
10076,1,1,0,0,0,0,0,0,0,0,0,0
10077,0,1,22,22,22,22,22,22,22,22,22,22
10077,1,1,0,0,0,0,0,0,0,0,0,0
10078,1,1,0,0,0,0,0,0,0,0,0,0
10079,1,1,7,7,7,7,7,7,7,7,7,7
10080,1,1,20,20,20,20,20,20,20,20,20,20
10081,1,1,25,25,25,25,25,25,25,25,25,25
10081,2,1,0,0,0,0,0,0,0,0,0,0
10082,1,1,0,0,0,0,20,16,0,0,0,13
10083,1,1,14,14,14,14,14,14,14,14,14,14
10083,2,1,20,20,20,20,20,20,20,20,20,20
10084,1,1,0,0,0,0,0,0,0,0,0,0
10084,2,1,11,11,11,11,11,11,11,11,11,11
10084,3,1,0,0,0,0,0,0,0,0,0,0
10085,1,1,34,34,34,34,34,34,34,34,34,34
10086,1,1,0,0,0,14,0,0,0,0,0,0
10086,2,1,13,13,13,13,13,13,13,13,13,13
10087,1,1,0,0,0,0,0,0,0,0,0,0
10088,0,1,0,0,0,28,0,0,31,0,20,16
10088,1,1,0,0,0,0,0,0,0,0,0,0
10089,1,1,22,22,22,22,22,22,22,22,22,22
10090,0,1,0,0,15,0,0,21,10,14,0,0
10090,1,1,0,0,0,0,0,0,0,0,0,0
10090,2,1,0,0,0,0,0,0,0,0,0,0
10091,1,1,0,13,0,0,0,0,0,0,0,0
10091,2,1,0,0,0,0,0,0,0,0,0,0
10092,1,1,5,0,0,0,0,0,0,0,0,0
10092,2,1,0,0,0,0,0,0,0,0,0,0
10093,1,1,27,0,0,20,5,9,18,0,0,24
10093,2,1,38,0,0,22,0,0,0,0,0,15
10093,3,1,0,0,4,0,0,0,0,0,0,0
10094,1,1,0,0,0,0,0,0,0,0,0,0
10095,1,1,0,0,0,0,0,0,0,0,0,0
10095,2,1,0,0,0,0,0,0,0,0,0,0
10095,3,1,0,0,0,0,0,0,0,0,0,0
10095,4,1,0,0,0,0,0,0,0,0,0,0
10095,5,1,0,0,0,0,0,0,0,0,0,18
10095,6,1,0,0,0,0,0,0,0,0,0,0
10095,7,1,0,0,0,0,0,0,0,0,0,0
10095,8,1,0,0,0,0,0,0,0,0,0,0
10095,9,1,0,0,0,0,0,0,0,0,0,0
10095,10,1,0,0,0,0,0,0,0,0,0,0
10096,1,1,23,23,23,23,23,23,23,23,23,23
10097,1,1,0,0,0,0,0,0,0,0,0,0
10097,2,1,0,0,0,0,0,0,0,0,0,0
10098,0,1,0,0,0,0,0,0,0,0,0,0
10098,1,1,0,0,0,0,0,0,0,0,0,0
10099,1,1,0,0,0,0,18,0,0,0,0,0
10101,1,1,14,14,14,14,14,14,14,14,14,14
10102,1,1,8,8,8,8,8,8,8,8,8,8
10103,1,1,13,13,13,13,13,13,13,13,13,13
10104,1,1,0,0,0,0,0,0,0,0,0,0
10104,2,1,0,0,0,0,0,0,0,0,0,0
10105,1,1,12,12,12,12,12,12,12,12,12,12
10106,1,1,6,6,6,6,6,6,6,6,6,6
10107,1,1,9,12,12,4,6,23,11,36,19,20
10107,2,1,0,0,0,0,0,0,0,0,0,0
10108,1,1,23,0,0,8,0,0,7,0,8,16
10108,2,1,0,0,0,0,0,0,0,0,0,0
10109,1,1,0,0,0,0,0,0,0,0,0,0
10109,2,1,0,0,0,4,0,0,0,0,0,0
10109,3,1,0,0,0,0,0,0,7,0,0,0
10110,1,1,0,0,0,0,0,0,0,0,0,0
10111,1,1,9,9,9,9,9,9,9,9,9,9
10112,1,1,0,0,0,0,0,0,0,0,0,0
10113,0,1,0,25,4,27,17,23,22,0,0,12
10113,1,1,0,0,0,0,0,0,0,0,0,0
10114,1,1,15,15,15,15,15,15,15,15,15,15
10114,2,1,0,0,0,0,0,0,0,0,0,0
10115,1,1,0,0,0,0,0,0,0,10,0,0
10116,1,1,0,0,0,0,0,0,0,0,0,0
10116,2,1,0,0,0,0,0,0,0,0,0,0
10117,0,1,0,0,0,0,0,0,0,0,0,0
10117,2,1,0,0,0,0,0,0,0,0,0,0
10118,1,1,0,0,0,0,0,0,0,0,0,0
10119,1,1,0,0,0,0,0,0,0,0,0,0
10119,2,1,0,0,0,0,0,0,0,0,0,12
10120,1,1,0,0,0,0,0,0,0,0,0,0
10120,2,1,0,0,0,0,0,0,0,0,0,0
10121,1,1,0,0,0,0,0,0,0,0,0,0
10121,2,1,0,0,0,0,0,0,0,0,0,0
10122,1,1,0,0,0,0,0,0,0,0,0,0
10123,1,1,0,0,0,0,0,0,0,0,0,0
10123,2,1,0,0,0,0,0,0,0,0,0,0
10124,0,1,0,0,0,0,0,0,0,0,0,0
10124,1,1,0,0,0,0,0,0,0,0,0,0
10125,1,1,0,0,0,0,0,0,0,0,0,0
10126,1,1,0,0,0,0,0,0,0,0,0,0
10126,2,1,0,0,0,0,0,0,0,0,0,0
10127,1,1,0,0,0,0,0,0,0,0,0,0
10127,2,1,0,0,0,0,0,0,0,0,0,0
10128,0,1,0,0,0,0,0,0,0,0,0,0
10128,1,1,0,12,0,0,0,0,0,29,6,0
10129,1,1,0,0,0,0,0,0,0,0,0,0
10129,2,1,0,0,0,0,0,0,0,0,0,0
10130,1,1,0,0,0,0,0,0,0,0,0,0
10130,2,1,0,0,0,0,0,0,0,0,0,0
10131,0,1,20,20,20,20,20,20,20,20,20,20
10131,1,1,0,0,0,0,0,0,0,0,0,0
10132,1,1,0,0,0,0,4,0,0,0,13,0
10132,2,1,0,0,0,0,0,0,0,0,0,0
10133,1,1,0,0,0,0,0,0,0,0,0,0
10133,2,1,0,0,0,0,0,0,0,0,0,0
10134,1,1,0,0,0,0,0,0,0,0,0,0
10134,2,1,0,29,10,0,0,0,0,8,0,0
10135,1,1,19,19,19,19,19,19,19,19,19,19
10135,2,1,0,8,0,0,0,10,0,0,0,0
10135,3,1,0,14,0,0,21,0,0,0,0,21
10136,1,1,10,10,10,10,10,10,10,10,10,10
10137,0,1,0,0,0,0,0,0,0,0,0,0
10137,1,1,0,0,0,0,0,0,0,0,0,0
10138,1,1,0,0,0,0,0,0,0,0,0,0
10138,2,1,0,0,0,0,0,0,0,0,0,0
10138,3,1,0,0,0,0,0,0,0,0,0,0
10139,1,1,0,0,0,0,0,0,0,0,0,0
10139,2,1,0,0,0,0,0,0,0,0,0,0
10139,3,1,0,0,0,0,0,0,0,0,0,0
10140,1,1,4,4,4,4,4,4,4,4,4,4
10140,2,1,7,0,0,0,0,0,0,0,0,0
10141,1,1,0,0,0,0,0,0,0,0,0,0
10141,2,1,0,0,0,0,0,0,0,0,0,0
10141,3,1,0,0,0,0,0,0,0,0,0,0
10141,4,1,0,0,0,0,0,0,0,0,0,0
10141,5,1,0,0,0,0,0,0,0,0,0,0
10141,6,1,0,0,0,0,0,0,0,0,0,0
10141,7,1,0,0,0,0,0,0,0,0,0,0
10141,8,1,0,0,0,0,0,0,0,0,0,0
10141,9,1,0,0,0,0,0,0,0,0,0,0
10142,1,1,25,27,31,8,18,28,0,21,6,8
10143,1,1,1,1,1,1,1,1,1,1,1,1
10143,2,1,8,8,8,8,8,8,8,8,8,8
10144,1,1,18,18,18,18,18,18,18,18,18,18
10144,2,1,0,0,0,0,0,0,0,0,0,0
10145,1,1,0,0,0,0,0,0,0,0,0,0
10145,2,1,0,0,0,0,0,0,13,0,0,8
10146,1,1,9,9,9,9,9,9,9,9,9,9
10146,2,1,25,0,15,9,0,0,0,0,18,42
10146,3,1,0,0,0,0,0,0,0,0,0,0
10147,1,1,0,0,0,0,0,0,0,0,0,0
10147,2,1,0,0,0,0,0,0,0,0,0,0
10148,0,1,0,0,0,0,0,0,0,0,0,0
10148,1,1,0,0,0,0,0,0,0,0,0,0
10149,1,1,21,21,21,21,21,21,21,21,21,21
10150,1,1,0,0,0,0,0,0,0,0,0,0
10150,2,1,0,0,0,0,0,0,0,0,0,0
10151,1,1,7,7,7,7,7,7,7,7,7,7
10152,1,1,0,0,0,20,0,0,0,0,0,0
10152,2,1,0,0,0,0,0,0,0,0,0,0
10153,1,1,0,0,0,0,0,0,0,0,0,0
10153,2,1,0,19,16,0,0,0,0,22,0,0
10153,3,1,0,0,0,0,0,0,0,0,0,0
10153,4,1,0,0,0,0,0,0,0,0,0,0
10153,5,1,0,0,0,0,0,0,0,0,0,0
10154,1,1,0,0,0,0,0,0,0,0,0,0
10155,1,1,20,16,0,36,15,0,10,0,0,0
10155,2,1,0,0,0,0,0,0,0,0,0,0
10156,1,1,0,0,0,0,0,0,0,0,0,0
10157,1,1,8,0,0,0,10,0,0,0,0,0
10157,2,1,30,0,0,0,0,0,0,0,0,0
10158,1,1,0,0,0,0,0,0,0,0,0,0
10158,2,1,0,10,0,0,0,0,0,0,0,0
10159,1,1,0,0,0,0,0,0,0,0,0,0
10160,0,1,3,16,25,9,44,43,8,15,48,33
10160,1,1,0,0,0,0,0,0,0,0,0,0
10161,1,1,0,0,0,0,0,0,0,0,0,0
10161,2,1,0,0,0,0,0,0,0,0,0,0
10162,0,1,0,0,0,0,0,0,0,0,13,0
10162,1,1,0,0,15,0,0,0,0,0,0,0
10163,1,1,0,0,0,0,0,0,0,0,0,0
10163,2,1,0,0,0,0,0,0,0,0,0,0
10164,1,1,0,22,0,0,0,0,0,0,0,0
10165,1,1,0,0,0,0,0,0,0,0,0,0
10165,2,1,0,0,0,0,0,0,0,0,0,0
10166,1,1,11,11,11,11,11,11,11,11,11,11
10167,1,1,21,21,21,21,21,21,21,21,21,21
10168,1,1,6,22,2,13,18,15,13,17,25,11
10169,1,1,0,0,0,0,0,0,0,0,0,0
10169,2,1,0,0,0,0,0,0,0,0,0,0
10170,1,1,0,0,0,0,0,0,0,0,0,0
10170,2,1,0,0,0,0,0,0,0,0,0,0
10171,1,1,0,0,0,0,0,0,0,0,0,0
10171,2,1,0,0,0,0,0,0,0,0,0,0
10172,1,1,0,0,0,0,0,0,0,0,0,0
10172,2,1,0,0,0,0,0,0,0,0,0,0
10173,1,1,23,23,23,23,23,23,23,23,23,23
10173,2,1,0,0,0,6,20,0,0,0,13,0
10174,1,1,0,0,0,0,0,0,0,0,0,0
10174,2,1,0,0,0,0,0,0,0,0,0,0
10175,1,1,0,0,0,0,0,0,0,0,0,0
10176,1,1,0,0,0,0,0,0,0,0,0,0
10177,1,1,0,0,0,0,17,0,0,0,0,0
10177,2,1,0,0,0,0,0,0,0,0,0,0
10178,0,1,17,12,30,23,25,2,12,24,33,17
10178,1,1,12,13,16,0,14,14,19,0,7,22
10179,1,1,0,0,0,0,0,0,0,0,0,0
10179,2,1,0,0,0,0,0,10,0,0,0,0
10180,1,1,0,0,0,0,0,0,0,0,0,0
10180,2,1,0,0,0,0,0,0,0,0,0,0
10180,3,1,0,0,0,0,0,0,0,0,0,0
10181,1,1,0,0,0,0,0,0,0,0,0,0
10182,1,1,0,0,0,0,0,0,0,0,0,0
10182,2,1,0,0,0,0,0,0,0,0,0,0
10183,0,1,22,18,0,21,22,0,0,18,0,8
10183,1,1,13,0,0,0,0,0,0,0,0,0
10184,1,1,12,12,12,12,12,12,12,12,12,12
10185,1,1,0,0,0,0,0,0,0,0,0,0
10186,1,1,0,0,0,0,0,0,0,0,0,0
10187,1,1,12,12,12,12,12,12,12,12,12,12
10188,1,1,0,0,0,0,0,0,0,0,0,0
10188,2,1,0,0,0,0,0,0,0,0,0,0
10189,1,1,0,0,0,0,0,0,0,0,0,0
10189,2,1,0,0,0,0,0,0,0,0,0,0
10190,1,1,0,11,0,0,0,0,0,0,0,0
10190,2,1,0,0,0,0,0,0,0,0,0,0
10191,1,1,1,1,1,1,1,1,1,1,1,1
10192,1,1,0,0,0,0,0,0,0,0,0,0
10193,1,1,0,0,0,0,0,0,0,0,0,0
10193,2,1,0,0,0,0,0,0,0,0,0,0
10194,1,1,18,18,18,18,18,18,18,18,18,18
10194,2,1,0,0,0,25,0,21,0,19,0,27
10195,1,1,21,27,0,13,0,7,8,16,12,0
10195,2,1,0,0,0,15,0,0,0,0,0,0
10196,1,1,14,14,14,14,14,14,14,14,14,14
10197,1,1,0,0,0,0,0,0,0,0,0,0
10197,2,1,8,8,8,8,8,8,8,8,8,8
10198,1,1,0,0,0,0,0,0,0,0,0,0
10198,2,1,0,0,0,0,0,0,0,0,0,0
10199,1,1,0,0,0,0,0,0,0,0,0,0
10199,2,1,0,0,0,0,0,0,0,0,0,0
10200,1,1,0,0,0,0,0,0,0,0,0,0
10200,2,1,0,0,0,0,0,0,0,0,0,0
10201,1,1,0,0,0,0,0,0,0,0,0,0
10202,1,1,0,0,0,0,0,0,0,0,0,0
10202,2,1,0,0,0,0,0,0,21,0,0,0
10203,1,1,36,36,36,36,36,36,36,36,36,36
10203,2,1,0,0,0,0,0,0,0,0,0,0
10204,1,1,0,0,0,0,0,0,0,0,0,0
10205,1,1,11,11,11,11,11,11,11,11,11,11
10206,0,1,24,24,24,24,24,24,24,24,24,24
10206,1,1,0,0,0,26,0,0,0,0,0,0
10207,1,1,11,0,0,22,22,0,0,0,18,7
10207,2,1,0,0,0,0,0,0,0,0,0,0
10208,0,1,0,0,0,0,0,0,0,0,0,0
10208,1,1,0,0,0,9,10,0,0,0,0,0
10209,1,1,0,0,0,0,0,0,0,0,0,0
10209,2,1,0,0,0,0,0,0,0,0,0,0
10210,1,1,28,0,30,16,42,0,0,0,16,0
10211,1,1,0,0,0,0,0,0,0,0,14,0
10211,2,1,0,0,0,0,0,0,0,0,0,0
10212,1,1,0,0,0,0,0,0,0,0,0,0
10213,1,1,0,4,0,0,0,28,0,0,0,19
10213,2,1,0,0,0,0,0,0,0,0,0,0
10214,1,1,0,0,0,0,0,0,0,0,0,0
10214,2,1,18,18,18,18,18,18,18,18,18,18
10215,1,1,0,0,19,0,17,0,19,0,0,0
10216,1,1,0,0,0,0,0,0,0,0,0,0
10217,1,1,17,17,17,17,17,17,17,17,17,17
10218,1,1,0,0,0,20,0,0,0,0,0,0
10218,2,1,0,0,0,0,0,0,0,0,31,0
10219,1,1,0,0,0,0,0,0,0,0,0,0
10219,2,1,0,0,0,0,0,0,0,0,0,0
10220,1,1,0,0,0,0,0,0,0,0,0,0
10221,1,1,0,0,0,0,0,0,0,0,0,0
10222,1,1,0,0,0,0,0,0,0,0,0,0
10222,2,1,0,0,0,0,0,0,0,0,0,0
10223,1,1,19,19,19,19,19,19,19,19,19,19
10223,2,1,0,0,0,0,0,0,0,0,0,0
10224,0,1,0,38,41,0,0,0,0,0,21,12
10224,1,1,0,0,0,0,0,0,0,12,0,0
10225,1,1,15,15,15,15,15,15,15,15,15,15
10225,2,1,0,0,0,0,0,0,0,0,0,0
10226,1,1,0,0,0,0,0,0,0,0,0,0
10227,1,1,0,32,0,0,18,8,0,0,0,0
10228,1,1,0,0,0,0,0,0,0,0,0,0
10229,1,1,0,0,0,0,0,0,0,0,0,0
10229,2,1,0,0,0,0,0,0,0,0,0,0
10230,1,1,0,13,0,25,23,0,0,0,24,0
10231,1,1,20,0,0,0,0,0,0,0,0,0
10232,1,1,0,0,0,0,0,0,0,0,0,0
10233,1,1,0,0,0,0,0,0,0,0,0,0
10234,0,1,0,0,0,0,0,0,0,0,0,0
10234,1,1,0,0,0,0,0,0,0,0,0,0
10235,1,1,0,0,0,0,0,0,0,0,0,0
10236,1,1,0,0,0,0,0,36,0,0,0,0
10237,1,1,18,8,10,17,28,22,12,0,17,14
10238,1,1,1,1,1,1,1,1,1,1,1,1
10239,1,1,0,0,0,0,0,0,0,0,0,0
10240,1,1,0,0,0,0,0,0,0,0,0,0
10241,1,1,0,0,0,0,0,0,0,0,0,0
10241,2,1,0,0,0,0,0,0,0,0,0,0
10242,1,1,0,0,0,0,0,0,0,0,0,0
10243,1,1,0,0,0,0,0,0,0,0,0,0
10244,1,1,0,0,0,0,0,0,0,0,0,0
10244,2,1,0,0,0,0,0,0,0,0,0,0
10245,1,1,21,21,21,21,21,21,21,21,21,21
10246,1,1,8,0,32,17,20,22,18,0,17,21
10247,0,1,0,0,0,0,0,0,0,0,0,0
10247,1,1,0,0,18,4,0,0,21,0,0,11
10248,1,1,0,0,0,0,0,0,0,0,0,0
10249,1,1,0,0,0,0,0,0,0,0,0,0
10250,1,1,0,0,0,0,13,0,0,0,0,0
10250,2,1,0,0,0,0,17,0,0,0,0,0
10251,1,1,0,0,0,0,0,0,0,0,0,0
10251,2,1,0,0,0,0,0,0,0,0,0,0
10252,1,1,27,14,0,0,28,11,0,6,27,18
10252,2,1,0,0,0,0,0,0,0,0,0,0
10253,1,1,9,9,9,9,9,9,9,9,9,9
10253,2,1,0,0,0,0,0,0,0,0,0,0
10254,1,1,0,0,0,0,0,0,0,0,0,0
10255,1,1,14,25,20,13,18,28,23,6,18,15
10256,0,1,27,27,27,27,27,27,27,27,27,27
10256,1,1,0,0,0,13,0,9,0,0,13,0
10257,1,1,0,0,0,0,0,0,0,0,0,0
10258,1,1,0,0,0,0,0,0,0,0,0,0
10258,2,1,0,0,0,0,0,0,0,0,0,0
10259,1,1,0,0,0,0,0,23,0,9,18,10
10259,2,1,0,0,0,0,0,0,0,0,0,0
10260,1,1,0,0,0,0,0,0,0,0,0,0
10261,1,1,10,10,10,10,10,10,10,10,10,10
10262,1,1,16,16,16,16,16,16,16,16,16,16
10263,1,1,0,0,0,0,0,0,0,0,0,0
10263,2,1,0,0,0,0,0,0,0,0,0,0
10264,0,1,7,7,7,7,7,7,7,7,7,7
10264,1,1,0,0,0,0,0,0,0,0,0,0
10265,1,1,0,0,0,0,0,0,0,0,0,0
10265,2,1,0,21,0,0,0,6,0,0,0,0
10266,1,1,0,0,0,0,0,0,0,0,0,0
10266,2,1,0,0,0,0,0,0,0,0,0,0
10267,1,1,0,0,0,0,0,0,0,0,0,22
10267,2,1,0,0,0,0,0,0,0,0,0,0
10268,0,1,0,0,0,0,0,0,0,0,0,0
10268,0,2,0,3,0,0,0,34,0,28,0,56
10268,1,1,0,0,0,0,0,0,0,0,0,0
10269,1,1,0,0,0,0,0,0,0,0,0,0
10269,2,1,0,0,0,0,0,0,0,0,0,0
10269,3,1,0,0,0,0,0,0,0,0,0,0
10270,1,1,22,22,22,22,22,22,22,22,22,22
10270,2,1,0,0,0,0,0,0,0,0,0,0
10270,3,1,0,0,0,0,0,0,0,0,0,0
10271,1,1,0,0,0,0,0,0,0,10,0,0
10271,2,1,0,0,0,0,0,0,0,0,3,0
10272,1,1,19,19,19,19,19,19,19,19,19,19
10272,2,1,0,0,0,0,0,22,0,0,0,0
10273,1,1,13,0,0,0,0,0,0,0,0,0
10274,1,1,0,0,0,0,0,0,8,0,0,0
10275,1,1,0,0,0,0,0,0,0,0,0,0
10276,1,1,24,24,24,24,24,24,24,24,24,24
10277,1,1,0,0,0,0,0,0,0,2,0,0
10277,2,1,0,0,0,0,0,0,0,0,0,0
10278,0,1,0,0,0,0,0,0,0,0,0,0
10278,1,1,0,0,0,0,0,0,0,0,0,0
10279,1,1,0,0,0,0,0,0,0,0,0,0
10279,2,1,0,0,0,0,0,0,0,0,0,0
10280,1,1,32,32,32,32,32,32,32,32,32,32
10280,2,1,0,0,0,0,0,0,0,0,0,0
10281,1,1,0,0,0,0,0,0,0,0,0,0
10282,0,1,0,0,0,64,0,0,0,0,0,0
10282,1,1,0,0,0,0,18,25,0,0,0,0
10283,0,1,29,29,29,29,29,29,29,29,29,29
10283,1,1,1,1,1,1,1,1,1,1,1,1
10284,1,1,0,0,0,0,0,0,0,0,0,0
10284,2,1,0,0,0,0,0,0,16,0,0,0
10285,1,1,0,0,0,0,0,0,0,0,0,0
10285,2,1,0,0,0,0,0,0,0,0,0,0
10285,3,1,0,0,0,0,0,0,0,0,0,0
10286,1,1,0,0,0,0,0,0,0,0,0,0
10286,2,1,0,0,0,0,0,0,0,0,0,0
10286,3,1,0,0,0,0,0,0,0,0,0,0
10286,4,1,0,0,0,0,0,0,0,0,0,0
10286,5,1,0,0,0,0,0,0,0,0,10,0
10287,1,1,0,0,0,0,0,0,0,0,0,0
10287,2,1,0,0,0,0,0,0,0,0,0,0
10288,1,1,23,0,0,0,18,0,12,0,0,0
10289,1,1,0,0,0,0,0,0,0,0,0,0
10290,1,1,0,0,0,0,0,0,0,0,0,0
10290,2,1,0,0,0,0,0,0,0,0,0,0
10291,0,1,10,10,10,10,10,10,10,10,10,10
10291,1,1,21,20,0,25,18,0,17,51,18,0
10292,0,1,0,21,18,0,14,33,0,0,22,0
10292,1,1,0,0,0,0,0,0,0,0,0,0
10293,1,1,0,0,0,0,0,21,0,14,0,0
10294,1,1,0,0,0,0,20,0,0,0,0,19
10295,1,1,0,0,0,0,0,0,0,0,0,0
10296,1,1,24,24,24,24,24,24,24,24,24,24
10297,1,1,0,0,0,0,0,0,0,0,0,0
10297,2,1,0,0,0,0,0,0,0,0,0,0
10298,0,1,20,20,20,20,20,20,20,20,20,20
10298,1,1,0,0,0,0,0,0,0,0,0,0
10299,1,1,0,0,0,0,0,0,0,0,0,0
10299,2,1,0,0,0,0,0,0,0,0,0,0
10300,0,1,0,0,0,0,0,0,0,0,0,0
10300,1,1,16,6,5,4,22,22,14,11,0,0
10301,1,1,30,30,30,30,30,30,30,30,30,30
