STATE,ST_CASE,VEH_NO,PVE_FORMS,PNUMOCCS,PDAY,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PREG_STAT,POWNER,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PUNDERIDE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PDEATHS
4,40002,2,1,1,1,1,9,2,14,0,2,0,49,6,49,32,49032,4,2005,1NXBR32E85Z4,1,N,X,B,R,3,2,E,8,5,Z,4,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,4,6,2,12,0,0,0,1
4,40002,3,1,1,1,1,9,2,14,0,2,0,4,6,20,23,20023,6,2006,3GNDA23P36S6,3,G,N,D,A,2,3,P,3,6,S,6,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,6,2,12,0,0,0,0
4,40067,4,3,0,5,2,9,25,12,6,3,0,4,6,20,421,20421,15,2003,1GNEC13T63R2,1,G,N,E,C,1,3,T,6,3,R,2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,8,8,12,0,0,0,0
4,40131,2,1,0,2,3,17,12,38,0,3,0,4,6,6,421,6421,15,2007,1A8HX58P87F5,1,A,8,H,X,5,8,P,8,7,F,5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,8,8,12,0,0,0,0
4,40131,3,1,0,2,3,17,12,38,0,3,0,4,6,20,37,20037,4,2006,1G1ZT51846F1,1,G,1,Z,T,5,1,8,4,6,F,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,8,8,12,0,0,0,0
4,40131,4,1,0,2,3,17,12,38,0,3,0,4,6,7,422,7422,15,2005,1D8HB48D35F5,1,D,8,H,B,4,8,D,3,5,F,5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,8,8,12,0,0,0,0
4,40131,5,1,0,2,3,17,12,38,0,3,0,4,6,6,441,6441,20,2003,2C8GP54L33R1,2,C,8,G,P,5,4,L,3,3,R,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,8,8,12,0,0,0,0
4,40153,2,1,0,15,3,17,26,14,0,2,0,4,6,12,481,12481,31,2002,1FTSW31F72EC,1,F,T,S,W,3,1,F,7,2,E,C,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,82,2,5,12,0,0,0,0
4,40170,2,1,0,26,3,21,2,59,0,3,0,4,6,82,884,82884,66,2012,1FUJGHDV6CSB,1,F,U,J,G,H,D,V,6,C,S,B,0,57,2508912,572508912,3,5,96,1,0,0,0,0,0,0,0,0,12,2,5,12,0,0,0,0
4,40178,2,1,0,30,3,16,55,14,0,2,0,4,6,6,52,6052,6,2002,3C8FY68BX2T2,3,C,8,F,Y,6,8,B,X,2,T,2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,83,6,2,12,0,0,0,0
4,40178,3,1,0,30,3,16,55,14,0,2,0,4,6,20,16,20016,2,2000,3G1JC1248YS1,3,G,1,J,C,1,2,4,8,Y,S,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0
4,40178,4,1,0,30,3,16,55,14,0,2,0,4,6,12,481,12481,31,2000,1FTRX17W3YNC,1,F,T,R,X,1,7,W,3,Y,N,C,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,83,4,5,12,0,0,0,0
4,40178,5,1,0,30,3,16,55,14,0,2,0,8,6,49,404,49404,14,2008,JTEBU11F68K0,J,T,E,B,U,1,1,F,6,8,K,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,4,5,12,0,0,0,0
4,40178,6,1,0,30,3,16,55,14,0,2,0,4,6,20,2,20002,4,2004,2G1WF52E8493,2,G,1,W,F,5,2,E,8,4,9,3,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,4,5,12,0,0,0,0
4,40272,2,1,0,25,4,7,48,14,0,2,0,4,6,12,481,12481,31,1994,2FTHF25G3RCA,2,F,T,H,F,2,5,G,3,R,C,A,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,4,3,12,0,0,0,0
4,40303,2,1,0,25,5,17,0,14,0,2,0,4,6,12,16,12016,4,1998,2FAFP73W6WX1,2,F,A,F,P,7,3,W,6,W,X,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,2,5,12,0,0,0,0
4,40339,2,1,0,14,5,20,15,8,0,2,0,4,6,20,481,20481,31,2007,1GCHK29U67E1,1,G,C,H,K,2,9,U,6,7,E,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,62,2,5,12,0,0,0,0
4,40339,3,1,0,14,5,20,15,8,0,2,0,4,6,20,481,20481,31,2013,1GCRCPEX0DZ1,1,G,C,R,C,P,E,X,0,D,Z,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,63,6,2,12,0,0,0,0
4,40343,2,1,0,16,5,4,36,33,0,3,0,4,6,12,481,12481,31,1972,F10YKN03820,F,1,0,Y,K,N,0,3,8,2,0,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,61,6,2,12,0,0,0,0
4,40350,3,2,0,24,5,22,0,12,99,3,0,99,6,99,999,99999,99,9999,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,99,9,9,12,0,0,0,0
4,40350,4,2,0,24,5,22,0,12,99,3,0,99,6,99,999,99999,99,9999,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,99,9,9,12,0,0,0,0
4,40382,2,1,2,19,6,16,57,14,0,2,0,18,6,84,881,84881,66,2012,1HSDJSJR0CJ6,1,H,S,D,J,S,J,R,0,C,J,6,1,57,899748,57899748,3,6,3,1,0,0,0,0,0,0,0,0,6,2,5,12,0,0,0,0
4,40433,2,1,1,9,7,16,29,14,0,2,0,4,6,12,481,12481,31,2011,1FTFW1ET2BFB,1,F,T,F,W,1,E,T,2,B,F,B,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,63,6,2,12,0,0,0,0
4,40438,3,2,0,12,7,20,22,12,1,2,0,4,6,82,881,82881,62,9999,1FVACWDT9GHG,1,F,V,A,C,W,D,T,9,G,H,G,0,57,T12843,57T12843,2,1,3,1,0,0,0,0,0,0,0,0,83,6,2,12,0,0,0,0
4,40448,2,1,1,27,7,6,7,18,0,2,0,19,6,84,881,84881,66,2014,3HSDGSJN1EN0,3,H,S,D,G,S,J,N,1,E,N,0,1,57,149350,57149350,3,6,1,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0
4,40590,2,1,0,5,9,21,33,34,0,3,0,4,6,20,481,20481,31,1991,2GCEC19K6M12,2,G,C,E,C,1,9,K,6,M,1,2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,13,4,5,12,0,0,0,0
4,40613,2,1,0,27,9,1,23,31,0,3,0,92,6,42,42,42042,4,2007,WDBRF52H37F8,W,D,B,R,F,5,2,H,3,7,F,8,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,6,5,12,0,0,0,0
4,40613,3,1,0,27,9,1,23,31,0,3,0,92,6,6,51,6051,4,2006,2C3LA63H26H4,2,C,3,L,A,6,3,H,2,6,H,4,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,6,5,12,0,0,0,0
4,40613,4,1,0,27,9,1,23,31,0,3,0,92,6,30,46,30046,4,2006,WVWEK73C76P1,W,V,W,E,K,7,3,C,7,6,P,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,2,5,12,0,0,0,0
4,40613,5,1,0,27,9,1,23,31,0,3,0,92,6,63,34,63034,4,2011,KNAGR4A6XB51,K,N,A,G,R,4,A,6,X,B,5,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,2,5,12,0,0,0,0
4,40613,6,1,0,27,9,1,23,31,0,3,0,92,6,63,34,63034,4,2011,KNAGM4A76B51,K,N,A,G,M,4,A,7,6,B,5,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,2,5,12,0,0,0,0
4,40613,7,1,0,27,9,1,23,31,0,3,0,92,6,37,471,37471,30,2006,2HJYK16536H5,2,H,J,Y,K,1,6,5,3,6,H,5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,2,5,12,0,0,0,0
4,40613,8,1,0,27,9,1,23,31,0,3,0,92,6,35,48,35048,2,2008,JN1BZ34D78M7,J,N,1,B,Z,3,4,D,7,8,M,7,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,2,5,12,0,0,0,0
4,40670,3,2,0,19,10,16,27,12,6,3,0,4,6,12,37,12037,4,2009,1FAHP37NX9W1,1,F,A,H,P,3,7,N,X,9,W,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,2,5,12,0,0,0,0
4,40726,2,1,0,29,10,23,53,9,0,3,0,99,6,49,40,49040,4,1999,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,99,9,9,12,0,0,0,0
4,40726,3,1,0,29,10,23,53,9,0,3,0,99,6,12,422,12422,15,1999,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,99,9,9,12,0,0,0,0
5,50308,2,1,2,22,8,4,45,14,0,2,0,26,6,84,884,84884,66,2010,3HSCUAPR6AN2,3,H,S,C,U,A,P,R,6,A,N,2,1,57,2410944MI,572410944MI,3,6,1,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0
5,50308,3,1,1,22,8,4,45,14,0,2,0,12,6,87,884,87884,66,2001,1NP5DB9X71N5,1,N,P,5,D,B,9,X,7,1,N,5,1,57,770556FL,57770556FL,3,6,6,1,0,0,0,0,0,0,0,0,6,4,5,12,0,0,0,0
5,50311,2,1,1,24,8,17,15,14,0,2,0,92,6,98,998,98998,92,2004,888888888888,8,8,8,8,8,8,8,8,8,8,8,8,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,7,2,5,12,0,0,0,0
5,50341,3,2,0,15,9,18,49,12,1,3,0,5,6,20,401,20401,14,2002,1GNDS13S9221,1,G,N,D,S,1,3,S,9,2,2,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,5,4,5,12,0,0,0,0
5,50358,3,2,0,15,6,8,1,12,6,3,0,0,6,12,473,12473,30,2005,888888888888,8,8,8,8,8,8,8,8,8,8,8,8,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,6,2,12,0,0,0,0
5,50413,2,1,0,6,11,1,58,14,0,3,0,5,6,49,46,49046,4,2011,888888888888,8,8,8,8,8,8,8,8,8,8,8,8,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,6,5,12,0,0,0,0
5,50413,3,1,0,6,11,1,58,14,0,3,0,4,6,58,37,58037,4,2007,JNKBV61EX7M7,J,N,K,B,V,6,1,E,X,7,M,7,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,6,5,12,0,0,0,0
5,50413,4,1,0,6,11,1,58,14,0,3,0,5,6,20,403,20403,14,2005,1GNDT13S0522,1,G,N,D,T,1,3,S,0,5,2,2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,6,5,12,0,0,0,0
5,50413,5,1,0,6,11,1,58,14,0,3,0,5,6,37,421,37421,15,2010,5FNYF3H55AB0,5,F,N,Y,F,3,H,5,5,A,B,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,6,5,12,0,0,0,0
5,50413,6,1,0,6,11,1,58,14,0,3,0,5,6,23,421,23421,15,2007,1GKFC13087R3,1,G,K,F,C,1,3,0,8,7,R,3,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,6,5,14,0,0,0,0
5,50413,7,1,0,6,11,1,58,14,0,3,0,5,6,55,402,55402,14,2012,KM8JU3AC3CU4,K,M,8,J,U,3,A,C,3,C,U,4,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,11,6,5,12,0,0,0,0
5,50413,8,1,0,6,11,1,58,14,0,3,0,5,6,23,471,23471,30,2001,1GTCS1953181,1,G,T,C,S,1,9,5,3,1,8,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,11,6,5,12,0,0,0,0
5,50413,9,1,0,6,11,1,58,14,0,3,0,5,6,23,472,23472,30,2008,1GTCS13E2881,1,G,T,C,S,1,3,E,2,8,8,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,6,5,12,0,0,0,0
5,50413,10,1,0,6,11,1,58,14,0,3,0,5,6,49,472,49472,30,2006,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,6,5,12,0,0,0,0
5,50413,11,1,0,6,11,1,58,14,0,3,0,5,6,35,472,35472,30,2009,1N6AD07U59C4,1,N,6,A,D,0,7,U,5,9,C,4,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,6,5,12,0,0,0,0
5,50413,12,1,0,6,11,1,58,14,0,3,0,5,6,23,481,23481,40,2010,1GTSKVE39AZ2,1,G,T,S,K,V,E,3,9,A,Z,2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,6,5,12,0,0,0,0
5,50451,2,1,0,30,11,19,57,8,0,2,0,5,6,12,481,12481,31,1973,F10HK49360,F,1,0,H,K,4,9,3,6,0,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,10,2,3,12,0,0,0,0
5,50480,2,1,0,29,12,16,55,34,0,3,0,5,6,23,999,23999,99,9999,TCE677V57619,T,C,E,6,7,7,V,5,7,6,1,9,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,2,5,12,0,0,0,0
6,60067,2,1,1,13,1,6,10,14,0,2,0,0,6,84,981,84981,50,2010,4DRBUAAL8AB1,4,D,R,B,U,A,A,L,8,A,B,1,0,6,45542,0645542,2,21,22,1,0,0,0,0,1,2,0,0,6,4,5,12,0,0,0,0
6,60090,2,1,1,15,1,13,50,14,0,3,0,0,6,84,881,84881,63,2000,1HTSDAANXYH2,1,H,T,S,D,A,A,N,X,Y,H,2,0,6,90019,0690019,3,1,96,1,0,0,0,0,0,0,0,0,6,6,2,12,39,0,0,0
6,60098,2,1,0,21,1,17,50,14,0,2,0,6,6,37,31,37031,2,2001,1HGEM22521L0,1,H,G,E,M,2,2,5,2,1,L,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,3,2,5,12,0,0,0,0
6,60100,2,1,0,17,1,7,5,14,0,2,0,6,6,98,890,98890,62,2014,JHHSPM2H1EK0,J,H,H,S,P,M,2,H,1,E,K,0,0,57,1072218,571072218,2,2,96,1,0,0,0,0,0,0,0,0,7,4,3,12,0,0,0,0
6,60100,3,1,0,17,1,7,5,14,0,2,0,6,6,35,472,35472,30,2008,1N6AD06U08C4,1,N,6,A,D,0,6,U,0,8,C,4,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0
6,60100,4,1,1,17,1,7,5,14,0,2,0,6,6,49,482,49482,31,2003,5TBJN32183S3,5,T,B,J,N,3,2,1,8,3,S,3,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,4,3,12,0,0,0,0
6,60109,3,2,0,23,1,4,24,12,98,2,0,6,6,7,28,7028,2,2015,2C3CDZBT2FH7,2,C,3,C,D,Z,B,T,2,F,H,7,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,8,2,3,12,0,0,0,0
6,60150,3,2,0,26,1,12,1,12,7,2,0,6,6,20,881,20881,61,2001,3GBKC34G51M1,3,G,B,K,C,3,4,G,5,1,M,1,0,57,1420465,571420465,2,1,98,1,0,0,0,0,0,0,0,0,6,2,5,12,0,0,0,0
6,60192,1,1,0,28,1,3,0,14,0,2,0,6,6,84,881,84881,66,1998,2HSFLATN1WC0,2,H,S,F,L,A,T,N,1,W,C,0,2,6,224605,06224605,3,7,3,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0
6,60258,3,2,0,3,2,22,18,12,2,2,0,6,6,7,482,7482,31,2003,1D7HU18D83S2,1,D,7,H,U,1,8,D,8,3,S,2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,2,3,12,0,0,0,0
6,60276,2,1,0,18,2,12,23,1,0,2,0,6,6,52,401,52401,14,2000,JA4LS31H9YP8,J,A,4,L,S,3,1,H,9,Y,P,8,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,4,5,12,0,0,0,0
6,60298,2,1,0,15,2,21,45,8,0,2,0,6,6,12,32,12032,4,2015,3FADP4EJ0FM1,3,F,A,D,P,4,E,J,0,F,M,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,11,2,3,12,0,0,0,0
6,60299,3,2,0,18,2,6,21,12,6,2,0,6,6,32,43,32043,4,2001,WAUDC68D31A1,W,A,U,D,C,6,8,D,3,1,A,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,11,2,5,12,0,0,0,0
6,60314,2,1,0,20,2,21,31,1,0,2,0,6,6,87,883,87883,66,2015,2XP2AJ8X1FM2,2,X,P,2,A,J,8,X,1,F,M,2,1,77,777777777,77777777777,3,6,1,1,0,0,0,0,0,0,0,0,14,0,5,12,0,0,0,0
6,60370,2,1,0,6,3,21,8,33,0,2,0,17,6,34,34,34034,6,2001,WBAAW33421EN,W,B,A,A,W,3,3,4,2,1,E,N,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,3,2,5,12,0,0,0,0
6,60371,3,2,0,28,2,19,10,12,6,2,0,6,6,12,471,12471,30,1985,1FTBR10S3FUB,1,F,T,B,R,1,0,S,3,F,U,B,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,2,5,12,0,0,0,0
6,60409,2,1,0,6,3,16,54,8,0,2,0,6,6,41,51,41051,5,2014,JM1BM1L70E11,J,M,1,B,M,1,L,7,0,E,1,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,0,3,12,0,0,0,0
6,60438,2,1,0,10,3,5,39,14,0,2,0,6,6,37,32,37032,2,2010,1HGCS1B39AA0,1,H,G,C,S,1,B,3,9,A,A,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,11,2,5,12,0,0,0,0
6,60447,3,2,0,4,3,12,14,12,6,2,0,6,6,35,47,35047,4,2005,1N4AL11E45N4,1,N,4,A,L,1,1,E,4,5,N,4,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,2,3,12,0,0,0,0
6,60451,2,1,0,3,3,14,12,14,0,4,0,6,3,84,881,84881,63,2011,1HTWWAZT6BJ3,1,H,T,W,W,A,Z,T,6,B,J,3,0,57,59076,5759076,3,2,3,1,0,0,0,0,0,0,0,0,12,6,2,12,0,0,1,0
6,60487,2,2,0,18,3,13,5,14,0,2,0,6,6,49,471,49471,30,1986,JT4RN55R1G01,J,T,4,R,N,5,5,R,1,G,0,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,63,4,5,12,0,0,0,0
6,60487,3,2,0,18,3,13,5,14,0,2,0,6,6,52,47,52047,6,2011,JA4AS2AW5BU0,J,A,4,A,S,2,A,W,5,B,U,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0
6,60603,3,2,0,31,3,16,50,12,6,2,0,6,6,7,442,7442,20,2003,1D4GP25323B2,1,D,4,G,P,2,5,3,2,3,B,2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,4,3,12,0,0,0,0
6,60603,4,2,0,31,3,16,50,12,6,2,0,6,6,58,37,58037,2,2004,JNKCV54E84M8,J,N,K,C,V,5,4,E,8,4,M,8,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,4,5,14,0,0,0,0
6,60613,2,1,0,28,3,20,13,8,0,2,0,6,6,49,401,49401,14,2005,JTEBU14R6500,J,T,E,B,U,1,4,R,6,5,0,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,6,2,12,0,0,0,0
6,60613,3,1,0,28,3,20,13,8,0,2,0,6,6,35,401,35401,14,2009,5N1AR18U49C6,5,N,1,A,R,1,8,U,4,9,C,6,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,6,2,14,0,0,0,0
6,60617,2,1,0,29,3,22,57,14,0,2,0,6,6,20,471,20471,30,1998,1GCCS1947WK2,1,G,C,C,S,1,9,4,7,W,K,2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,7,2,3,12,0,0,0,0
6,60617,3,1,0,29,3,22,57,14,0,2,0,6,6,12,481,12481,31,1999,1FTZX1727XKB,1,F,T,Z,X,1,7,2,7,X,K,B,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,7,2,5,12,0,0,0,0
