STATE,ST_CASE,VEH_NO,MDAREAS
1,10034,4,6
1,10034,5,6
1,10034,5,7
1,10034,6,5
1,10034,6,6
1,10034,6,7
1,10035,1,12
1,10035,2,9
1,10036,1,1
1,10036,1,12
1,10036,2,11
1,10036,2,13
1,10037,1,12
1,10038,1,1
1,10038,1,2
1,10038,1,10
1,10038,1,11
1,10038,1,12
1,10039,1,12
1,10040,1,1
1,10040,1,12
1,10040,1,13
1,10041,1,1
1,10041,1,2
1,10041,1,3
1,10041,1,4
1,10041,1,5
1,10041,1,12
1,10042,1,12
1,10042,1,13
1,10043,1,1
1,10043,1,2
1,10043,1,3
1,10043,1,4
1,10043,1,5
1,10044,1,12
1,10045,1,2
1,10045,1,3
1,10045,1,7
1,10045,1,8
1,10045,1,9
1,10045,1,10
1,10045,1,11
1,10045,1,14
1,10046,1,3
1,10047,1,6
1,10047,1,12
1,10048,1,8
1,10049,1,1
1,10049,1,12
1,10049,2,12
1,10050,1,12
1,10051,1,2
1,10051,2,12
1,10052,1,1
1,10052,1,2
1,10052,1,3
1,10052,1,9
1,10052,1,10
1,10052,1,11
1,10052,1,12
1,10053,1,12
1,10053,1,13
1,10053,1,14
1,10054,1,1
1,10054,1,2
1,10054,1,3
1,10054,1,4
1,10054,1,5
1,10054,1,6
1,10054,1,7
1,10054,1,8
1,10054,1,9
1,10054,1,10
1,10054,1,11
1,10054,1,12
1,10054,1,13
1,10054,1,14
1,10054,2,12
1,10054,2,14
1,10055,1,12
1,10056,1,1
1,10056,1,2
1,10056,1,3
1,10056,1,4
1,10056,1,5
1,10056,1,6
1,10056,1,7
1,10056,1,8
1,10056,1,9
1,10056,1,10
1,10056,1,11
1,10056,1,12
1,10056,1,13
1,10056,1,14
1,10057,1,15
1,10057,2,1
1,10057,2,2
1,10057,2,3
1,10057,2,4
1,10057,2,5
1,10057,2,6
1,10057,2,7
1,10057,2,8
1,10057,2,9
1,10057,2,10
1,10057,2,11
1,10057,2,12
1,10057,2,13
1,10057,2,14
1,10057,3,6
1,10057,3,7
1,10058,1,1
1,10058,1,6
1,10058,2,6
1,10058,2,12
1,10058,2,14
1,10059,1,1
1,10059,1,12
1,10060,1,9
1,10060,1,10
1,10060,1,11
1,10060,1,12
1,10060,2,8
1,10060,2,9
1,10060,2,10
1,10060,2,11
1,10061,1,9
1,10061,1,13
1,10062,1,1
1,10062,1,10
1,10062,1,12
1,10063,1,12
1,10063,1,13
1,10064,1,12
1,10065,1,12
1,10065,2,6
1,10065,2,13
1,10066,1,12
1,10067,1,1
1,10067,1,11
1,10067,1,12
1,10067,2,1
1,10067,2,2
1,10067,2,3
1,10067,2,4
1,10067,2,5
1,10067,2,6
1,10067,2,11
1,10067,2,12
1,10067,2,14
1,10067,3,1
1,10067,3,6
1,10067,3,11
1,10067,3,12
1,10067,4,1
1,10067,4,12
1,10068,1,13
1,10069,1,12
1,10069,2,14
1,10070,1,12
1,10071,1,11
1,10071,1,12
1,10071,2,11
1,10071,2,12
1,10072,1,1
1,10072,1,2
1,10072,1,3
1,10072,1,12
1,10072,1,13
1,10073,1,12
1,10073,1,13
1,10074,1,1
1,10074,1,2
1,10074,1,3
1,10074,1,4
1,10074,1,5
1,10074,1,6
1,10074,1,7
1,10074,1,11
1,10074,1,12
1,10074,2,7
1,10074,2,8
1,10074,2,9
1,10074,2,10
1,10074,3,10
1,10074,3,11
1,10074,3,12
1,10074,4,1
1,10074,4,11
1,10074,4,12
1,10075,1,11
1,10075,1,12
1,10075,2,9
1,10075,2,10
1,10075,2,11
1,10076,1,1
1,10076,1,2
1,10076,1,3
1,10076,1,4
1,10076,1,12
1,10076,1,13
1,10077,1,1
1,10077,1,12
1,10078,1,2
1,10078,1,12
1,10079,1,12
1,10079,1,14
1,10080,1,12
1,10080,1,13
1,10081,1,12
1,10081,2,6
1,10082,1,1
1,10082,1,10
1,10082,1,11
1,10082,1,12
1,10082,1,13
1,10083,1,7
1,10083,1,8
1,10083,1,9
1,10083,1,10
1,10083,1,11
1,10083,1,12
1,10083,2,6
1,10083,2,11
1,10084,1,12
1,10084,2,6
1,10084,3,9
1,10085,1,12
1,10085,1,13
1,10086,1,1
1,10086,2,12
1,10087,1,12
1,10088,1,12
1,10089,1,1
1,10089,1,12
1,10090,1,1
1,10090,1,11
1,10090,1,12
1,10090,2,4
1,10090,2,5
1,10090,2,6
1,10090,2,7
1,10090,2,8
1,10091,1,12
1,10091,2,10
1,10092,1,7
1,10092,1,8
1,10092,1,9
1,10092,1,10
1,10092,1,11
1,10092,2,99
1,10093,1,2
1,10093,1,8
1,10093,2,12
1,10093,3,11
1,10093,3,12
1,10094,1,7
1,10094,1,8
1,10094,1,9
1,10094,1,10
1,10094,1,11
1,10094,1,12
1,10095,1,1
1,10095,1,11
1,10095,1,12
1,10095,2,6
1,10095,3,6
1,10095,3,13
1,10095,4,6
1,10095,5,6
1,10095,6,6
1,10095,7,6
1,10095,8,6
1,10095,9,6
1,10095,10,11
1,10095,10,12
1,10096,1,10
1,10097,1,12
1,10097,2,12
1,10098,1,12
1,10098,1,14
1,10099,1,14
1,10101,1,5
1,10101,1,13
1,10102,1,7
1,10102,1,8
1,10102,1,9
1,10102,1,10
1,10102,1,11
1,10103,1,12
1,10104,1,12
1,10104,2,12
1,10105,1,1
1,10105,1,2
1,10105,1,3
1,10105,1,4
1,10105,1,5
1,10105,1,6
1,10105,1,7
1,10105,1,8
1,10105,1,9
1,10105,1,10
1,10105,1,11
1,10105,1,12
1,10105,1,13
1,10105,1,14
1,10106,1,7
1,10107,1,3
1,10107,1,12
1,10107,2,1
1,10107,2,11
1,10107,2,12
1,10108,1,12
1,10108,2,12
1,10109,1,6
1,10109,1,12
1,10109,2,12
1,10109,3,11
1,10109,3,12
1,10110,1,12
1,10111,1,12
1,10111,1,13
1,10112,1,12
1,10112,1,13
1,10113,1,12
1,10114,1,1
1,10114,1,12
1,10114,2,6
1,10115,1,11
1,10115,1,13
1,10116,1,7
1,10116,1,8
1,10116,1,9
1,10116,1,10
1,10116,1,11
1,10116,1,12
1,10116,2,1
1,10116,2,2
1,10116,2,3
1,10116,2,4
1,10116,2,5
1,10116,2,6
1,10117,1,6
1,10117,2,12
1,10118,1,12
1,10119,1,12
1,10119,2,1
1,10119,2,11
1,10119,2,12
1,10120,1,2
1,10120,2,1
1,10120,2,2
1,10120,2,3
1,10120,2,9
1,10120,2,10
1,10120,2,11
1,10120,2,12
1,10121,1,12
1,10121,2,6
1,10122,1,1
1,10122,1,10
1,10122,1,11
1,10122,1,12
1,10123,1,12
1,10123,2,11
1,10123,2,13
1,10124,1,12
1,10125,1,12
1,10126,1,9
1,10126,1,10
1,10126,1,11
1,10126,1,12
1,10126,2,1
1,10126,2,2
1,10126,2,3
1,10126,2,4
1,10126,2,5
1,10126,2,7
1,10126,2,8
1,10126,2,9
1,10126,2,10
1,10126,2,11
1,10126,2,12
1,10126,2,13
1,10127,1,3
1,10127,2,12
1,10128,1,12
1,10129,1,7
1,10129,1,8
1,10129,1,9
1,10129,1,10
1,10129,1,11
1,10129,1,12
1,10129,1,14
1,10129,2,1
1,10129,2,2
1,10129,2,10
1,10129,2,11
1,10129,2,12
1,10129,2,14
1,10130,1,12
1,10130,2,12
1,10131,1,12
1,10132,1,3
1,10132,2,12
1,10133,1,8
1,10133,2,12
1,10133,2,13
1,10134,1,10
1,10134,2,12
1,10135,1,2
1,10135,2,12
1,10135,3,12
1,10135,3,13
1,10136,1,8
1,10136,1,12
1,10137,1,12
1,10138,1,12
1,10138,2,11
1,10138,2,12
1,10138,3,12
1,10138,3,13
1,10139,1,10
1,10139,2,12
1,10139,3,7
1,10139,3,8
1,10139,3,9
1,10139,3,10
1,10139,3,11
1,10139,3,12
1,10140,1,12
1,10140,2,12
1,10141,1,1
1,10141,1,2
1,10141,1,3
1,10141,1,4
1,10141,1,5
1,10141,1,6
1,10141,1,7
1,10141,1,8
1,10141,1,9
1,10141,1,10
1,10141,1,11
1,10141,1,12
1,10141,1,13
1,10141,1,14
1,10141,2,1
1,10141,2,2
1,10141,2,3
1,10141,2,4
1,10141,2,5
1,10141,2,6
1,10141,2,7
1,10141,2,8
1,10141,2,9
1,10141,2,10
1,10141,2,11
1,10141,2,12
1,10141,2,13
1,10141,2,14
1,10141,3,4
1,10141,3,5
1,10141,3,6
1,10141,4,3
1,10141,4,14
1,10141,5,1
1,10141,5,2
1,10141,5,3
1,10141,5,4
1,10141,5,5
1,10141,5,6
1,10141,5,7
1,10141,5,8
1,10141,5,9
1,10141,5,10
1,10141,5,11
1,10141,5,12
1,10141,5,13
1,10141,5,14
1,10141,6,1
1,10141,6,2
1,10141,6,3
1,10141,6,4
1,10141,6,5
1,10141,6,6
1,10141,6,7
1,10141,6,8
1,10141,6,9
1,10141,6,10
1,10141,6,11
1,10141,6,12
1,10141,6,13
1,10141,6,14
1,10141,7,6
1,10141,7,14
1,10141,8,3
1,10141,8,4
1,10141,8,5
1,10141,8,6
1,10141,9,6
1,10142,1,12
1,10143,1,1
1,10143,1,3
1,10143,1,4
1,10143,1,12
1,10143,1,14
1,10143,2,1
1,10143,2,12
1,10144,1,12
1,10144,2,12
1,10145,1,12
1,10145,2,10
1,10145,2,11
1,10146,1,1
1,10146,1,11
1,10146,1,12
1,10146,2,12
1,10146,3,6
1,10146,3,12
1,10147,1,12
1,10147,2,1
1,10147,2,2
1,10147,2,3
1,10147,2,4
1,10147,2,5
1,10147,2,12
1,10148,1,12
1,10148,1,13
1,10149,1,12
1,10150,1,12
1,10150,2,12
1,10151,1,12
1,10152,1,12
1,10152,2,1
1,10152,2,2
1,10152,2,3
1,10152,2,4
1,10152,2,5
1,10152,2,12
1,10153,1,12
1,10153,2,6
1,10153,2,12
1,10153,3,1
1,10153,3,11
1,10153,3,12
1,10153,4,12
1,10153,5,11
1,10154,1,12
1,10155,1,11
1,10155,1,13
1,10155,2,4
1,10156,1,1
1,10156,1,2
1,10156,1,3
1,10156,1,4
1,10156,1,5
1,10156,1,6
1,10156,1,7
1,10156,1,8
1,10156,1,9
1,10156,1,10
1,10156,1,11
1,10156,1,12
1,10156,1,13
1,10156,1,14
1,10157,1,1
1,10157,1,2
1,10157,1,3
1,10157,1,4
1,10157,1,5
1,10157,1,6
1,10157,1,7
1,10157,1,8
1,10157,1,9
1,10157,1,10
1,10157,1,11
1,10157,1,12
1,10157,1,13
1,10157,1,14
1,10157,2,12
1,10158,1,1
1,10158,1,2
1,10158,1,3
1,10158,1,4
1,10158,1,5
1,10158,2,12
1,10159,1,12
1,10160,1,15
1,10161,1,1
1,10161,1,11
1,10161,1,12
1,10161,2,11
1,10161,2,13
1,10162,1,99
1,10163,1,9
1,10163,2,1
1,10163,2,11
1,10163,2,12
1,10163,2,14
1,10164,1,3
1,10165,1,9
1,10165,2,6
1,10165,2,12
1,10166,1,9
1,10167,1,12
1,10168,1,9
1,10168,1,10
1,10168,1,11
1,10168,1,12
1,10169,1,2
1,10169,1,3
1,10169,1,4
1,10169,1,7
1,10169,1,13
1,10169,2,1
1,10169,2,9
1,10169,2,10
1,10169,2,11
1,10169,2,12
1,10170,1,1
1,10170,2,12
1,10171,1,12
1,10171,2,1
1,10171,2,2
1,10171,2,3
1,10171,2,4
1,10171,2,8
1,10171,2,9
1,10171,2,10
1,10171,2,11
1,10171,2,12
1,10172,1,1
1,10172,1,2
1,10172,1,3
1,10172,1,4
1,10172,1,5
1,10172,1,12
1,10172,2,1
1,10172,2,10
1,10172,2,11
1,10172,2,12
1,10173,1,3
1,10173,1,13
1,10173,2,12
1,10174,1,6
1,10174,2,12
1,10175,1,12
1,10176,1,12
1,10177,1,8
1,10177,1,9
1,10177,1,10
1,10177,2,12
1,10178,1,1
1,10178,1,11
1,10178,1,12
1,10178,1,14
1,10179,1,10
1,10179,1,11
1,10179,2,1
1,10179,2,12
1,10180,1,2
1,10180,2,12
1,10180,3,12
1,10181,1,6
1,10181,1,12
1,10181,1,13
1,10182,1,1
1,10182,1,12
1,10182,2,1
1,10182,2,9
1,10183,1,12
1,10183,1,13
1,10184,1,5
1,10184,1,13
1,10185,1,1
1,10185,1,2
1,10185,1,3
1,10185,1,4
1,10185,1,5
1,10186,1,7
1,10186,1,8
1,10186,1,9
1,10186,1,10
1,10186,1,11
1,10186,1,12
1,10186,1,13
1,10187,1,4
1,10187,1,12
1,10188,1,12
1,10188,2,12
1,10189,1,7
1,10189,1,8
1,10189,1,9
1,10189,1,10
1,10189,1,11
1,10189,1,12
1,10189,2,12
1,10190,1,1
1,10190,1,13
1,10190,2,11
1,10191,1,1
1,10191,1,2
1,10191,1,3
1,10191,1,4
1,10191,1,5
1,10191,1,6
1,10191,1,7
1,10191,1,8
1,10191,1,9
1,10191,1,10
1,10191,1,11
1,10191,1,12
1,10191,1,13
1,10191,1,14
1,10192,1,11
1,10192,1,13
1,10193,1,11
1,10193,1,12
1,10193,2,11
1,10193,2,12
1,10194,1,12
1,10194,2,11
1,10195,1,12
1,10195,2,10
1,10196,1,12
1,10196,1,13
1,10197,1,6
1,10197,1,7
1,10197,2,12
1,10198,1,3
1,10198,2,12
1,10199,1,12
1,10199,2,12
1,10200,1,3
1,10200,2,12
1,10201,1,12
1,10202,1,7
1,10202,1,8
1,10202,1,9
1,10202,1,10
1,10202,1,11
1,10202,1,12
1,10202,2,12
1,10203,1,1
1,10203,1,6
1,10203,1,7
1,10203,1,8
1,10203,1,9
1,10203,1,10
1,10203,1,11
1,10203,1,12
1,10203,1,13
1,10203,2,6
1,10204,1,9
1,10204,1,12
1,10204,1,13
1,10205,1,1
1,10205,1,2
1,10205,1,3
1,10205,1,4
1,10205,1,5
1,10205,1,6
1,10205,1,7
1,10205,1,8
1,10205,1,9
1,10205,1,10
1,10205,1,11
1,10205,1,12
1,10205,1,13
1,10205,1,14
1,10206,1,1
1,10206,1,12
1,10207,1,3
1,10207,2,12
1,10208,1,1
1,10208,1,12
1,10209,1,12
1,10209,2,3
1,10210,1,6
1,10210,1,12
1,10210,1,13
1,10211,1,7
1,10211,1,8
1,10211,1,9
1,10211,1,10
1,10211,1,11
1,10211,2,12
1,10212,1,1
1,10212,1,2
1,10212,1,3
1,10212,1,4
1,10212,1,5
1,10212,1,6
1,10212,1,7
1,10212,1,8
1,10212,1,9
1,10212,1,10
1,10212,1,11
1,10212,1,12
1,10212,1,13
1,10212,1,14
1,10213,1,12
1,10213,2,12
1,10214,1,10
1,10214,2,12
1,10215,1,1
1,10215,1,2
1,10215,1,3
1,10215,1,4
1,10215,1,5
1,10215,1,6
1,10215,1,7
1,10215,1,8
1,10215,1,9
1,10215,1,10
1,10215,1,11
1,10215,1,12
1,10215,1,13
1,10215,1,14
1,10216,1,1
1,10216,1,2
1,10216,1,3
1,10216,1,4
1,10216,1,5
1,10216,1,6
1,10216,1,7
1,10216,1,8
1,10216,1,9
1,10216,1,10
1,10216,1,11
1,10216,1,12
1,10216,1,13
1,10216,1,14
1,10217,1,1
1,10217,1,2
1,10217,1,3
1,10217,1,4
1,10217,1,5
1,10217,1,6
1,10217,1,7
1,10217,1,8
1,10217,1,9
1,10217,1,10
1,10217,1,11
1,10217,1,12
1,10217,1,13
1,10217,1,14
1,10218,1,12
1,10218,2,6
1,10218,2,7
1,10218,2,12
1,10219,1,12
1,10219,2,12
1,10220,1,11
1,10220,1,13
1,10221,1,8
1,10221,1,13
1,10222,1,12
1,10222,2,1
1,10222,2,2
1,10222,2,3
1,10222,2,4
1,10222,2,5
1,10222,2,11
1,10222,2,12
1,10223,1,1
1,10223,1,11
1,10223,1,12
1,10223,2,6
1,10224,1,12
1,10225,1,3
1,10225,1,13
1,10225,2,12
1,10226,1,13
1,10226,1,14
1,10227,1,1
1,10227,1,2
1,10227,1,3
1,10227,1,4
1,10227,1,5
1,10227,1,7
1,10227,1,8
1,10227,1,9
1,10227,1,10
1,10227,1,11
1,10227,1,12
1,10227,1,13
1,10228,1,12
1,10229,1,12
1,10229,2,12
1,10230,1,12
1,10230,1,13
1,10231,1,13
1,10232,1,12
1,10233,1,11
1,10233,1,13
1,10234,1,12
1,10235,1,1
1,10235,1,2
1,10235,1,3
1,10235,1,4
1,10235,1,5
1,10235,1,6
1,10235,1,7
1,10235,1,8
1,10235,1,9
1,10235,1,10
1,10235,1,11
1,10235,1,12
1,10235,1,13
1,10235,1,14
1,10236,1,13
1,10237,1,1
1,10237,1,2
1,10237,1,3
1,10237,1,4
1,10237,1,5
1,10238,1,1
1,10238,1,2
1,10238,1,3
1,10238,1,4
1,10238,1,5
1,10238,1,6
1,10238,1,7
1,10238,1,8
1,10238,1,9
1,10238,1,10
1,10238,1,11
1,10238,1,12
1,10238,1,13
1,10238,1,14
1,10239,1,11
1,10239,1,13
1,10240,1,1
1,10240,1,2
1,10240,1,3
1,10240,1,9
1,10240,1,10
1,10240,1,11
1,10240,1,12
1,10240,1,13
1,10241,1,11
1,10241,2,1
1,10241,2,11
1,10241,2,12
1,10242,1,1
1,10243,1,1
1,10243,1,7
1,10243,1,8
1,10243,1,9
1,10243,1,10
1,10243,1,11
1,10244,1,1
1,10244,1,9
1,10244,1,10
1,10244,1,11
1,10244,1,12
1,10244,1,13
1,10244,2,1
1,10244,2,2
1,10244,2,7
1,10244,2,8
1,10244,2,9
1,10244,2,10
1,10244,2,11
1,10244,2,12
1,10244,2,13
1,10245,1,1
1,10245,1,2
1,10245,1,3
1,10245,1,4
1,10245,1,5
1,10245,1,6
1,10245,1,7
1,10245,1,8
1,10245,1,9
1,10245,1,10
1,10245,1,11
1,10245,1,12
1,10245,1,13
1,10245,1,14
1,10246,1,1
1,10246,1,2
1,10246,1,3
1,10246,1,4
1,10246,1,5
1,10246,1,6
1,10246,1,7
1,10246,1,8
1,10246,1,9
1,10246,1,10
1,10246,1,11
1,10246,1,12
1,10246,1,13
1,10246,1,14
1,10247,1,99
1,10248,1,1
1,10248,1,13
1,10249,1,9
1,10249,1,13
1,10250,1,12
1,10250,2,12
1,10251,1,1
1,10251,1,2
1,10251,1,11
1,10251,1,12
1,10251,2,3
1,10251,2,6
1,10252,1,7
1,10252,1,8
1,10252,1,9
1,10252,1,10
1,10252,1,11
1,10252,1,12
1,10252,2,6
1,10253,1,12
1,10253,2,5
1,10254,1,1
1,10254,1,13
1,10255,1,2
1,10256,1,1
1,10256,1,12
1,10257,1,12
1,10258,1,12
1,10258,2,8
1,10258,2,9
1,10258,2,10
1,10258,2,11
1,10259,1,12
1,10259,2,6
1,10260,1,12
1,10261,1,12
1,10262,1,6
1,10262,1,13
1,10263,1,1
1,10263,2,12
1,10264,1,12
1,10265,1,1
1,10265,1,2
1,10265,1,3
1,10265,1,12
1,10265,2,1
1,10265,2,2
1,10265,2,10
1,10265,2,11
1,10265,2,12
1,10265,2,14
1,10266,1,9
1,10266,2,12
1,10267,1,11
1,10267,1,12
1,10267,2,10
1,10267,2,11
1,10267,2,12
1,10268,1,12
1,10268,1,13
1,10269,1,12
1,10269,2,6
1,10269,3,12
1,10270,1,12
1,10270,2,4
1,10270,2,5
1,10270,2,6
1,10270,2,8
1,10270,2,9
1,10270,2,10
1,10270,3,10
1,10270,3,11
1,10270,3,12
1,10271,1,12
1,10271,2,12
1,10272,1,1
1,10272,2,6
1,10272,2,11
1,10273,1,12
1,10274,1,12
1,10274,1,13
1,10275,1,9
1,10275,1,12
1,10275,1,13
1,10276,1,11
1,10276,1,13
1,10277,1,11
1,10277,2,1
1,10277,2,11
1,10277,2,12
1,10277,2,14
1,10278,1,1
1,10278,1,11
1,10278,1,12
1,10278,1,14
1,10279,1,4
1,10279,1,6
1,10279,2,10
1,10279,2,11
1,10279,2,12
1,10280,1,12
1,10280,1,13
1,10280,2,6
1,10280,2,7
1,10280,2,14
1,10281,1,1
1,10282,1,12
1,10283,1,14
1,10284,1,2
1,10284,2,12
1,10285,1,12
1,10285,2,6
1,10285,3,12
1,10286,1,1
1,10286,1,2
1,10286,1,10
1,10286,1,11
1,10286,1,12
1,10286,1,14
1,10286,2,7
1,10286,2,8
1,10286,2,9
1,10286,2,10
1,10286,2,11
1,10286,2,14
1,10286,3,8
1,10286,3,9
1,10286,3,10
1,10286,4,6
1,10286,5,1
1,10286,5,2
1,10286,5,3
1,10286,5,4
1,10286,5,5
1,10287,1,12
1,10287,2,2
1,10287,2,10
1,10287,2,11
1,10287,2,12
1,10288,1,9
1,10288,1,13
1,10289,1,11
1,10289,1,12
1,10289,1,13
1,10290,1,12
1,10290,2,12
1,10291,1,99
1,10292,1,11
1,10292,1,12
1,10293,1,1
1,10293,1,2
1,10293,1,3
1,10293,1,4
1,10293,1,5
1,10293,1,6
1,10293,1,7
1,10293,1,8
1,10293,1,9
1,10293,1,10
1,10293,1,11
1,10293,1,12
1,10293,1,13
1,10293,1,14
1,10294,1,9
1,10295,1,12
1,10296,1,1
1,10296,1,2
1,10296,1,3
1,10296,1,4
1,10296,1,5
1,10296,1,6
1,10296,1,12
1,10297,1,12
1,10297,2,12
1,10298,1,12
1,10298,1,13
1,10299,1,10
1,10299,1,11
1,10299,1,12
1,10299,2,10
1,10299,2,11
1,10299,2,12
1,10300,1,12
1,10301,1,11
1,10301,1,12
1,10302,1,11
1,10302,1,13
1,10303,1,9
1,10303,2,12
1,10304,1,1
1,10304,1,5
1,10304,1,6
1,10304,1,7
1,10304,1,8
1,10304,1,9
1,10304,1,10
1,10304,1,11
1,10304,1,12
1,10304,2,1
1,10304,2,11
1,10304,2,12
1,10304,3,5
1,10304,3,6
1,10305,1,1
1,10305,1,2
1,10305,1,3
1,10305,1,4
1,10305,1,5
1,10305,1,12
1,10306,1,1
1,10306,1,11
1,10306,1,12
1,10306,2,6
1,10307,1,12
1,10307,1,13
1,10308,1,1
1,10308,1,2
1,10308,1,3
1,10308,1,4
1,10308,1,5
1,10308,1,6
1,10308,1,7
1,10308,1,8
1,10308,1,9
1,10308,1,10
1,10308,1,11
1,10308,1,12
1,10308,1,13
1,10308,1,14
1,10308,2,1
1,10308,2,2
1,10308,2,10
1,10308,2,11
1,10308,2,12
1,10308,3,1
1,10308,3,2
1,10308,3,10
1,10308,3,11
1,10308,3,12
1,10309,1,12
1,10309,2,12
1,10309,2,13
1,10310,1,1
1,10310,1,2
1,10310,1,3
1,10310,1,4
1,10310,1,5
1,10310,1,6
1,10310,1,7
1,10310,1,8
1,10310,1,9
1,10310,1,10
1,10310,1,11
1,10310,1,12
1,10310,1,13
1,10310,1,14
1,10311,1,1
1,10311,1,4
1,10311,1,12
1,10312,1,12
1,10313,1,13
1,10313,1,14
1,10314,1,12
1,10314,2,6
1,10315,1,12
1,10316,1,1
1,10316,1,2
1,10316,1,3
1,10316,1,4
1,10316,1,5
1,10316,1,6
1,10316,1,7
1,10316,1,8
1,10316,1,9
1,10316,1,10
1,10316,1,11
1,10316,1,12
1,10316,1,13
1,10316,1,14
1,10317,1,1
1,10317,1,2
1,10317,1,3
1,10317,1,4
1,10317,1,5
1,10317,1,6
1,10317,1,7
1,10317,1,8
1,10317,1,9
1,10317,1,10
1,10317,1,11
1,10317,1,12
1,10317,1,13
1,10317,1,14
1,10317,2,1
1,10317,2,7
1,10317,2,8
1,10317,2,9
1,10317,2,10
1,10317,2,11
1,10317,2,12
1,10318,1,12
1,10319,1,12
1,10319,2,12
1,10320,1,1
1,10320,1,12
1,10320,2,1
1,10320,2,2
1,10320,2,10
1,10320,2,11
1,10320,2,12
1,10320,3,9
1,10320,3,10
1,10320,3,11
1,10321,1,2
1,10321,2,12
1,10322,1,3
1,10322,1,6
1,10322,2,12
1,10323,1,12
1,10324,1,12
1,10324,2,99
1,10325,1,11
1,10325,1,13
1,10326,1,1
1,10326,1,2
1,10326,1,3
1,10326,1,4
1,10326,1,5
1,10326,1,6
1,10326,1,7
1,10326,1,8
1,10326,1,9
1,10326,1,10
1,10326,1,11
1,10326,1,12
1,10326,1,13
1,10326,1,14
1,10327,1,1
1,10327,1,7
1,10327,1,8
1,10327,1,9
1,10327,1,10
1,10327,1,11
1,10327,1,13
1,10328,1,1
1,10328,1,2
1,10328,1,3
1,10328,1,4
1,10328,1,5
1,10328,1,6
1,10328,1,7
1,10328,1,8
1,10328,1,9
1,10328,1,10
1,10328,1,11
1,10328,1,12
1,10328,1,13
1,10328,1,14
1,10329,1,9
1,10329,2,12
1,10330,1,1
1,10330,1,2
1,10330,1,3
1,10330,1,4
1,10330,1,5
1,10330,2,15
1,10331,1,12
1,10332,1,1
1,10332,1,2
1,10332,1,3
1,10332,1,4
1,10332,1,5
1,10332,1,6
1,10332,1,7
1,10332,1,8
1,10332,1,9
1,10332,1,10
1,10332,1,11
1,10332,1,12
1,10332,1,13
1,10332,1,14
1,10332,2,1
1,10332,2,2
1,10332,2,7
1,10332,2,8
1,10332,2,9
1,10332,2,10
1,10332,2,11
1,10332,2,12
1,10333,1,9
1,10333,2,12
1,10334,1,1
1,10334,1,2
1,10334,1,11
1,10334,1,12
1,10334,1,13
1,10335,1,3
1,10335,1,9
1,10336,1,7
1,10336,1,8
1,10336,1,9
1,10336,1,10
1,10336,1,11
1,10336,1,12
