STATE,ST_CASE,VEH_NO,PER_NO,MSAFEQMT
1,10670,0,1,1
1,10674,0,1,1
1,10702,0,1,1
1,10708,0,1,1
1,10712,0,1,1
1,10712,0,2,1
1,10712,0,3,1
1,10713,0,1,1
1,10715,0,1,1
1,10728,0,1,1
1,10734,0,1,1
1,10735,0,1,1
1,10736,0,1,1
1,10738,0,1,1
1,10756,0,1,1
1,10757,0,1,1
1,10758,0,1,1
1,10766,0,1,1
1,10769,0,1,1
1,10777,0,1,1
1,10777,0,2,1
1,10777,0,3,1
1,10777,0,4,1
1,10777,0,5,1
1,10777,0,6,1
1,10777,0,7,1
1,10777,0,8,1
1,10777,0,9,1
1,10777,0,10,1
1,10777,0,11,1
1,10783,0,1,1
2,20002,0,1,8
2,20005,0,1,1
2,20008,0,1,1
2,20032,0,1,1
2,20032,0,2,1
2,20033,0,1,1
2,20042,0,1,1
2,20043,0,1,1
2,20051,0,1,1
2,20056,0,1,8
2,20057,0,1,1
2,20058,0,1,1
2,20059,0,1,9
4,40001,0,1,8
4,40002,0,1,8
4,40002,0,2,8
4,40003,0,1,8
4,40008,0,1,8
4,40016,0,1,8
4,40018,0,1,8
4,40025,0,1,8
4,40032,0,1,8
4,40050,0,1,8
4,40054,0,1,8
4,40056,0,1,8
4,40059,0,1,8
4,40061,0,1,8
4,40062,0,1,9
4,40063,0,1,8
4,40065,0,1,8
4,40074,0,1,8
4,40077,0,1,8
4,40080,0,1,8
4,40082,0,1,8
4,40084,0,1,8
4,40084,0,2,8
4,40094,0,1,8
4,40097,0,1,8
4,40100,0,1,8
4,40102,0,1,9
4,40103,0,1,8
4,40104,0,1,8
4,40106,0,1,8
4,40108,0,1,8
4,40112,0,1,8
4,40120,0,1,9
4,40120,0,2,9
4,40128,0,1,8
4,40129,0,1,8
4,40131,0,1,8
4,40134,0,1,8
4,40136,0,1,8
4,40143,0,1,8
4,40143,0,2,8
4,40143,0,3,8
4,40144,0,1,8
4,40147,0,1,8
4,40149,0,1,8
4,40152,0,1,8
4,40155,0,1,8
4,40157,0,1,8
4,40180,0,1,8
4,40180,0,2,8
4,40180,0,3,8
4,40190,0,1,8
4,40192,0,1,8
4,40196,0,1,8
4,40198,0,1,9
4,40204,0,1,8
4,40208,0,1,2
4,40212,0,1,8
4,40223,0,1,8
4,40225,0,1,2
4,40227,0,1,8
4,40237,0,1,2
4,40243,0,1,8
4,40252,0,1,8
4,40258,0,1,8
4,40262,0,1,8
4,40263,0,1,8
4,40271,0,1,8
4,40284,0,1,8
4,40289,0,1,8
4,40298,0,1,8
4,40307,0,1,8
4,40312,0,1,8
4,40315,0,1,8
4,40320,0,1,8
4,40324,0,1,8
4,40327,0,1,8
4,40333,0,1,8
4,40334,0,1,8
4,40336,0,1,8
4,40339,0,1,8
4,40339,0,2,8
4,40342,0,1,8
4,40345,0,1,8
4,40358,0,1,8
4,40363,0,1,8
4,40366,0,1,8
4,40369,0,1,5
4,40369,0,2,5
4,40383,0,1,8
4,40386,0,1,8
4,40387,0,1,8
4,40397,0,1,8
4,40399,0,1,8
4,40400,0,1,8
4,40401,0,1,8
4,40403,0,1,8
4,40404,0,1,8
4,40406,0,1,8
4,40410,0,1,8
4,40411,0,1,8
4,40412,0,1,8
4,40415,0,1,8
4,40417,0,1,8
4,40419,0,1,8
4,40420,0,1,8
4,40425,0,1,2
4,40425,0,1,5
4,40425,0,2,2
4,40425,0,2,5
4,40426,0,1,8
4,40436,0,1,2
4,40442,0,1,8
4,40460,0,1,8
4,40462,0,1,8
4,40469,0,1,8
4,40471,0,1,8
4,40473,0,1,8
4,40477,0,1,8
4,40479,0,1,8
4,40481,0,1,8
4,40482,0,1,2
4,40482,0,1,7
4,40484,0,1,8
4,40490,0,1,1
4,40492,0,1,8
4,40500,0,1,8
4,40501,0,1,8
4,40503,0,1,8
4,40524,0,1,8
4,40534,0,1,8
4,40535,0,1,8
4,40545,0,1,8
4,40547,0,1,1
4,40547,0,2,1
4,40549,0,1,8
4,40553,0,1,1
4,40563,0,1,8
4,40563,0,2,8
4,40570,0,1,8
4,40575,0,1,8
4,40576,0,1,8
4,40576,0,2,8
4,40577,0,1,8
4,40579,0,1,8
4,40580,0,1,8
4,40585,0,1,8
4,40586,0,1,5
4,40591,0,1,8
4,40592,0,1,8
4,40594,0,1,8
4,40597,0,1,8
4,40599,0,1,8
4,40600,0,1,8
4,40604,0,1,8
4,40606,0,1,8
4,40609,0,1,8
4,40612,0,1,8
4,40614,0,1,8
4,40614,0,2,8
4,40615,0,1,8
4,40617,0,1,8
4,40620,0,1,2
4,40631,0,1,8
4,40635,0,1,8
4,40643,0,1,8
4,40648,0,1,8
4,40652,0,1,8
4,40659,0,1,8
4,40668,0,1,8
4,40683,0,1,8
4,40685,0,1,8
4,40689,0,1,8
4,40690,0,1,8
4,40701,0,1,2
4,40701,0,1,5
4,40714,0,1,8
4,40715,0,1,8
4,40720,0,1,8
4,40721,0,1,8
4,40722,0,1,8
4,40726,0,1,1
4,40728,0,1,8
4,40740,0,1,8
4,40742,0,1,8
4,40747,0,1,8
4,40752,0,1,8
4,40761,0,1,8
4,40763,0,1,8
4,40765,0,1,1
4,40766,0,1,8
4,40770,0,1,8
4,40777,0,1,8
4,40780,0,1,2
4,40782,0,1,8
4,40786,0,1,8
4,40787,0,1,8
4,40788,0,1,8
4,40791,0,1,8
4,40792,0,1,8
4,40799,0,1,8
4,40804,0,1,8
4,40807,0,1,8
4,40816,0,1,8
4,40822,0,1,8
4,40824,0,1,8
5,50020,0,1,8
5,50029,0,1,8
5,50029,0,2,8
5,50040,0,1,8
5,50041,0,1,8
5,50052,0,1,8
5,50079,0,1,8
5,50088,0,1,8
5,50126,0,1,8
5,50126,0,2,8
5,50129,0,1,8
5,50141,0,1,8
5,50153,0,1,8
5,50153,0,2,8
5,50168,0,1,8
5,50188,0,1,8
5,50192,0,1,8
5,50212,0,1,8
5,50224,0,1,1
5,50239,0,1,8
5,50248,0,1,8
5,50256,0,1,8
5,50288,0,1,1
5,50294,0,1,1
5,50303,0,1,8
5,50306,0,1,1
5,50307,0,1,1
5,50313,0,1,1
5,50335,0,1,1
5,50341,0,1,8
5,50341,0,2,8
5,50350,0,1,8
5,50354,0,1,1
5,50354,0,2,1
5,50364,0,1,8
5,50365,0,1,8
5,50373,0,1,8
5,50373,0,2,8
5,50379,0,1,8
5,50385,0,1,8
5,50399,0,1,8
5,50403,0,1,1
5,50415,0,1,1
5,50423,0,1,8
5,50429,0,1,1
5,50438,0,1,1
5,50440,0,1,1
5,50451,0,1,1
5,50452,0,1,8
5,50453,0,1,1
5,50474,0,1,1
5,50475,0,1,1
5,50477,0,1,1
6,60003,0,1,8
6,60005,0,1,8
6,60010,0,1,8
6,60012,0,1,8
6,60013,0,1,8
6,60014,0,1,8
6,60016,0,1,8
6,60017,0,1,8
6,60018,0,1,8
6,60019,0,1,8
6,60023,0,1,8
6,60030,0,1,8
6,60031,0,1,8
6,60032,0,1,8
6,60034,0,1,8
6,60038,0,1,8
6,60039,0,1,8
6,60042,0,1,8
6,60045,0,1,4
6,60047,0,1,8
6,60056,0,1,8
6,60058,0,1,8
6,60059,0,1,8
6,60062,0,1,8
6,60063,0,1,8
6,60064,0,1,8
6,60065,0,1,8
6,60068,0,1,8
6,60074,0,1,8
6,60076,0,1,2
6,60077,0,1,8
6,60085,0,1,8
6,60088,0,1,8
6,60089,0,1,8
6,60096,0,1,8
6,60098,0,1,8
6,60100,0,1,8
6,60100,0,2,8
6,60102,0,1,8
6,60107,0,1,8
6,60109,0,1,8
6,60109,0,2,8
6,60109,0,3,8
6,60111,0,1,8
6,60113,0,1,8
6,60114,0,1,8
6,60121,0,1,8
6,60122,0,1,8
6,60123,0,1,8
6,60124,0,1,8
6,60133,0,1,8
6,60134,0,1,8
6,60143,0,1,8
6,60148,0,1,8
6,60150,0,1,8
6,60152,0,1,8
6,60152,0,2,8
6,60152,0,3,8
6,60153,0,1,8
6,60154,0,1,8
6,60155,0,1,8
6,60157,0,1,8
6,60160,0,1,8
6,60167,0,1,8
6,60170,0,1,8
6,60172,0,1,8
6,60176,0,1,8
6,60177,0,1,8
6,60178,0,1,8
6,60182,0,1,8
6,60183,0,1,8
6,60184,0,1,8
6,60185,0,1,8
6,60190,0,1,8
6,60192,0,1,8
6,60198,0,1,8
6,60199,0,1,8
6,60202,0,1,8
6,60209,0,1,8
6,60213,0,1,8
6,60218,0,1,8
6,60219,0,1,8
6,60219,0,2,8
6,60226,0,1,8
6,60228,0,1,8
6,60229,0,1,8
6,60230,0,1,8
6,60233,0,1,8
6,60234,0,1,8
6,60235,0,1,8
6,60236,0,1,8
6,60238,0,1,8
6,60244,0,1,8
6,60245,0,1,8
6,60247,0,1,8
6,60249,0,1,8
6,60252,0,1,8
6,60254,0,1,8
6,60254,0,2,8
6,60261,0,1,8
6,60265,0,1,8
6,60267,0,1,8
6,60271,0,1,8
6,60272,0,1,8
6,60273,0,1,8
6,60275,0,1,8
6,60280,0,1,8
6,60282,0,1,8
6,60286,0,1,8
6,60288,0,1,8
6,60291,0,1,8
6,60293,0,1,8
6,60297,0,1,9
6,60298,0,1,8
6,60305,0,1,8
6,60308,0,1,8
6,60314,0,1,8
6,60315,0,1,8
6,60318,0,1,8
6,60319,0,1,8
6,60324,0,1,8
6,60331,0,1,8
6,60341,0,1,8
6,60347,0,1,8
6,60358,0,1,8
6,60361,0,1,8
6,60361,0,2,8
6,60361,0,3,8
6,60362,0,1,8
6,60364,0,1,8
6,60368,0,1,8
6,60374,0,1,8
6,60376,0,1,8
6,60377,0,1,8
6,60378,0,1,8
6,60381,0,1,8
6,60386,0,1,8
6,60389,0,1,8
6,60389,0,2,8
6,60392,0,1,8
6,60396,0,1,8
6,60397,0,1,8
6,60398,0,1,8
6,60401,0,1,8
6,60403,0,1,8
6,60404,0,1,8
6,60406,0,1,8
6,60407,0,1,8
6,60408,0,1,8
6,60409,0,1,8
6,60410,0,1,2
6,60412,0,1,8
6,60413,0,1,8
6,60418,0,1,8
6,60421,0,1,8
6,60422,0,1,8
6,60425,0,1,1
6,60430,0,1,1
6,60431,0,1,1
6,60435,0,1,1
6,60436,0,1,8
6,60438,0,1,1
6,60439,0,1,1
6,60441,0,1,1
6,60443,0,1,8
6,60449,0,1,1
6,60450,0,1,1
6,60453,0,1,8
6,60458,0,1,1
6,60458,0,2,1
6,60463,0,1,1
6,60467,0,1,1
6,60468,0,1,2
6,60472,0,1,8
6,60473,0,1,1
6,60492,0,1,1
6,60493,0,1,8
6,60494,0,1,8
6,60498,0,1,8
6,60500,0,1,8
6,60505,0,1,8
6,60507,0,1,8
6,60508,0,1,8
6,60511,0,1,8
6,60516,0,1,8
6,60517,0,1,8
6,60521,0,1,8
6,60530,0,1,8
6,60537,0,1,8
6,60541,0,1,8
6,60542,0,1,8
6,60544,0,1,8
6,60548,0,1,8
6,60562,0,1,8
6,60563,0,1,8
6,60564,0,1,8
6,60565,0,1,8
6,60567,0,1,9
6,60570,0,1,8
6,60573,0,1,8
6,60584,0,1,1
6,60585,0,1,1
6,60587,0,1,8
6,60592,0,1,8
6,60594,0,1,8
6,60596,0,1,8
6,60597,0,1,1
6,60598,0,1,8
6,60599,0,1,8
6,60600,0,1,8
6,60601,0,1,8
6,60602,0,1,8
6,60606,0,1,8
6,60613,0,1,8
6,60615,0,1,1
6,60616,0,1,8
6,60617,0,1,8
6,60619,0,1,8
6,60622,0,1,8
6,60625,0,1,8
6,60627,0,1,1
6,60630,0,1,8
6,60631,0,1,8
6,60633,0,1,8
6,60634,0,1,8
6,60638,0,1,8
6,60640,0,1,2
6,60642,0,1,8
6,60644,0,1,8
6,60645,0,1,2
6,60646,0,1,8
6,60646,0,2,8
6,60650,0,1,8
6,60654,0,1,8
6,60657,0,1,1
6,60658,0,1,1
6,60659,0,1,8
6,60663,0,1,8
6,60678,0,1,8
6,60710,0,1,1
6,60718,0,1,1
6,60753,0,1,8
6,60771,0,1,8
6,60776,0,1,1
6,60783,0,1,1
6,60783,0,2,2
6,60785,0,1,8
6,60787,0,1,8
6,60790,0,1,1
6,60793,0,1,1
6,60795,0,1,8
6,60797,0,1,8
6,60797,0,2,8
6,60801,0,1,8
6,60803,0,1,8
6,60811,0,1,8
6,60816,0,1,8
6,60817,0,1,8
6,60820,0,1,8
6,60823,0,1,8
6,60825,0,1,8
6,60826,0,1,8
6,60831,0,1,8
6,60832,0,1,8
6,60836,0,1,1
6,60845,0,1,8
6,60846,0,1,8
6,60857,0,1,8
6,60861,0,1,8
6,60863,0,1,8
6,60863,0,2,8
6,60867,0,1,8
6,60870,0,1,8
6,60874,0,1,1
6,60876,0,1,8
6,60879,0,1,8
6,60884,0,1,8
6,60886,0,1,8
6,60888,0,1,2
6,60894,0,1,1
6,60895,0,1,8
6,60897,0,1,8
6,60898,0,1,8
6,60903,0,1,8
6,60906,0,1,8
6,60907,0,1,8
6,60908,0,1,8
6,60912,0,1,1
6,60916,0,1,8
6,60921,0,1,1
6,60922,0,1,8
6,60923,0,1,1
6,60924,0,1,8
6,60925,0,1,1
6,60926,0,1,8
6,60930,0,1,8
6,60934,0,1,8
6,60935,0,1,8
6,60944,0,1,8
6,60948,0,1,8
6,60950,0,1,8
6,60952,0,1,8
6,60954,0,1,8
6,60956,0,1,8
6,60956,0,2,8
6,60958,0,1,8
6,60958,0,2,8
6,60958,0,3,8
6,60958,0,4,8
6,60961,0,1,8
6,60962,0,1,1
6,60965,0,1,8
6,60967,0,1,8
6,60970,0,1,8
6,60970,0,2,8
6,60970,0,3,8
6,60970,0,4,8
6,60971,0,1,8
6,60972,0,1,8
6,60972,0,2,8
6,60973,0,1,8
6,60975,0,1,1
6,60977,0,1,8
6,60979,0,1,8
6,60980,0,1,8
6,60985,0,1,8
6,60987,0,1,2
6,60988,0,1,8
6,60991,0,1,8
6,60994,0,1,1
6,60997,0,1,8
6,60998,0,1,8
6,61000,0,1,8
6,61003,0,1,8
6,61006,0,1,8
6,61010,0,1,8
6,61015,0,1,8
6,61017,0,1,8
6,61019,0,1,8
6,61022,0,1,8
6,61028,0,1,8
6,61032,0,1,8
6,61039,0,1,8
6,61045,0,1,8
6,61049,0,1,8
6,61050,0,1,1
6,61051,0,1,8
6,61055,0,1,1
6,61056,0,1,8
6,61061,0,1,8
6,61061,0,2,8
6,61064,0,1,1
6,61065,0,1,8
6,61069,0,1,8
6,61071,0,1,8
6,61072,0,1,2
6,61077,0,1,8
6,61082,0,1,8
6,61083,0,1,1
6,61084,0,1,8
6,61087,0,1,1
6,61092,0,1,8
6,61094,0,1,8
6,61097,0,1,2
6,61100,0,1,8
6,61102,0,1,8
6,61103,0,1,8
6,61103,0,2,8
6,61104,0,1,2
6,61107,0,1,8
6,61108,0,1,8
6,61109,0,1,8
6,61113,0,1,8
6,61114,0,1,8
6,61122,0,1,8
6,61124,0,1,8
6,61128,0,1,8
6,61133,0,1,8
6,61135,0,1,8
6,61136,0,1,1
6,61138,0,1,8
6,61141,0,1,8
6,61145,0,1,2
6,61147,0,1,8
6,61156,0,1,8
6,61159,0,1,2
6,61164,0,1,1
6,61172,0,1,8
6,61175,0,1,1
6,61176,0,1,8
6,61178,0,1,8
6,61179,0,1,8
6,61183,0,1,8
6,61184,0,1,8
6,61185,0,1,8
6,61189,0,1,8
6,61192,0,1,1
6,61198,0,1,8
6,61208,0,1,8
6,61210,0,1,8
6,61216,0,1,8
6,61219,0,1,8
6,61221,0,1,1
6,61224,0,1,8
6,61225,0,1,1
6,61227,0,1,8
6,61234,0,1,8
6,61235,0,1,8
6,61235,0,2,8
6,61236,0,1,1
6,61237,0,1,2
6,61243,0,1,8
6,61249,0,1,8
6,61251,0,1,1
6,61254,0,1,8
6,61259,0,1,2
6,61261,0,1,8
6,61263,0,1,8
6,61273,0,1,1
6,61282,0,1,8
6,61289,0,1,8
6,61294,0,1,1
6,61303,0,1,8
6,61305,0,1,8
6,61306,0,1,8
6,61307,0,1,1
6,61312,0,1,1
6,61314,0,1,1
6,61324,0,1,8
6,61325,0,1,8
6,61329,0,1,8
6,61330,0,1,8
6,61333,0,1,8
6,61335,0,1,8
6,61342,0,1,8
6,61344,0,1,1
6,61347,0,1,8
6,61349,0,1,8
6,61349,0,2,8
6,61349,0,3,8
6,61349,0,4,8
6,61349,0,5,8
6,61349,0,6,8
6,61351,0,1,1
6,61352,0,1,8
6,61356,0,1,8
6,61359,0,1,8
6,61361,0,1,1
6,61365,0,1,8
6,61375,0,1,8
6,61377,0,1,8
6,61381,0,1,8
6,61384,0,1,8
6,61387,0,1,1
6,61396,0,1,1
6,61416,0,1,8
6,61419,0,1,8
6,61422,0,1,8
6,61425,0,1,8
6,61426,0,1,1
6,61427,0,1,8
6,61434,0,1,8
6,61437,0,1,8
6,61439,0,1,8
6,61444,0,1,8
6,61445,0,1,8
6,61447,0,1,8
6,61449,0,1,8
6,61454,0,1,8
6,61458,0,1,1
6,61461,0,1,1
6,61471,0,1,8
6,61472,0,1,2
6,61477,0,1,8
6,61480,0,1,1
6,61481,0,1,8
6,61482,0,1,1
6,61485,0,1,8
6,61486,0,1,8
6,61488,0,1,1
6,61489,0,1,8
6,61491,0,1,8
6,61494,0,1,1
6,61496,0,1,8
6,61498,0,1,8
6,61499,0,1,1
6,61500,0,1,1
6,61503,0,1,8
6,61503,0,2,8
6,61504,0,1,2
6,61505,0,1,8
6,61506,0,1,1
6,61508,0,1,1
6,61512,0,1,1
6,61514,0,1,1
6,61515,0,1,8
6,61516,0,1,8
6,61527,0,1,2
6,61528,0,1,1
6,61531,0,1,1
6,61534,0,1,8
6,61535,0,1,1
6,61538,0,1,1
6,61541,0,1,1
6,61543,0,1,1
6,61550,0,1,8
6,61553,0,1,1
6,61554,0,1,8
6,61558,0,1,8
6,61562,0,1,1
6,61567,0,1,8
6,61569,0,1,1
6,61573,0,1,1
6,61584,0,1,1
6,61591,0,1,1
6,61594,0,1,1
6,61595,0,1,1
6,61599,0,1,1
6,61611,0,1,8
6,61611,0,2,8
6,61612,0,1,8
6,61623,0,1,1
6,61624,0,1,8
6,61630,0,1,8
6,61633,0,1,8
6,61635,0,1,1
6,61636,0,1,1
6,61637,0,1,8
6,61642,0,1,2
6,61643,0,1,1
6,61646,0,1,1
6,61649,0,1,8
6,61652,0,1,2
6,61653,0,1,8
6,61664,0,1,1
6,61664,0,2,1
6,61665,0,1,1
6,61666,0,1,1
6,61667,0,1,8
6,61668,0,1,1
6,61671,0,1,8
6,61672,0,1,2
6,61674,0,1,8
6,61676,0,1,2
6,61683,0,1,8
6,61685,0,1,1
6,61688,0,1,8
6,61688,0,2,8
6,61689,0,1,8
6,61690,0,1,1
6,61692,0,1,3
6,61693,0,1,8
6,61697,0,1,1
6,61698,0,1,8
6,61707,0,1,1
6,61717,0,1,8
6,61721,0,1,8
6,61737,0,1,1
6,61738,0,1,8
6,61741,0,1,8
6,61754,0,1,8
6,61764,0,1,8
6,61784,0,1,8
6,61790,0,1,8
6,61795,0,1,8
6,61798,0,1,8
6,61807,0,1,8
6,61809,0,1,8
6,61813,0,1,8
6,61815,0,1,8
6,61832,0,1,8
6,61836,0,1,8
6,61837,0,1,8
6,61840,0,1,8
6,61844,0,1,8
6,61847,0,1,8
6,61851,0,1,8
6,61855,0,1,1
6,61868,0,1,1
6,61871,0,1,8
6,61877,0,1,1
6,61881,0,1,8
6,61883,0,1,8
6,61890,0,1,8
6,61892,0,1,8
6,61897,0,1,2
6,61916,0,1,8
6,61922,0,1,8
6,61925,0,1,8
6,61926,0,1,8
6,61928,0,1,1
6,61933,0,1,8
6,61937,0,1,1
6,61939,0,1,8
6,61943,0,1,1
6,61944,0,1,1
6,61955,0,1,8
6,61957,0,1,8
6,61960,0,1,8
6,61962,0,1,1
6,61963,0,1,8
6,61966,0,1,8
6,61970,0,1,8
6,61981,0,1,1
6,61983,0,1,8
6,61988,0,1,8
6,61991,0,1,8
6,61993,0,1,8
6,61993,0,2,8
6,61993,0,3,8
6,61997,0,1,8
6,61998,0,1,8
6,62000,0,1,8
6,62001,0,1,1
6,62007,0,1,1
6,62009,0,1,8
6,62011,0,1,8
6,62013,0,1,8
6,62014,0,1,8
6,62015,0,1,8
6,62017,0,1,8
6,62018,0,1,1
6,62037,0,1,8
6,62038,0,1,8
6,62040,0,1,8
6,62041,0,1,8
6,62042,0,1,1
6,62043,0,1,8
6,62044,0,1,8
6,62044,0,2,8
6,62044,0,3,8
6,62045,0,1,8
6,62046,0,1,8
6,62047,0,1,8
6,62049,0,1,8
6,62051,0,1,1
6,62055,0,1,8
6,62056,0,1,8
6,62057,0,1,1
6,62058,0,1,8
6,62059,0,1,1
6,62067,0,1,8
6,62068,0,1,8
6,62073,0,1,2
6,62074,0,1,8
6,62075,0,1,8
6,62076,0,1,8
6,62077,0,1,8
6,62079,0,1,8
6,62081,0,1,8
6,62082,0,1,8
6,62083,0,1,8
6,62084,0,1,8
6,62085,0,1,1
6,62086,0,1,8
6,62088,0,1,1
6,62094,0,1,8
6,62097,0,1,1
6,62099,0,1,8
6,62102,0,1,8
6,62106,0,1,8
6,62107,0,1,8
6,62110,0,1,8
6,62114,0,1,8
6,62118,0,1,8
6,62119,0,1,8
6,62120,0,1,8
6,62121,0,1,8
6,62122,0,1,8
6,62124,0,1,8
6,62126,0,1,1
6,62129,0,1,8
6,62130,0,1,8
6,62135,0,1,8
6,62136,0,1,8
6,62138,0,1,8
6,62139,0,1,8
6,62140,0,1,8
6,62141,0,1,8
6,62142,0,1,8
6,62143,0,1,8
6,62144,0,1,8
6,62149,0,1,8
6,62150,0,1,8
6,62151,0,1,8
6,62162,0,1,1
6,62165,0,1,8
6,62167,0,1,1
6,62171,0,1,8
6,62172,0,1,1
6,62175,0,1,8
6,62178,0,1,8
6,62179,0,1,8
6,62181,0,1,8
6,62191,0,1,8
6,62192,0,1,1
6,62192,0,2,1
6,62193,0,1,8
6,62194,0,1,7
6,62195,0,1,1
6,62196,0,1,1
6,62201,0,1,8
6,62202,0,1,8
6,62205,0,1,9
6,62207,0,1,8
6,62210,0,1,8
6,62212,0,1,8
6,62213,0,1,1
6,62215,0,1,8
6,62219,0,1,1
6,62221,0,1,8
6,62223,0,1,8
6,62229,0,1,1
6,62232,0,1,1
6,62233,0,1,8
6,62234,0,1,8
6,62237,0,1,8
6,62239,0,1,1
6,62242,0,1,8
6,62247,0,1,8
6,62254,0,1,8
6,62264,0,1,8
6,62269,0,1,8
6,62270,0,1,8
6,62272,0,1,1
6,62273,0,1,8
6,62274,0,1,8
6,62281,0,1,8
6,62284,0,1,8
6,62285,0,1,8
6,62289,0,1,8
6,62292,0,1,8
6,62293,0,1,3
6,62299,0,1,8
6,62304,0,1,8
6,62305,0,1,8
6,62306,0,1,8
6,62307,0,1,1
6,62308,0,1,8
6,62309,0,1,8
6,62311,0,1,1
6,62318,0,1,8
6,62319,0,1,1
6,62320,0,1,8
6,62321,0,1,8
6,62322,0,1,1
6,62326,0,1,1
6,62329,0,1,8
6,62331,0,1,1
6,62332,0,1,1
6,62334,0,1,8
6,62336,0,1,8
6,62339,0,1,8
6,62345,0,1,8
6,62346,0,1,8
6,62352,0,1,8
6,62353,0,1,8
6,62356,0,1,8
6,62357,0,1,8
6,62359,0,1,8
6,62363,0,1,8
6,62365,0,1,8
6,62368,0,1,8
6,62369,0,1,8
6,62370,0,1,1
6,62374,0,1,8
6,62383,0,1,8
6,62384,0,1,8
6,62386,0,1,2
6,62389,0,1,8
6,62391,0,1,1
6,62405,0,1,1
6,62406,0,1,8
6,62406,0,2,8
6,62408,0,1,8
6,62410,0,1,8
6,62412,0,1,8
6,62416,0,1,8
6,62418,0,1,8
6,62422,0,1,1
6,62430,0,1,8
6,62431,0,1,1
6,62433,0,1,8
6,62436,0,1,1
6,62439,0,1,8
6,62440,0,1,1
6,62441,0,1,8
6,62442,0,1,1
6,62449,0,1,8
6,62452,0,1,8
6,62454,0,1,8
6,62460,0,1,1
6,62461,0,1,8
6,62465,0,1,1
6,62471,0,1,8
6,62474,0,1,8
6,62475,0,1,8
6,62476,0,1,8
6,62477,0,1,8
6,62488,0,1,8
6,62490,0,1,8
6,62492,0,1,8
6,62494,0,1,8
6,62496,0,1,8
6,62497,0,1,1
6,62508,0,1,8
6,62510,0,1,2
6,62516,0,1,8
6,62519,0,1,8
6,62521,0,1,1
6,62527,0,1,8
6,62530,0,1,8
6,62532,0,1,8
6,62534,0,1,1
6,62536,0,1,8
6,62539,0,1,8
6,62543,0,1,8
6,62545,0,1,8
6,62552,0,1,8
6,62554,0,1,8
6,62556,0,1,8
6,62559,0,1,8
6,62566,0,1,8
6,62571,0,1,8
6,62573,0,1,8
6,62576,0,1,8
6,62578,0,1,8
6,62592,0,1,8
6,62610,0,1,8
6,62612,0,1,8
6,62613,0,1,8
6,62617,0,1,8
6,62618,0,1,1
6,62619,0,1,8
6,62626,0,1,8
6,62629,0,1,8
6,62635,0,1,8
6,62644,0,1,8
6,62644,0,2,8
6,62647,0,1,8
6,62650,0,1,8
6,62652,0,1,2
6,62656,0,1,8
6,62657,0,1,8
6,62658,0,1,1
6,62662,0,1,8
6,62662,0,2,8
6,62664,0,1,8
6,62667,0,1,8
6,62668,0,1,1
6,62669,0,1,1
6,62670,0,1,8
6,62676,0,1,1
6,62677,0,1,8
6,62678,0,1,2
6,62679,0,1,2
6,62681,0,1,8
6,62688,0,1,8
6,62690,0,1,8
6,62691,0,1,1
6,62696,0,1,1
6,62697,0,1,1
6,62700,0,1,8
6,62704,0,1,8
6,62705,0,1,8
6,62707,0,1,8
6,62708,0,1,8
6,62710,0,1,8
6,62713,0,1,8
