STATE,ST_CASE,EVENTNUM,VEH_NO,VEVENTNUM,VNUMBER1,AOI1,SOE,VNUMBER2,AOI2
1,10088,1,1,1,1,12,8,9999,77
1,10089,1,1,1,1,55,68,5555,55
1,10089,2,1,2,1,55,64,5555,55
1,10089,3,1,3,1,12,42,9999,77
1,10090,1,1,1,1,12,8,9999,77
1,10090,2,1,2,1,12,12,2,6
1,10090,2,2,1,1,12,12,2,6
1,10091,1,1,1,1,12,12,2,10
1,10091,1,2,1,1,12,12,2,10
1,10092,2,1,1,2,18,54,1,11
1,10092,3,1,2,2,98,12,1,61
1,10092,1,2,1,2,0,1,9999,77
1,10092,2,2,2,2,18,54,1,11
1,10092,3,2,3,2,98,12,1,61
1,10093,1,1,1,1,55,64,5555,55
1,10093,2,1,2,1,55,65,5555,55
1,10093,3,1,3,1,2,12,2,12
1,10093,4,1,4,3,12,12,1,8
1,10093,3,2,1,1,2,12,2,12
1,10093,4,3,1,3,12,12,1,8
1,10094,1,1,1,1,55,64,5555,55
1,10094,2,1,2,1,12,21,9999,77
1,10094,3,1,3,1,0,1,9999,77
1,10095,1,1,1,1,12,12,2,6
1,10095,2,1,2,1,55,64,5555,55
1,10095,15,1,3,1,12,12,7,12
1,10095,1,2,1,1,12,12,2,6
1,10095,3,2,2,2,98,12,3,98
1,10095,3,3,1,2,98,12,3,98
1,10095,4,3,2,3,98,12,4,98
1,10095,5,3,3,3,55,64,5555,55
1,10095,6,3,4,3,0,1,9999,77
1,10095,4,4,1,3,98,12,4,98
1,10095,7,4,2,4,98,12,5,98
1,10095,7,5,1,4,98,12,5,98
1,10095,8,5,2,5,98,12,6,98
1,10095,9,5,3,5,98,12,8,98
1,10095,10,5,4,5,98,12,9,98
1,10095,8,6,1,5,98,12,6,98
1,10095,11,6,2,6,98,12,7,98
1,10095,12,6,3,10,12,12,6,8
1,10095,17,6,4,6,98,12,8,98
1,10095,11,7,1,6,98,12,7,98
1,10095,13,7,2,7,98,12,8,98
1,10095,14,7,3,7,55,64,5555,55
1,10095,15,7,4,1,12,12,7,12
1,10095,9,8,1,5,98,12,8,98
1,10095,13,8,2,7,98,12,8,98
1,10095,16,8,3,8,12,12,9,6
1,10095,17,8,4,6,98,12,8,98
1,10095,10,9,1,5,98,12,9,98
1,10095,16,9,2,8,12,12,9,6
1,10095,12,10,1,10,12,12,6,8
1,10096,1,1,1,1,55,68,5555,55
1,10096,2,1,2,1,55,63,5555,55
1,10096,3,1,3,1,10,42,9999,77
1,10097,1,1,1,1,55,68,5555,55
1,10097,2,1,2,1,12,12,2,12
1,10097,2,2,1,1,12,12,2,12
1,10098,1,1,1,1,12,8,9999,77
1,10099,1,1,1,1,55,63,5555,55
1,10099,2,1,2,1,14,32,9999,77
1,10099,3,1,3,1,0,1,9999,77
1,10099,4,1,4,1,98,42,9999,77
1,10101,1,1,1,1,55,63,5555,55
1,10101,2,1,2,1,55,69,5555,55
1,10101,3,1,3,1,55,68,5555,55
1,10101,4,1,4,1,55,68,5555,55
1,10101,5,1,5,1,55,63,5555,55
1,10101,6,1,6,1,0,1,9999,77
1,10101,7,1,7,1,98,38,9999,77
1,10101,8,1,8,1,13,42,9999,77
1,10101,9,1,9,1,98,42,9999,77
1,10102,1,1,1,1,55,64,5555,55
1,10102,2,1,2,1,61,25,9999,77
1,10103,1,1,1,1,55,68,5555,55
1,10103,2,1,2,1,55,64,5555,55
1,10103,3,1,3,1,12,53,9999,77
1,10103,4,1,4,1,12,32,9999,77
1,10103,5,1,5,1,12,53,9999,77
1,10103,6,1,6,1,12,42,9999,77
1,10104,1,1,1,2,12,12,1,12
1,10104,1,2,1,2,12,12,1,12
1,10105,1,1,1,1,55,63,5555,55
1,10105,2,1,2,1,55,67,5555,55
1,10105,3,1,3,1,12,42,9999,77
1,10105,4,1,4,1,0,3,9999,77
1,10106,1,1,1,1,55,68,5555,55
1,10106,2,1,2,1,55,64,5555,55
1,10106,3,1,3,1,7,42,9999,77
1,10106,4,1,4,1,98,42,9999,77
1,10107,1,1,1,1,55,63,5555,55
1,10107,2,1,2,1,55,69,5555,55
1,10107,3,1,3,1,55,68,5555,55
1,10107,4,1,4,1,3,12,2,12
1,10107,5,1,5,1,55,64,5555,55
1,10107,6,1,6,1,12,39,9999,77
1,10107,4,2,1,1,3,12,2,12
1,10107,7,2,2,2,55,63,5555,55
1,10107,8,2,3,2,12,39,9999,77
1,10108,1,1,1,1,55,68,5555,55
1,10108,2,1,2,1,12,12,2,12
1,10108,2,2,1,1,12,12,2,12
1,10109,1,1,1,1,55,68,5555,55
1,10109,2,1,2,1,12,12,2,12
1,10109,3,1,3,1,55,68,5555,55
1,10109,4,1,4,1,6,12,3,12
1,10109,2,2,1,1,12,12,2,12
1,10109,4,3,1,1,6,12,3,12
1,10110,1,1,1,1,55,63,5555,55
1,10110,2,1,2,1,12,42,9999,77
1,10111,1,1,1,1,55,63,5555,55
1,10111,2,1,2,1,12,35,9999,77
1,10111,3,1,3,1,0,1,9999,77
1,10112,1,1,1,1,55,68,5555,55
1,10112,2,1,2,1,55,64,5555,55
1,10112,3,1,3,1,12,42,9999,77
1,10112,4,1,4,1,0,1,9999,77
1,10113,1,1,1,1,12,8,9999,77
1,10114,1,1,1,1,12,12,2,6
1,10114,1,2,1,1,12,12,2,6
1,10114,2,2,2,2,55,63,5555,55
1,10114,3,2,3,2,98,42,9999,77
1,10115,1,1,1,1,55,64,5555,55
1,10115,2,1,2,1,55,69,5555,55
1,10115,3,1,3,1,0,1,9999,77
1,10116,1,1,1,1,12,12,2,6
1,10116,1,2,1,1,12,12,2,6
1,10117,1,1,1,2,12,12,1,6
1,10117,1,2,1,2,12,12,1,6
1,10117,2,2,2,2,19,8,9999,77
1,10118,1,1,1,1,55,68,5555,55
1,10118,2,1,2,1,55,63,5555,55
1,10118,3,1,3,1,12,30,9999,77
1,10119,1,1,1,1,12,12,2,12
1,10119,1,2,1,1,12,12,2,12
1,10120,1,1,1,1,55,68,5555,55
1,10120,2,1,2,1,2,12,2,12
1,10120,2,2,1,1,2,12,2,12
1,10121,1,1,1,1,12,12,2,6
1,10121,2,1,2,1,55,68,5555,55
1,10121,3,1,3,1,55,64,5555,55
1,10121,4,1,4,1,98,42,9999,77
1,10121,1,2,1,1,12,12,2,6
1,10122,1,1,1,1,55,68,5555,55
1,10122,2,1,2,1,55,64,5555,55
1,10122,3,1,3,1,12,34,9999,77
1,10122,4,1,4,1,12,42,9999,77
1,10123,1,1,1,1,12,12,2,11
1,10123,4,1,2,1,55,64,5555,55
1,10123,5,1,3,1,12,34,9999,77
1,10123,1,2,1,1,12,12,2,11
1,10123,2,2,2,2,55,63,5555,55
1,10123,3,2,3,2,0,1,9999,77
1,10124,1,1,1,1,12,8,9999,77
1,10125,1,1,1,1,55,63,5555,55
1,10125,2,1,2,1,12,38,9999,77
1,10125,3,1,3,1,12,42,9999,77
1,10125,4,1,4,1,0,2,9999,77
1,10126,1,1,1,1,55,68,5555,55
1,10126,2,1,2,1,12,12,2,12
1,10126,2,2,1,1,12,12,2,12
1,10126,3,2,2,2,0,1,9999,77
1,10127,1,1,1,2,12,12,1,3
1,10127,1,2,1,2,12,12,1,3
1,10128,1,1,1,1,12,8,9999,77
1,10129,1,1,1,2,12,12,1,10
1,10129,1,2,1,2,12,12,1,10
1,10130,1,1,1,1,55,63,5555,55
1,10130,2,1,2,1,55,69,5555,55
1,10130,3,1,3,1,55,64,5555,55
1,10130,4,1,4,1,55,65,5555,55
1,10130,5,1,5,1,12,12,2,12
1,10130,5,2,1,1,12,12,2,12
1,10131,1,1,1,1,12,8,9999,77
1,10132,1,1,1,2,12,12,1,3
1,10132,1,2,1,2,12,12,1,3
1,10133,1,1,1,2,12,12,1,8
1,10133,1,2,1,2,12,12,1,8
1,10134,1,1,1,2,12,12,1,10
1,10134,1,2,1,2,12,12,1,10
1,10135,1,1,1,1,55,63,5555,55
1,10135,2,1,2,1,55,69,5555,55
1,10135,3,1,3,1,55,68,5555,55
1,10135,4,1,4,1,2,12,2,12
1,10135,5,1,5,1,18,54,3,13
1,10135,4,2,1,1,2,12,2,12
1,10135,5,3,1,1,18,54,3,13
1,10136,1,1,1,1,55,68,5555,55
1,10136,2,1,2,1,55,64,5555,55
1,10136,3,1,3,1,8,42,9999,77
1,10136,4,1,4,1,12,42,9999,77
1,10137,1,1,1,1,12,8,9999,77
1,10138,1,1,1,1,55,68,5555,55
1,10138,2,1,2,1,12,12,2,12
1,10138,2,2,1,1,12,12,2,12
1,10138,3,2,2,2,55,68,5555,55
1,10138,4,2,3,2,12,12,3,12
1,10138,7,2,4,2,55,64,5555,55
1,10138,8,2,5,2,12,30,9999,77
1,10138,4,3,1,2,12,12,3,12
1,10138,5,3,2,3,55,63,5555,55
1,10138,6,3,3,3,0,1,9999,77
1,10139,1,1,1,1,55,64,5555,55
1,10139,2,1,2,1,55,65,5555,55
1,10139,3,1,3,2,12,12,1,10
1,10139,3,2,1,2,12,12,1,10
1,10139,4,2,2,3,12,12,2,9
1,10139,4,3,1,3,12,12,2,9
1,10139,5,3,2,3,55,63,5555,55
1,10139,6,3,3,3,12,32,9999,77
1,10139,7,3,4,3,0,1,9999,77
1,10140,1,1,1,1,55,68,5555,55
1,10140,2,1,2,1,12,12,2,12
1,10140,2,2,1,1,12,12,2,12
1,10140,3,2,2,2,0,72,9999,77
1,10140,4,2,3,2,0,2,9999,77
1,10141,1,1,1,1,12,12,2,6
1,10141,4,1,2,1,98,12,2,98
1,10141,6,1,3,1,12,12,6,6
1,10141,11,1,4,1,18,54,8,98
1,10141,12,1,5,1,18,54,9,6
1,10141,13,1,6,1,0,51,9999,77
1,10141,14,1,7,1,0,2,9999,77
1,10141,1,2,1,1,12,12,2,6
1,10141,2,2,2,2,98,12,3,5
1,10141,3,2,3,2,98,12,4,3
1,10141,4,2,4,1,98,12,2,98
1,10141,5,2,5,2,98,12,5,6
1,10141,15,2,6,2,0,2,9999,77
1,10141,2,3,1,2,98,12,3,5
1,10141,3,4,1,2,98,12,4,3
1,10141,5,5,1,2,98,12,5,6
1,10141,9,5,2,6,18,54,5,98
1,10141,16,5,3,5,0,2,9999,77
1,10141,6,6,1,1,12,12,6,6
1,10141,7,6,2,6,12,12,7,6
1,10141,8,6,3,6,55,60,5555,55
1,10141,9,6,4,6,18,54,5,98
1,10141,10,6,5,6,18,54,8,6
1,10141,17,6,6,6,0,2,9999,77
1,10141,7,7,1,6,12,12,7,6
1,10141,10,8,1,6,18,54,8,6
1,10141,11,8,2,1,18,54,8,98
1,10141,12,9,1,1,18,54,9,6
1,10142,1,1,1,1,55,63,5555,55
1,10142,2,1,2,1,12,42,9999,77
1,10142,3,1,3,1,3,42,9999,77
1,10143,1,1,1,2,12,12,1,12
1,10143,1,2,1,2,12,12,1,12
1,10144,1,1,1,1,55,68,5555,55
1,10144,2,1,2,1,12,12,2,12
1,10144,2,2,1,1,12,12,2,12
1,10145,1,1,1,1,12,12,2,10
1,10145,2,1,2,1,19,54,2,13
1,10145,1,2,1,1,12,12,2,10
1,10145,2,2,2,1,19,54,2,13
1,10146,2,1,1,1,12,12,3,12
1,10146,1,2,1,2,12,12,3,6
1,10146,1,3,1,2,12,12,3,6
1,10146,2,3,2,1,12,12,3,12
1,10147,1,1,1,1,55,68,5555,55
1,10147,2,1,2,1,12,12,2,12
1,10147,2,2,1,1,12,12,2,12
1,10147,3,2,2,2,55,68,5555,55
1,10147,4,2,3,2,55,64,5555,55
1,10147,5,2,4,2,0,1,9999,77
1,10148,1,1,1,1,55,63,5555,55
1,10148,2,1,2,1,12,8,9999,77
1,10148,3,1,3,1,12,59,9999,77
1,10149,1,1,1,1,55,68,5555,55
1,10149,2,1,2,1,55,64,5555,55
1,10149,3,1,3,1,12,42,9999,77
1,10150,1,1,1,1,55,68,5555,55
1,10150,2,1,2,1,12,12,2,12
1,10150,2,2,1,1,12,12,2,12
1,10151,1,1,1,1,55,68,5555,55
1,10151,2,1,2,1,55,64,5555,55
1,10151,3,1,3,1,12,34,9999,77
1,10152,1,1,1,1,55,68,5555,55
1,10152,2,1,2,1,12,12,2,12
1,10152,2,2,1,1,12,12,2,12
1,10152,3,2,2,2,0,1,9999,77
1,10153,1,1,1,1,55,64,5555,55
1,10153,2,1,2,1,55,65,5555,55
1,10153,3,1,3,1,12,12,2,12
1,10153,6,1,4,1,2,12,5,11
1,10153,3,2,1,1,12,12,2,12
1,10153,4,2,2,2,2,12,3,11
1,10153,5,2,3,4,12,12,2,6
1,10153,4,3,1,2,2,12,3,11
1,10153,5,4,1,4,12,12,2,6
1,10153,6,5,1,1,2,12,5,11
1,10154,1,1,1,1,55,68,5555,55
1,10154,2,1,2,1,55,64,5555,55
1,10154,3,1,3,1,12,21,9999,77
1,10155,1,1,1,1,55,63,5555,55
1,10155,2,1,2,1,98,33,9999,77
1,10155,3,1,3,1,55,69,5555,55
1,10155,4,1,4,1,11,12,2,4
1,10155,5,1,5,1,0,1,9999,77
1,10155,4,2,1,1,11,12,2,4
1,10156,1,1,1,1,55,63,5555,55
1,10156,2,1,2,1,11,52,9999,77
1,10156,3,1,3,1,0,1,9999,77
1,10157,1,1,1,1,55,64,5555,55
1,10157,2,1,2,1,12,25,9999,77
1,10157,3,1,3,1,0,1,9999,77
1,10157,4,1,4,1,55,69,5555,55
1,10157,5,1,5,2,12,12,1,61
1,10157,5,2,1,2,12,12,1,61
1,10157,6,2,2,2,55,64,5555,55
1,10157,7,2,3,2,6,25,9999,77
1,10158,1,1,1,1,55,63,5555,55
1,10158,2,1,2,1,55,69,5555,55
1,10158,3,1,3,1,55,68,5555,55
1,10158,4,1,4,2,12,12,1,3
1,10158,4,2,1,2,12,12,1,3
1,10159,1,1,1,1,55,68,5555,55
1,10159,2,1,2,1,55,64,5555,55
1,10159,3,1,3,1,12,42,9999,77
1,10159,4,1,4,1,12,32,9999,77
1,10160,1,1,1,1,3,8,9999,77
1,10161,1,1,1,1,12,12,2,11
1,10161,1,2,1,1,12,12,2,11
1,10161,2,2,2,2,55,63,5555,55
1,10161,3,2,3,2,0,1,9999,77
