ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10053,0,0,0,0,0,0,0,0,0,0
10054,0,0,11,0,14,5,0,0,11,0
10055,32,32,32,32,32,32,32,32,32,32
10056,14,14,14,14,14,14,14,14,14,14
10057,0,0,0,0,0,0,0,0,0,0
10058,0,0,0,0,0,0,0,0,0,0
10059,17,8,8,8,8,10,8,8,8,8
10060,0,0,0,0,0,0,0,0,0,0
10061,17,17,17,17,17,17,17,17,17,17
10062,0,0,0,0,0,0,0,0,0,0
10063,11,19,8,9,22,15,3,10,10,16
10064,0,0,0,0,23,0,0,12,0,0
10065,0,0,0,0,0,0,0,0,0,0
10066,4,4,4,4,4,4,4,4,4,4
10067,0,0,0,6,0,0,0,0,0,0
10068,0,0,0,12,0,0,0,0,0,0
10069,21,21,21,21,21,21,21,21,21,21
10070,20,20,20,20,20,20,20,20,20,20
10071,0,0,13,0,0,0,0,0,0,22
10072,18,32,0,0,13,26,0,15,0,0
10073,19,33,0,0,32,0,19,0,16,0
10074,12,19,38,0,0,23,29,8,9,14
10075,21,21,21,22,21,21,21,21,21,21
10076,0,0,0,0,0,0,0,0,0,0
10077,22,22,22,22,22,22,22,22,22,22
10078,0,0,0,0,0,0,0,0,0,0
10079,7,7,7,7,7,7,7,7,7,7
10080,20,20,20,20,20,20,20,20,20,20
10081,25,25,25,25,25,25,25,25,25,25
10082,0,0,0,0,20,16,0,0,0,13
10083,20,20,20,20,20,20,20,20,20,20
10084,11,11,11,11,11,11,11,11,11,11
10085,34,34,34,34,34,34,34,34,34,34
10086,13,13,13,14,13,13,13,13,13,13
10087,0,0,0,0,0,0,0,0,0,0
10088,0,0,0,28,0,0,31,0,20,16
10089,22,22,22,22,22,22,22,22,22,22
10090,0,0,15,0,0,21,10,14,0,0
10091,0,13,0,0,0,0,0,0,0,0
10092,5,0,0,0,0,0,0,0,0,0
10093,38,0,4,22,5,9,18,0,0,24
10094,0,0,0,0,0,0,0,0,0,0
10095,0,0,0,0,0,0,0,0,0,18
10096,23,23,23,23,23,23,23,23,23,23
10097,0,0,0,0,0,0,0,0,0,0
10098,0,0,0,0,0,0,0,0,0,0
10099,0,0,0,0,18,0,0,0,0,0
10101,14,14,14,14,14,14,14,14,14,14
10102,8,8,8,8,8,8,8,8,8,8
10103,13,13,13,13,13,13,13,13,13,13
10104,0,0,0,0,0,0,0,0,0,0
10105,12,12,12,12,12,12,12,12,12,12
10106,6,6,6,6,6,6,6,6,6,6
10107,9,12,12,4,6,23,11,36,19,20
10108,23,0,0,8,0,0,7,0,8,16
10109,0,0,0,4,0,0,7,0,0,0
10110,0,0,0,0,0,0,0,0,0,0
10111,9,9,9,9,9,9,9,9,9,9
10112,0,0,0,0,0,0,0,0,0,0
10113,0,25,4,27,17,23,22,0,0,12
10114,15,15,15,15,15,15,15,15,15,15
10115,0,0,0,0,0,0,0,10,0,0
10116,0,0,0,0,0,0,0,0,0,0
10117,0,0,0,0,0,0,0,0,0,0
10118,0,0,0,0,0,0,0,0,0,0
10119,0,0,0,0,0,0,0,0,0,12
10120,0,0,0,0,0,0,0,0,0,0
10121,0,0,0,0,0,0,0,0,0,0
10122,0,0,0,0,0,0,0,0,0,0
10123,0,0,0,0,0,0,0,0,0,0
10124,0,0,0,0,0,0,0,0,0,0
10125,0,0,0,0,0,0,0,0,0,0
10126,0,0,0,0,0,0,0,0,0,0
10127,0,0,0,0,0,0,0,0,0,0
10128,0,12,0,0,0,0,0,29,6,0
10129,0,0,0,0,0,0,0,0,0,0
10130,0,0,0,0,0,0,0,0,0,0
10131,20,20,20,20,20,20,20,20,20,20
10132,0,0,0,0,4,0,0,0,13,0
10133,0,0,0,0,0,0,0,0,0,0
10134,0,29,10,0,0,0,0,8,0,0
10135,19,19,19,19,21,19,19,19,19,21
10136,10,10,10,10,10,10,10,10,10,10
10137,0,0,0,0,0,0,0,0,0,0
10138,0,0,0,0,0,0,0,0,0,0
10139,0,0,0,0,0,0,0,0,0,0
10140,7,4,4,4,4,4,4,4,4,4
10141,0,0,0,0,0,0,0,0,0,0
10142,25,27,31,8,18,28,0,21,6,8
10143,8,8,8,8,8,8,8,8,8,8
10144,18,18,18,18,18,18,18,18,18,18
10145,0,0,0,0,0,0,13,0,0,8
10146,25,9,15,9,9,9,9,9,18,42
10147,0,0,0,0,0,0,0,0,0,0
10148,0,0,0,0,0,0,0,0,0,0
10149,21,21,21,21,21,21,21,21,21,21
10150,0,0,0,0,0,0,0,0,0,0
10151,7,7,7,7,7,7,7,7,7,7
10152,0,0,0,20,0,0,0,0,0,0
10153,0,19,16,0,0,0,0,22,0,0
10154,0,0,0,0,0,0,0,0,0,0
10155,20,16,0,36,15,0,10,0,0,0
10156,0,0,0,0,0,0,0,0,0,0
10157,30,0,0,0,10,0,0,0,0,0
10158,0,10,0,0,0,0,0,0,0,0
10159,0,0,0,0,0,0,0,0,0,0
10160,3,16,25,9,44,43,8,15,48,33
10161,0,0,0,0,0,0,0,0,0,0
10162,0,0,15,0,0,0,0,0,13,0
10163,0,0,0,0,0,0,0,0,0,0
10164,0,22,0,0,0,0,0,0,0,0
10165,0,0,0,0,0,0,0,0,0,0
10166,11,11,11,11,11,11,11,11,11,11
10167,21,21,21,21,21,21,21,21,21,21
10168,6,22,2,13,18,15,13,17,25,11
10169,0,0,0,0,0,0,0,0,0,0
10170,0,0,0,0,0,0,0,0,0,0
10171,0,0,0,0,0,0,0,0,0,0
10172,0,0,0,0,0,0,0,0,0,0
10173,23,23,23,23,23,23,23,23,23,23
10174,0,0,0,0,0,0,0,0,0,0
10175,0,0,0,0,0,0,0,0,0,0
10176,0,0,0,0,0,0,0,0,0,0
10177,0,0,0,0,17,0,0,0,0,0
10178,17,13,30,23,25,14,19,24,33,22
10179,0,0,0,0,0,10,0,0,0,0
10180,0,0,0,0,0,0,0,0,0,0
10181,0,0,0,0,0,0,0,0,0,0
10182,0,0,0,0,0,0,0,0,0,0
10183,22,18,0,21,22,0,0,18,0,8
10184,12,12,12,12,12,12,12,12,12,12
10185,0,0,0,0,0,0,0,0,0,0
10186,0,0,0,0,0,0,0,0,0,0
10187,12,12,12,12,12,12,12,12,12,12
10188,0,0,0,0,0,0,0,0,0,0
10189,0,0,0,0,0,0,0,0,0,0
10190,0,11,0,0,0,0,0,0,0,0
10191,1,1,1,1,1,1,1,1,1,1
10192,0,0,0,0,0,0,0,0,0,0
10193,0,0,0,0,0,0,0,0,0,0
10194,18,18,18,25,18,21,18,19,18,27
10195,21,27,0,15,0,7,8,16,12,0
10196,14,14,14,14,14,14,14,14,14,14
10197,8,8,8,8,8,8,8,8,8,8
10198,0,0,0,0,0,0,0,0,0,0
10199,0,0,0,0,0,0,0,0,0,0
10200,0,0,0,0,0,0,0,0,0,0
10201,0,0,0,0,0,0,0,0,0,0
10202,0,0,0,0,0,0,21,0,0,0
10203,36,36,36,36,36,36,36,36,36,36
10204,0,0,0,0,0,0,0,0,0,0
10205,11,11,11,11,11,11,11,11,11,11
10206,24,24,24,26,24,24,24,24,24,24
10207,11,0,0,22,22,0,0,0,18,7
10208,0,0,0,9,10,0,0,0,0,0
10209,0,0,0,0,0,0,0,0,0,0
10210,28,0,30,16,42,0,0,0,16,0
10211,0,0,0,0,0,0,0,0,14,0
10212,0,0,0,0,0,0,0,0,0,0
10213,0,4,0,0,0,28,0,0,0,19
10214,18,18,18,18,18,18,18,18,18,18
10215,0,0,19,0,17,0,19,0,0,0
10216,0,0,0,0,0,0,0,0,0,0
10217,17,17,17,17,17,17,17,17,17,17
10218,0,0,0,20,0,0,0,0,31,0
10219,0,0,0,0,0,0,0,0,0,0
10220,0,0,0,0,0,0,0,0,0,0
10221,0,0,0,0,0,0,0,0,0,0
10222,0,0,0,0,0,0,0,0,0,0
10223,19,19,19,19,19,19,19,19,19,19
10224,0,38,41,0,0,0,0,12,21,12
10225,15,15,15,15,15,15,15,15,15,15
10226,0,0,0,0,0,0,0,0,0,0
10227,0,32,0,0,18,8,0,0,0,0
10228,0,0,0,0,0,0,0,0,0,0
10229,0,0,0,0,0,0,0,0,0,0
10230,0,13,0,25,23,0,0,0,24,0
10231,20,0,0,0,0,0,0,0,0,0
10232,0,0,0,0,0,0,0,0,0,0
10233,0,0,0,0,0,0,0,0,0,0
10234,0,0,0,0,0,0,0,0,0,0
10235,0,0,0,0,0,0,0,0,0,0
10236,0,0,0,0,0,36,0,0,0,0
10237,18,8,10,17,28,22,12,0,17,14
10238,1,1,1,1,1,1,1,1,1,1
10239,0,0,0,0,0,0,0,0,0,0
10240,0,0,0,0,0,0,0,0,0,0
10241,0,0,0,0,0,0,0,0,0,0
10242,0,0,0,0,0,0,0,0,0,0
10243,0,0,0,0,0,0,0,0,0,0
10244,0,0,0,0,0,0,0,0,0,0
10245,21,21,21,21,21,21,21,21,21,21
10246,8,0,32,17,20,22,18,0,17,21
10247,0,0,18,4,0,0,21,0,0,11
10248,0,0,0,0,0,0,0,0,0,0
10249,0,0,0,0,0,0,0,0,0,0
10250,0,0,0,0,17,0,0,0,0,0
10251,0,0,0,0,0,0,0,0,0,0
10252,27,14,0,0,28,11,0,6,27,18
10253,9,9,9,9,9,9,9,9,9,9
10254,0,0,0,0,0,0,0,0,0,0
10255,14,25,20,13,18,28,23,6,18,15
10256,27,27,27,27,27,27,27,27,27,27
10257,0,0,0,0,0,0,0,0,0,0
10258,0,0,0,0,0,0,0,0,0,0
10259,0,0,0,0,0,23,0,9,18,10
10260,0,0,0,0,0,0,0,0,0,0
10261,10,10,10,10,10,10,10,10,10,10
10262,16,16,16,16,16,16,16,16,16,16
10263,0,0,0,0,0,0,0,0,0,0
10264,7,7,7,7,7,7,7,7,7,7
10265,0,21,0,0,0,6,0,0,0,0
10266,0,0,0,0,0,0,0,0,0,0
10267,0,0,0,0,0,0,0,0,0,22
10268,0,3,0,0,0,34,0,28,0,56
10269,0,0,0,0,0,0,0,0,0,0
10270,22,22,22,22,22,22,22,22,22,22
10271,0,0,0,0,0,0,0,10,3,0
10272,19,19,19,19,19,22,19,19,19,19
10273,13,0,0,0,0,0,0,0,0,0
10274,0,0,0,0,0,0,8,0,0,0
10275,0,0,0,0,0,0,0,0,0,0
10276,24,24,24,24,24,24,24,24,24,24
10277,0,0,0,0,0,0,0,2,0,0
10278,0,0,0,0,0,0,0,0,0,0
10279,0,0,0,0,0,0,0,0,0,0
10280,32,32,32,32,32,32,32,32,32,32
10281,0,0,0,0,0,0,0,0,0,0
10282,0,0,0,64,18,25,0,0,0,0
10283,29,29,29,29,29,29,29,29,29,29
10284,0,0,0,0,0,0,16,0,0,0
10285,0,0,0,0,0,0,0,0,0,0
10286,0,0,0,0,0,0,0,0,10,0
10287,0,0,0,0,0,0,0,0,0,0
10288,23,0,0,0,18,0,12,0,0,0
10289,0,0,0,0,0,0,0,0,0,0
10290,0,0,0,0,0,0,0,0,0,0
10291,21,20,10,25,18,10,17,51,18,10
10292,0,21,18,0,14,33,0,0,22,0
10293,0,0,0,0,0,21,0,14,0,0
10294,0,0,0,0,20,0,0,0,0,19
10295,0,0,0,0,0,0,0,0,0,0
10296,24,24,24,24,24,24,24,24,24,24
10297,0,0,0,0,0,0,0,0,0,0
10298,20,20,20,20,20,20,20,20,20,20
10299,0,0,0,0,0,0,0,0,0,0
10300,16,6,5,4,22,22,14,11,0,0
10301,30,30,30,30,30,30,30,30,30,30
10302,6,6,6,6,6,6,6,6,6,6
10303,15,19,18,15,15,15,15,15,15,17
10304,20,20,20,20,20,20,20,20,20,20
10305,0,0,0,0,0,0,0,0,0,0
10306,0,0,0,0,0,0,5,0,0,0
10307,1,1,1,1,1,1,1,1,1,1
10308,0,0,25,13,0,0,0,7,24,11
10309,0,0,0,0,0,0,0,0,0,0
10310,0,0,0,0,0,0,0,0,0,0
10311,18,20,8,13,17,14,19,34,18,26
10312,21,21,21,21,21,21,21,21,21,21
10313,26,26,26,26,26,26,26,26,26,26
10314,4,4,4,4,4,4,4,4,4,4
10315,0,0,0,0,39,0,0,0,0,0
10316,0,0,0,0,0,0,36,3,8,0
10317,0,0,0,0,0,0,0,0,0,0
10318,0,0,0,0,0,0,0,0,0,0
10319,0,0,0,0,0,0,0,0,0,0
10320,0,0,0,0,0,0,0,0,0,0
10321,0,0,0,0,0,0,0,0,0,0
10322,0,0,0,0,0,0,0,0,0,0
10323,0,0,0,0,0,0,0,0,0,0
10324,17,24,26,10,5,21,15,9,17,0
10325,0,0,0,0,0,0,0,0,0,0
10326,0,0,0,0,0,0,0,0,0,0
10327,16,16,16,16,16,16,16,16,16,16
10328,16,16,16,16,16,16,16,16,16,16
10329,0,14,12,16,9,0,0,17,10,16
10330,0,0,0,0,0,0,0,0,0,0
10331,0,0,0,0,0,0,0,14,0,0
10332,0,0,0,0,0,0,0,0,0,0
10333,0,0,0,0,0,0,0,0,0,0
10334,21,21,21,21,21,21,21,21,21,21
10335,9,9,9,9,9,9,9,9,9,9
10336,0,0,0,0,0,0,0,0,0,0
10337,0,0,0,0,0,0,0,0,0,0
10338,0,27,0,0,0,0,0,0,0,0
10339,0,0,0,28,0,13,0,0,9,0
10340,0,0,0,0,0,0,0,0,0,0
10341,29,9,9,0,29,0,15,0,0,32
10342,0,0,0,0,0,0,0,14,0,14
10343,0,0,0,0,0,0,0,0,0,0
10344,20,0,0,0,0,0,0,0,0,0
10345,0,0,0,0,0,0,0,0,0,0
10346,1,1,1,1,1,1,1,1,1,1
10347,0,12,0,0,0,0,0,0,0,28
10348,21,20,20,20,20,20,20,20,20,20
10349,0,0,0,0,0,0,0,0,0,0
10350,0,0,5,0,0,10,0,0,15,0
10351,19,19,19,19,19,19,19,19,19,19
10352,0,0,0,0,0,0,0,0,0,0
10353,47,47,47,47,47,47,47,47,47,47
10354,0,0,0,0,0,16,0,0,0,0
10355,31,31,31,31,31,31,31,31,31,31
10356,0,0,0,16,27,0,0,11,0,0
10357,18,18,18,18,18,18,18,18,18,18
10358,0,12,0,0,11,0,0,9,0,11
10359,0,0,0,0,0,0,0,0,0,0
10360,0,0,0,0,0,0,0,0,0,0
10361,24,0,0,0,9,23,0,0,30,9
10362,12,12,12,12,12,12,12,12,12,12
10363,0,0,0,0,0,0,0,0,0,0
10364,22,0,0,15,0,0,0,0,0,18
10365,0,0,0,0,0,0,0,0,0,0
10366,0,0,0,0,0,0,0,0,0,0
10367,4,4,4,4,4,4,4,4,4,4
10368,16,16,16,16,16,16,16,16,16,16
10369,31,31,31,31,31,31,31,31,31,37
10370,10,0,0,0,0,0,0,0,0,0
10371,0,0,0,0,0,0,0,0,0,0
10372,18,18,18,18,18,18,18,18,18,18
10373,0,0,0,0,0,0,0,0,0,0
10374,0,0,0,0,0,0,0,0,0,0
10375,0,0,0,0,0,0,0,0,0,0
10376,0,0,0,0,0,0,0,0,0,0
10377,0,0,0,0,0,0,0,0,0,0
10378,0,12,15,23,23,0,14,19,0,0
10379,0,0,0,0,0,0,0,0,0,0
10380,0,0,0,0,0,0,0,0,0,0
10381,16,16,16,16,16,16,16,16,16,16
10382,0,0,0,0,0,0,0,0,0,0
10383,11,11,11,11,11,11,11,11,11,11
10384,0,0,0,0,0,0,0,0,0,0
10385,0,0,0,0,0,0,0,0,0,0
10386,0,0,0,0,0,0,0,0,0,0
10387,0,0,0,0,0,0,0,0,0,0
10388,0,0,0,22,0,0,0,0,23,0
10389,3,0,0,4,12,5,19,14,0,22
10390,0,0,0,0,0,0,0,0,0,0
10391,0,0,0,0,0,0,0,0,10,0
10392,0,0,0,0,0,0,0,0,0,0
10393,0,0,0,21,0,0,14,0,0,0
10394,16,16,16,16,16,16,16,16,16,16
10395,0,0,0,0,0,0,0,0,0,0
10396,0,0,0,0,0,0,0,0,0,0
10397,11,0,0,10,0,0,18,3,0,4
10398,20,20,20,20,20,20,20,20,20,20
10399,12,24,0,0,0,0,14,0,5,26
10400,0,0,0,0,0,0,0,0,0,0
10401,10,10,10,10,10,10,10,10,10,10
10402,0,0,0,0,0,13,0,0,0,2
10403,0,0,0,0,0,0,0,0,0,0
10404,9,6,10,7,20,19,15,10,8,25
10405,0,0,0,0,0,0,0,0,0,0
10406,0,0,0,0,9,0,0,0,0,0
10407,18,18,18,18,18,18,18,18,18,18
10408,0,0,0,0,0,0,0,0,0,0
10409,0,0,0,0,0,0,0,0,0,0
10410,0,0,0,0,0,0,0,0,0,0
10411,0,0,0,0,0,0,0,0,0,0
10412,14,14,14,14,14,14,14,14,14,14
10413,0,0,0,22,0,18,37,0,0,13
10414,0,0,0,0,0,0,0,0,0,0
10415,0,0,0,0,0,0,0,0,0,0
10416,11,0,25,0,16,0,0,0,0,0
10417,18,18,18,18,18,18,18,18,18,18
10418,16,16,16,19,16,16,16,16,16,16
10419,0,0,0,0,0,0,0,0,0,0
10420,25,25,25,25,25,25,25,25,25,25
10421,23,0,0,9,0,14,0,0,0,0
10422,27,11,2,7,13,12,10,6,9,15
10423,0,0,0,0,0,0,0,0,0,0
10424,0,0,0,0,0,0,0,0,0,0
10425,0,0,0,0,0,0,0,0,11,0
10426,2,2,2,2,2,2,2,2,2,2
10427,22,0,0,0,0,0,0,0,0,0
10428,0,0,0,0,0,0,0,0,0,0
10429,0,0,9,24,0,0,18,0,27,0
10430,19,0,0,0,22,0,0,0,0,0
10431,2,16,22,13,12,19,36,18,23,7
10432,0,0,0,0,0,0,0,0,0,0
10433,5,0,22,9,0,22,0,0,0,16
10434,16,16,16,16,16,16,16,16,16,16
10435,0,0,0,0,0,0,0,0,0,0
10436,0,13,0,0,0,0,0,0,0,0
10437,31,0,0,0,33,17,19,20,0,0
10438,0,0,0,0,0,0,0,0,0,0
10439,26,26,26,26,26,26,26,26,26,26
10440,0,0,0,0,0,0,0,0,0,18
10441,0,0,0,0,0,0,0,0,0,0
10442,14,14,14,14,14,14,14,14,14,14
10443,0,0,0,0,0,0,0,0,0,0
10444,24,24,24,24,24,24,24,24,24,24
10445,0,0,0,0,0,0,0,0,0,0
10446,0,0,0,0,0,0,0,0,0,0
10447,13,13,13,13,13,13,13,13,13,13
10448,0,0,0,0,0,0,0,0,0,0
10449,0,0,0,0,0,0,0,0,0,0
10450,0,0,0,0,0,0,0,0,0,0
10451,2,2,2,2,2,2,2,2,2,2
10452,17,9,11,0,53,32,15,27,13,24
10453,2,2,2,2,2,2,2,2,2,2
10454,0,0,0,0,0,0,0,0,0,0
10455,0,0,0,0,0,0,0,0,0,0
10456,25,25,25,25,25,25,25,25,25,25
10457,0,0,0,0,0,0,0,0,0,0
10458,0,0,0,0,0,0,0,0,0,0
10459,8,8,8,8,8,8,8,8,8,8
10460,0,0,0,0,0,0,0,0,0,0
10461,0,0,13,0,0,14,0,0,0,0
10462,8,0,0,0,22,0,0,15,0,0
10463,0,0,0,0,0,0,0,0,0,0
10464,0,0,0,0,0,0,0,0,0,0
10465,24,24,24,24,24,24,24,24,24,24
10466,0,0,0,0,0,0,0,0,0,0
10467,0,0,0,0,0,3,0,0,0,0
10468,0,0,0,0,8,0,0,0,0,0
10469,0,0,0,0,0,0,0,0,0,11
10470,0,0,0,0,0,0,0,0,0,0
10471,15,0,0,0,0,0,0,0,8,0
10472,0,9,0,0,0,0,0,0,0,0
10473,9,9,9,9,9,9,9,9,9,9
10474,0,0,0,0,0,0,0,0,0,0
10475,14,14,14,14,14,14,14,14,14,14
10476,3,0,0,0,0,0,0,0,0,0
10477,0,0,0,0,0,0,0,0,0,0
10478,0,0,0,0,0,0,0,0,0,0
10479,10,10,10,10,10,10,10,10,10,10
10480,32,15,22,16,15,24,0,0,0,25
10481,0,0,0,0,0,0,0,0,0,0
10482,0,0,7,0,15,0,0,23,0,14
10483,0,0,0,0,0,0,0,0,0,0
10484,0,0,0,0,0,0,0,0,0,0
10485,10,27,29,17,0,21,17,23,30,17
10486,9,9,9,9,9,9,9,9,9,9
10487,11,11,11,11,11,11,11,11,11,11
10488,0,0,0,0,0,0,0,0,0,0
10489,0,0,0,0,0,13,0,0,0,0
10490,0,0,0,0,0,0,0,0,0,0
10491,0,0,0,0,0,0,0,0,0,0
10492,16,16,16,16,16,16,16,16,16,16
10493,0,0,0,0,0,0,0,0,0,0
10494,0,0,0,0,0,0,0,0,0,15
10495,13,13,13,13,13,13,13,13,13,13
10496,0,0,0,0,0,0,0,0,0,0
10497,0,0,0,0,0,0,0,0,0,0
10498,0,0,0,0,0,0,0,0,0,0
10499,0,0,0,0,0,0,0,0,0,0
10500,0,0,0,0,0,0,0,0,0,0
10501,9,20,9,9,9,9,9,9,9,9
10502,0,0,0,0,7,0,0,0,0,0
10503,0,0,0,0,0,0,0,0,0,0
10504,15,15,15,15,15,15,15,15,15,15
10505,0,8,0,0,0,0,0,0,0,0
10506,0,0,0,0,0,0,0,0,0,0
10507,27,24,24,24,24,24,24,24,24,24
10508,20,20,20,20,20,20,20,20,20,20
10509,4,0,21,7,12,11,26,15,7,5
10510,0,0,0,0,0,0,0,0,0,0
10511,5,5,5,5,5,5,5,5,5,5
10512,0,0,0,0,0,0,0,0,0,0
10513,0,0,0,0,0,0,0,0,0,0
10514,0,0,0,0,0,0,0,0,0,0
10515,0,0,0,0,0,0,0,0,0,0
10516,0,0,0,0,0,0,0,0,0,0
10517,13,13,13,13,13,13,13,13,13,13
10518,22,0,0,0,30,0,0,0,18,0
10519,28,28,28,28,28,28,28,28,28,28
10520,18,0,0,0,0,21,33,9,29,13
10521,0,0,0,0,0,0,0,0,0,0
10522,0,0,0,0,0,0,0,0,0,0
10523,5,5,5,5,5,5,5,5,5,5
10524,0,0,0,0,0,0,0,0,0,0
10525,0,0,0,0,0,0,0,0,0,0
10526,0,0,21,0,19,0,0,0,0,7
10527,23,23,23,23,23,23,23,23,23,23
10528,16,16,16,16,16,21,16,16,16,16
10529,0,0,0,0,0,0,0,0,0,0
10530,22,22,22,22,22,22,22,22,22,22
10531,0,0,0,0,0,0,0,0,0,0
10532,0,0,0,0,0,0,0,0,0,0
10533,0,0,0,0,0,0,0,0,0,0
10534,0,0,0,0,0,0,0,0,0,0
10535,0,0,0,0,0,0,0,0,0,20
10536,14,14,14,14,14,14,14,14,14,14
10537,0,0,0,0,0,0,0,0,0,0
10538,9,17,9,0,24,15,0,5,30,18
10539,16,14,15,0,17,33,0,0,0,26
10540,15,15,15,15,15,15,15,15,15,15
10541,0,0,0,0,0,0,0,0,0,0
10542,15,15,15,15,15,15,15,15,15,15
10543,21,21,21,21,21,21,21,21,21,21
10544,0,0,0,0,0,0,0,0,0,0
10545,0,0,0,0,0,0,0,0,0,0
10546,0,0,0,0,0,0,0,0,0,0
10547,0,0,0,0,0,0,0,0,0,0
10548,0,0,0,0,0,0,0,0,0,0
10549,0,0,0,0,0,0,0,0,0,0
10550,0,0,0,0,0,0,0,0,0,0
10551,34,0,0,9,29,11,28,18,15,0
10552,12,17,15,9,0,0,7,28,0,14
10553,3,3,3,3,3,3,3,3,3,3
10554,0,0,0,0,0,0,0,0,0,0
10555,0,0,0,0,0,6,0,12,0,2
10556,11,0,25,0,0,29,0,0,0,0
10557,50,50,50,50,50,50,50,50,50,50
10558,0,0,0,0,4,14,0,0,0,0
10559,12,9,11,19,21,0,15,0,0,0
10560,0,0,0,0,0,0,0,0,0,0
10561,0,0,0,0,0,0,0,0,0,0
10562,0,0,14,0,0,0,16,0,0,0
10563,0,0,0,0,0,0,0,0,0,0
10564,0,0,0,0,16,0,0,10,0,2
10565,17,15,0,26,0,0,37,0,20,0
10566,0,0,0,0,0,0,0,0,0,0
10567,0,0,0,7,0,0,0,0,0,0
10568,24,0,0,0,15,22,31,0,13,0
10569,0,0,22,10,55,21,0,6,27,28
10570,4,9,4,4,4,4,9,4,4,4
10571,19,19,19,19,19,19,19,19,19,19
10572,14,9,19,17,0,0,0,16,20,24
10573,39,39,39,39,39,39,39,39,39,39
10574,28,28,28,28,28,28,28,28,28,28
10575,16,16,16,16,16,16,16,16,16,16
10576,28,28,28,28,28,28,28,28,28,28
10577,0,0,0,16,0,0,18,0,0,11
10578,0,22,13,0,0,0,0,0,0,0
10579,0,0,0,0,0,0,0,0,0,0
10580,0,0,0,0,0,0,0,0,0,0
10581,0,0,0,0,0,0,0,0,0,0
10582,0,36,48,14,31,20,4,0,26,17
10583,0,0,0,0,0,0,0,0,0,0
10584,0,0,0,0,0,0,0,0,0,0
10585,0,0,0,0,0,0,0,0,0,0
10586,0,0,0,0,0,0,0,0,24,0
10587,0,0,0,0,0,0,0,0,0,0
10588,10,0,0,0,0,0,0,0,0,0
10589,0,0,0,0,0,0,0,0,0,0
10590,5,16,16,10,22,32,0,0,4,0
10591,0,0,0,0,0,0,0,0,0,0
10592,11,11,11,11,11,11,11,11,11,11
10593,0,0,0,0,0,0,0,0,0,29
10594,0,0,0,0,50,0,0,0,0,0
10595,0,0,0,10,7,6,0,13,0,0
10596,0,8,0,0,25,0,0,0,21,0
10597,0,0,0,0,0,0,0,0,0,0
10598,6,0,0,0,0,0,0,0,0,0
10599,23,23,32,7,16,0,35,25,16,20
10600,0,0,0,0,0,0,0,0,0,0
10601,0,0,0,0,0,0,0,0,0,0
10602,0,0,0,0,0,0,0,0,0,0
10603,0,0,0,0,0,0,0,0,0,0
10604,15,40,0,0,0,12,26,14,26,13
10605,0,0,22,0,0,0,19,0,0,0
10606,0,0,0,0,0,0,0,0,0,0
