,Text,location,status
65,@FoxNews @HillaryClinton  Trump 2.0..pandering to African Americans and Latinos....pants on fire,"Florida, USA",neg
66,"RT @FoxNews: .@realDonaldTrump: ""@HillaryClinton wants to be America's Angela Merkel."" https://t.co/5cnJgQxbEh",Oklahoma,neu
67,Bigot Hillary Clinton finds a new way to use Black Folk. #TheColinMadeMeDoIt https://t.co/XWEZKiACMy,Elysium,neu
68,@HillaryClinton says visiting flood victims would be a distraction.  Translation: I'm not wasting my time and getting my pantsuit dirty,127.0.0.1,neg
69,RT @theboom1: @SupaReaper @KerinLeone @HillaryClinton @realDonaldTrump @DrJillStein i will go into the night knowing i did - https://t.co/H,Bonneville Dry Lake Bed,neg
70,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",Las Vegas,neu
71,RT @beachluv_r: @Dragonsnestling @abettertattoo @GinoTheBeagle @seanhannity @HillaryClinton i will make sure i have a good wine to watch tr,America..USA,pos
72,Today is @BillClinton's birthday! It's not too late to sign his card here: https://t.co/AUICNErmBd by @HillaryClinton via @c0nvey,"Punta Cana, Dominican Republic",neu
73,"RT @bfraser747: 1st Amendment 

@realDonaldTrump is far stronger than @HillaryClinton Dems want to give away control internet #MAGA https:",Apache Land. USA,pos
74,@Twade85 @realDonaldTrump someone please tell @HillaryClinton her voters are taking buses. And here's why https://t.co/Jcv2jiP20b,my home ,neu
75,RT @Stealthy_Marine: I couldn't help myself!  Is @HillaryClinton coughing or impersonating Lewinsky  https://t.co/CEW3w4Lzgj,"Lexington, Ky",neu
76,"Retweeted Hillary Clinton (@HillaryClinton):

Donald Trump wants to eliminate the estate tax. Doing so could save... https://t.co/3GhReHM1in","San Antonio, Texas",neu
77,@HillaryClinton because they don't want terrorist in their country.... https://t.co/1bwbaCnxPK,"Florida, USA",pos
78,"Go to a @HillaryClinton event and bring plenty of FLASH CUBES OR A STROBE LIGHT AND CATCH HER REACTION ON VIDEO!!!!
She is unfit physically!","Pennsylvania, USA",neu
79,"RT @morabitolee6: #BlameColinPowell @HillaryClinton well this certainly backfired on you HRC!!!!
thank you for more votes for TRUMP.. https",#AllCatPack,pos
80,@HillaryClinton Enough with your lies America deserve better than you @HFA @oprah #HillaryLies #HillaryHealth https://t.co/Otdatm6I6N,"Fort Myers, FL",pos
81,Welcome to USAs campaign of people FED UP w/Obama/@HillaryClinton Come JOIN us &amp; vote for @realDonaldTrump for TRUTH https://t.co/AGZQGY1znT,Massachusetts,pos
82,"@shondarhimes Enjoy my Parody of ""Popular"" supporting @HillaryClinton Hillary Parody Video Song https://t.co/Nb1VWVFWi3",USA,neu
83,"#syrianboy was tied with big corp's that paid of @HillaryClinton to help ravaged Syria, and start ISIS through libya this is an outrage!",USA,neg
84,@URAFRAUD1 @mcuban @HillaryClinton Did you have a loving relationship with your mother? Did she tell you she loves you a lot? You are safe.,"McLean, VA",pos
85,TANTALIZED TEETS TREMBLE AS WE ALL CONSPIRY ON THE WHEREABOUTS OF @HillaryClinton #whereshillary,coming 2 a location near YOU,neg
86,RT @PoliticalShort: Hey @HillaryClinton where'd that $6B go while you were SecofState? We're about to find out. https://t.co/b3hpaOjC9r htt,"Texas, USA",neu
87,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer","Tallahassee, FL",neu
88,"RT @bfraser747:  LOUISIANA 
Why can't @HillaryClinton take some of that #ClintonCrimeFoundation money &amp; send some help to Louisiana https:","South Carolina, USA",pos
89,@7658 @HillaryClinton Why? Hillary brags about getting a pedo rapist off the hook but Trump said a mean thing. Your priorities are fucked.,In a computer near you....,neg
90,"@rosenbergerlm @HillaryClinton @samdagher Crooked Hillary is Candidate of War Machine: Huffington Post
https://t.co/1lB5FMMWHK","Washington, DC",neg
91,"RT @bfraser747:  LOUISIANA 
Why can't @HillaryClinton take some of that #ClintonCrimeFoundation money &amp; send some help to Louisiana https:",AZ,pos
92,"RT @Harlan: In @HillaryClinton's America, the system stays rigged.

Great new @realDonaldTrump ad: https://t.co/jrGJU0ZwaD",Hawkeye state!,pos
93,"RT @Bikers4Trump: Is @HillaryClinton in Rehab for another Fall while Obama plays golf &amp; @realDonaldTrump Visits Flood Victims?
Join https:/",Atlanta,pos
94,@smerconish @NewDay @AlisynCamerota @PoppyHarlowCNN @realDonaldTrump @HillaryClinton Shameful that MSM is giving Trump such leeway.,Cahhhleeefoohhhnyyyyaaa,neg
95,"RT @scrowder: We get it, @HillaryClinton. Colin Powell is just the latest in the blame game. https://t.co/9viq3gYXrt",Villanova,neg
96,RT @CorrectRecord: .@PolitiFact rated the claim that @HillaryClinton is for open borders as False. https://t.co/GRbjElu380 #TrumpLies,"San Diego, CA",neu
97,@HillaryClinton Who exactly is advising you? Common . . .,"Your Street, USA",neu
98,@HillaryClinton Still the lamest conspiracy story ever and still reckless foreign policy to vilify another UN security council member nation,"Atlanta, GA",neg
99,RT @DrJillStein: I asked CNN how @HillaryClinton explains #ClintonFoundation #PayToPlay emails. Clinton campaign response: no comment https,Idaho,neg
100,@HillaryClinton  Well? https://t.co/dsTWiN0N6t,Thomasville NC,pos
101,"RT @FoxNews: .@realDonaldTrump: ""@HillaryClinton wants to be America's Angela Merkel."" https://t.co/5cnJgQxbEh",London,neu
102,@jaymeswinn @ReutersPolitics @HillaryClinton Do you know how many ppl were afforded that same treatment?,USA,neu
103,I'm VOTING for @HillaryClinton!,"Tampa, Florida",neg
104,"@AmericaFerrera Enjoy my Parody of ""Popular"" supporting @HillaryClinton Hillary Parody Video Song https://t.co/Nb1VWVFWi3",USA,neu
105,"RT @USAneedsTRUMP: @HillaryClinton you care about Louisiana flood victims as much as you did Haiti, not at all! https://t.co/1VQ9y8iiMB",Cul de Sac off Copperhead Rd,pos
106,RT @creynoldsnc: They got a lot wrong. https://t.co/tnPEAt2l72,"Las Vegas, NV ",neg
107,"RT @zachhaller: The Atlantic w the truth-telling 
@HillaryClinton &amp; @theDemocrats are the new Republicans
 https://t.co/m1JwUO8ucX https:/","Washington, DC",neu
108,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer","Cleveland Park, DC",neu
109,RT @KellyRiddell: This is a truth bomb. Keep em coming https://t.co/fKq1N0txAg,WORLD ,neg
110,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer","columbia, md",neu
111,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer","New York, NY",neu
112,RT @maryam82584: @ElizbethLManess @HillaryClinton @gentlemanirish @KnucklDraginSam @jokesonus4sure lol so true so true lol https://t.co/SYB,Somewhere in the Hills of TN,neg
113,RT @libertad805: Ha about time #HillaryClinton  https://t.co/BSDRAeNnYM,"San Anselmo, California",pos
114,@onlinesarcasm @HillaryClinton @billclinton was not meant as sarcasm... but a rrue admiration for a couple who are together in thick n thin.,"Earth, no idea where precisely",neg
115,"RT @bfraser747: 1st Amendment 

@realDonaldTrump is far stronger than @HillaryClinton Dems want to give away control internet #MAGA https:","South Carolina, USA",pos
116,@MarkGlyman @HillaryClinton @realDonaldTrump she's not worried. The fix is in.  She will be the next president. UNFORTUNATELY,Heart of Virginia  ,neg
117,"After paying taxes all your life, @HillaryClinton  @HFA wants to take a percentage of what you left when u die! Not @realDonaldTrump","Florida, USA",neg
118,RT @dhaakenson: Washington Post: @HillaryClintons Colin Powell did it defense of her email practices is just plain wrong https://t.co/Xj,third rock,neg
119,@FoxNews @realDonaldTrump @HillaryClinton What policies? Was she elected President and I missed it ?,"Barnstable Town, MA",neg
120,RT @AZWS: @HouseGOP have detailed perjury allegations against @HillaryClinton ... https://t.co/R2s73ILMhQ #CorruptDem RT https://t.co/h4AXD,Proud to be Texan on the Front,neu
121,RT @Hillary2016Pres: It is past time for women to take their rightful place. @HillaryClinton #Hillary2016 #ImWithHer #GOPdebate https://t.c, NJ transplant now in FL,neu
122,U.S. judge rules against @HillaryClinton giving sworn testimony over emails https://t.co/l6XLff7opF https://t.co/wgi6Rdltyc,Bangalore,pos
123,"@EvaLongoria Enjoy my Parody of ""Popular"" supporting @HillaryClinton Hillary Parody Video Song https://t.co/Nb1VWVFWi3",USA,neu
124,That moment when @realDonaldTrump comes to Louisiana to visit the #Flood2016 forcing both #Obama &amp;@HillaryClinton to visit next week.,Louisiana,neu
125,"RT @mplay0000: @Able_49 
The Important thing is @HillaryClinton got her $$$$$$$$ https://t.co/53w2wBwQZX",South Carolina,neu
126,@FoxNews @HillaryClinton @realDonaldTrump stop with the African American bs. You'd put all in jail. Waiting for your full page ad,"New Albany, OH",neg
127,RT @anahwood: is this a secret female murderer club meeting https://t.co/OcvaaAptoy,"New Hope, MS",neg
128,#WheresHillary CORRUPT #CrookedHillary @HillaryClinton is with Slimeball Bill trying to hide #ClintonFoundation cash https://t.co/p20yEsyMuR,United States of America,neg
129,"@RhonUSA were u an American here @keprdad @HillaryClinton @MicahGrimes  
https://t.co/YUusj2hQkV",United States ,neg
130,RT @Hillary2016Pres: It is past time for women to take their rightful place. @HillaryClinton #Hillary2016 #ImWithHer #GOPdebate https://t.c,"Terrell, TX",neu
131,"RT @morabitolee6: #BlameColinPowell @HillaryClinton well this certainly backfired on you HRC!!!!
thank you for more votes for TRUMP.. https","Florida, USA",pos
132,"Lost opporunity, @HillaryClinton. https://t.co/TqIhuUpP6Z","Norman, OK",neg
133,"@viciousbabushka @Cory_1077 @SandraTXAS @HillaryClinton That's not all he handed out, while Obama was golfing &amp; Hillary was sleeping.#trump","Belleville, IL",neu
134,@tennyman2 @FoxNews @realDonaldTrump @HillaryClinton @POTUS Gov doesn't produce jobs. Private enterprise does. That's why liberalism fails.,Georgia ,neg
135,"@celiakw21 @CNNPolitics How about a like inquiry of @HillaryClinton ?? The PEOPLE get it. Media should be investigated, too.",Manhattan~Mass~Mexico,neu
136,RT @nycjim: .@johnastoehr is up to No. 87 in his epic @HillaryClinton #doublestandard #sexism tweetstorm. Hoping he hits 100. https://t.co/,"Butler, PA",pos
137,RT @hale_razor: Hi @HillaryClinton How much money has your Clinton Foundation donated to Louisiana flood relief? I hear it's a charity.,Depends on the day,pos
138,"@CNNSitRoom
Now @HillaryClinton wants to COMPLETELY DESTROY IT By Separating it Completely By Gender? If She Wins? It's Over. Black Women?",Hackensack NJ,neg
139,"RT @bfraser747:  LOUISIANA 
Why can't @HillaryClinton take some of that #ClintonCrimeFoundation money &amp; send some help to Louisiana https:",TEXAS ,pos
140,"Retweeted Hillary Clinton (@HillaryClinton):

The flooding in Louisiana is worse than anyone expected, and they... https://t.co/nfx5Ll76c4","San Antonio, Texas",neg
141,@realDonaldTrump Thank You for going to LA and helping. Already more of a POTUS than @POTUS and @HillaryClinton .,United States,neg
142,"With all due respect, voting 3rd party is like oissin' in the wind.
#futileattempt https://t.co/NcEjTT1rog",Gypsy,neg
143,@HillaryClinton Why do you take so many days off?are you sick.we are sick of your lies,"Agoura Hills, Ca",neg
144,@HillaryClinton SlickWilly wants to chase Whitehouse interns again!  #SlickWillyAndMonica,"North Pole, AK",neu
145,"RT @HillaryforPA: From good-paying jobs to college debt relief, @HillaryClinton has a plan to lift up Millennials. https://t.co/lnH2sFecOA","Penn Hills, PA ( Pittsburgh ) ",pos
146,"@JaeCreitch @stringfellow2  , @HillaryClinton is probably changer her diaper right now. #HillaryHealth",#MilitaryMonday #2A  #K9,neu
147,"He just makes shit up! And I'll put chocolate milk in the water fountains , if I'm your 6th grade President.  https://t.co/KgrfeujjCc","North Carolina, USA",neg
148,RT @GoDonaldTrump: @FoxNews @realDonaldTrump @HillaryClinton AMERICA! SHOW THE MEDIA HOW MUCH WE LOVE PRESIDENT TRUMP!LIKE AND RETWEET,"Jerseyville, IL",pos
149,This is what happens to you if your name isn't @HillaryClinton and you mess with classified information. https://t.co/15SfjnnytS,Rocky Mountains,neg
150,Their old advisor says she is using it to get sympathy from American voters. https://t.co/I8peerdThk,"Tucson, AZ",neg
151,"RT @bfraser747: 1st Amendment 

@realDonaldTrump is far stronger than @HillaryClinton Dems want to give away control internet #MAGA https:",United States,pos
152,"@FoxNews @HillaryClinton uses african americans for votes, says founder of #BlackLivesMatter #ColinPowell",Midcoast Maine,neu
153,ask 12yr old rape victimn what she think of Hillary...or the GOLD STAR families that she lied to. Blamed video ! https://t.co/H82ROENL6p,"New Jersey, USA",neg
154,"Fair and balanced. 
@realDonaldTrump @JudgeJeanine @HillaryClinton @TheFive @SenWarren @greta https://t.co/FlnlhitFqd",San Diego CA,neg
155,"RT @bfraser747:  LOUISIANA 
Why can't @HillaryClinton take some of that #ClintonCrimeFoundation money &amp; send some help to Louisiana https:","Mesa, AZ",pos
156,@DividendMaster @BarackObama @HillaryClinton must be up there kissing Soros' ring...,Atlanta,pos
157,"RT @Bikers4Trump: Is @HillaryClinton in Rehab for another Fall while Obama plays golf &amp; @realDonaldTrump Visits Flood Victims?
Join https:/",Chicago IL,pos
158,"RT @notalemming: 40,000 Americans displaced from the #LouisianaFlood &amp; what's @HillaryClinton's answer? 

60,000 more Syrian Refugees https",South-central PA,neu
159,"RT @Johnatsrs1949:  @HillaryClinton ""Champion For Women""

Except For This RAPED 12 Year Old Girl

Scumbag For President? No Thanks.
. http","Texas, USA",neg
160,"RT @JakeBlues23231: if  @SenJohnMcCain Had to release his in 2008, then @HillaryClinton needs to do the same. @ImChaunce ..WE WANT TRUTH ht","California, USA",neu
161,@HillaryClinton @billclinton rapist bill rhat bill twaty bill....ya no thanks,"yukon,ok",neg
162,RT @TeddyDavisCNN: Donald Trump just said that @HillaryClinton would rather give a job to a refugee than to an unemployed African American.,"Montgomery, AL",neu
163,"RT @FoxNews: .@realDonaldTrump: ""@HillaryClinton wants to be America's Angela Merkel."" https://t.co/5cnJgQxbEh","San Francisco, CA",neu
164,"RT @Harlan: In @HillaryClinton's America, the system stays rigged.

Great new @realDonaldTrump ad: https://t.co/jrGJU0ZwaD","aurora, ON",pos
165,RT @sweetliltweet: It's BAD when @Ted_Strickland wants to help @HillaryClinton kill #SteelWork jobs in #Ohio. Share. https://t.co/bQbN78WF0o,the village,neg
166,"RT @RichardGrenell: Again, CBS' Big Brother mocks @HillaryClinton - this time for corruption. #Zingbot","San Anselmo, California",neu
167,"RT @FoxNews: .@realDonaldTrump: ""No group in America has been more harmed by @HillaryClinton's policies than African Americans."" https://t.","Jerseyville, IL",neu
168,"RT @NolteNC: Lotta work for a bunch of gay crybabying. Lil priss doesnt think the MSMs been hard enuf on Trump. F*ck him.

 https://t.co","AK-Valley, PA",neg
169,What the MSM doesn't tell American is that with a @HillaryClinton potus comes a known terrorist group in @HumaAbedin https://t.co/S27dvNuUKR,Georgia/Florida  ,neg
170,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer","San Francisco, CA",neu
171,RT @THEDOGPOUND1: @CohenTisha @KrisParonto @realDonaldTrump @HillaryClinton @HFA @FoxNews we don't play we tell the truth willing to Twitte,1 of 13 rebellious colonies,neg
172,"@SeamasBelfast @HillaryClinton @billclinton plus, his infamous 'wag the dog' episode where he bombed the pharmaceutical plant in Sudan.",Dublin,neg
173,RT @RealDJSlash: @HillaryClinton @BillClinton So which intern will he unwrap for his birthday gift?,"New Mexico, USA",neg
174,"@muddie880 @Supernutz40 @SOcean5 @FoxNews @HillaryClinton @ClintonFdn  He never said that   Ur a liar, about all those.",Paradise,neg
175,RT @PoliticalShort: Hey @HillaryClinton where'd that $6B go while you were SecofState? We're about to find out. https://t.co/b3hpaOjC9r htt,NC,neu
176,@brikeilarcnn who is he talking to???? Being  Black I'm Proud to say I'm with @HillaryClinton https://t.co/aIUF1nJphe,"Cheverly, MD",neg
177,"RT @Bikers4Trump: Colin Powell Needs to Strongly Disavow the actions of @HillaryClinton &amp; endorse @realDonaldTrump!
#RETWEET
Join us @ http",Chicago IL,pos
178,Hrin Hein  I am a Santa Barbara  Crazy  Lady  @HillaryClinton  You Worng  My Name is @realDonaldTrump https://t.co/uoQ59jPTpf,Paris France,neu
179,RT @LoveMyTrump: Why doesn't ANYONE differentiate between an account and server. Colin Powell did not tell Hillary to set up a server https,"Cane Ridge, TN",neu
180,RT @RichardGrenell: CBS' Big Brother now mocks @HillaryClinton for deleting classified emails and having a private server. Wow.,"San Anselmo, California",pos
181,"RT @viciousbabushka: ""Real help"" like Play-Doh when they need foor &amp; water #tcot @ChristinaMann2 @Cory_1077 @SandraTXAS @HillaryClinton htt",The Desert of the SW,neu
182,"RT @markdaventry: .@HillaryClinton Claims Colin Powell advised her to use private email
Powell denies this.
So did she lie to the FBI?
#Hil",17870,neg
183,@HillaryClinton HOPEFULLY NOBODY CLOSE TO THIS ADMINISTRATION,United States,pos
184,@FoxNews @HillaryClinton boom.,"Los Angeles, CA",neu
185,"Did she?

@HillaryClinton #CrookedHillary https://t.co/jcAnwHb0wt","Cheyenne, WY",neg
186,"RT @SatyanAgarwal: @CNNPolitics : Shouldn't FBI be investigating Clinton Fiundation and @HillaryClinton for Email Scandal, Bengazhi and Pay","columbia, md",neg
187,@HillaryClinton @billclinton @JohnStamos I share a birthday with two awesome guys! #leo #Aug19,MA,neg
188,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",Republic Of Texas,neu
189,RT @CorrectRecord: .@PolitiFact rated the claim that @HillaryClinton is for open borders as False. https://t.co/GRbjElu380 #TrumpLies,Madison WI,neu
190,@seenagoddess @HillaryClinton Did NOT Follow Powell's Advice NEVER send classified private email https://t.co/BjgauHkhhy,TEXAS,neu
191,"""America is great because America is good"" .. @HillaryClinton ",cedar park,neg
192,"RT @bfraser747: 1st Amendment 

@realDonaldTrump is far stronger than @HillaryClinton Dems want to give away control internet #MAGA https:",United States,pos
193,@RhonUSA were u an American here @keprdad @HillaryClinton @MicahGrimes https://t.co/Tm3JinXpw3,United States ,neg
194,"RT @FoxNews: .@realDonaldTrump: ""@HillaryClinton wants to be America's Angela Merkel."" https://t.co/5cnJgQxbEh",United States,neu
195,"RT @USAneedsTRUMP: @HillaryClinton @mattzap donating to your own foundation to avoid paying taxes, doesnt get any lower than that! https://","Harford County, Maryland",neg
196,"@rosenbergerlm @HillaryClinton @WSJ White helmets =safety 
SMART",somewhere,neg
197,RT @RichardGrenell: CBS' Big Brother is mocking @HillaryClinton's husband Bill Clinton and his intern sex scandal. Wow. Pop culture mocking,"San Anselmo, California",neg
198,I wish I could opt out of all @HillaryClinton emails mentioning Bill. I dislike Bill. I'm grumpy that Pres. HRC means First Spouse Bill.,Austin TX,neg
