@relation mytest

@attribute age {<=33,<=49&>33,<=87&>49}
@attribute job {blue-collar,entrepreneur,management,technician,self-employed,admin.,student,services,unemployed,housemaid,retired,unknown}
@attribute marital {single,married,divorced}
@attribute education {primary,secondary,tertiary,unknown}
@attribute default {no,yes}
@attribute balance {Very-Low,Low,Medium,High}
@attribute housing {yes,no}
@attribute loan {no,yes}
@attribute contact {unknown,cellular,telephone}
@attribute month {may,feb,jun,aug,jul,sep,apr,jan,nov,mar,oct,dec}
@attribute campaign numeric
@attribute poutcome {unknown,success,failure,other}
@attribute y {no,yes}

@data
<=33,services,single,secondary,no,Very-Low,yes,no,cellular,may,1,unknown,no
<=33,student,single,secondary,no,Very-Low,no,no,unknown,jun,2,unknown,no
<=33,self-employed,single,tertiary,yes,Very-Low,yes,no,cellular,nov,3,unknown,no
<=33,housemaid,married,secondary,no,Very-Low,yes,no,cellular,jul,1,unknown,no
<=33,services,married,secondary,yes,Very-Low,yes,yes,cellular,jul,2,unknown,no
<=33,housemaid,married,unknown,yes,Very-Low,no,yes,telephone,jul,2,unknown,no
<=33,services,single,secondary,yes,Very-Low,no,no,cellular,jul,2,unknown,no
<=33,blue-collar,married,secondary,no,Very-Low,yes,no,cellular,may,1,unknown,no
<=33,blue-collar,married,secondary,no,Very-Low,yes,no,unknown,jun,2,unknown,no
<=33,services,married,secondary,no,Very-Low,yes,no,cellular,jul,5,unknown,no
<=33,blue-collar,married,secondary,no,Low,yes,yes,cellular,jan,1,failure,no
<=33,services,married,secondary,no,Low,no,no,cellular,jul,1,other,no
<=33,technician,married,secondary,no,Low,no,no,cellular,aug,3,unknown,no
<=33,services,single,tertiary,no,Low,yes,no,unknown,may,18,unknown,no
<=33,blue-collar,married,primary,no,Low,yes,no,unknown,may,1,unknown,no
<=33,technician,married,secondary,no,Low,yes,no,cellular,jul,4,unknown,no
<=33,technician,single,tertiary,no,Low,no,no,cellular,nov,2,unknown,no
<=33,admin.,single,secondary,no,Low,yes,yes,cellular,may,1,unknown,no
<=33,housemaid,married,primary,no,Low,yes,no,cellular,jul,3,unknown,no
<=33,blue-collar,single,secondary,no,Low,no,no,cellular,jan,2,failure,no
<=33,unemployed,single,secondary,no,Low,no,no,unknown,sep,1,unknown,no
<=33,blue-collar,single,secondary,no,Low,no,no,telephone,feb,1,failure,no
<=33,management,single,tertiary,no,Low,no,no,cellular,aug,10,unknown,no
<=33,admin.,single,secondary,no,Low,yes,yes,cellular,may,1,failure,no
<=33,self-employed,single,secondary,no,Low,no,no,cellular,jan,1,unknown,no
<=33,services,single,secondary,no,Low,no,yes,cellular,jul,2,unknown,no
<=33,self-employed,married,secondary,no,Low,yes,no,cellular,jul,12,unknown,no
<=33,services,single,secondary,no,Low,yes,no,unknown,may,1,unknown,no
<=33,technician,married,secondary,no,Low,yes,no,cellular,apr,1,other,no
<=33,unemployed,single,secondary,no,Low,no,no,cellular,may,2,unknown,no
<=33,unemployed,single,secondary,no,Low,no,no,cellular,aug,4,unknown,no
<=33,technician,single,secondary,no,Low,no,no,cellular,aug,2,unknown,no
<=33,management,married,tertiary,no,Low,yes,no,cellular,may,2,failure,no
<=33,services,single,secondary,no,Low,yes,no,unknown,may,2,unknown,no
<=33,services,single,secondary,no,Low,yes,no,cellular,may,6,failure,no
<=33,blue-collar,single,primary,no,Low,yes,yes,unknown,jun,4,unknown,no
<=33,blue-collar,married,secondary,no,Low,yes,no,cellular,may,2,failure,no
<=33,blue-collar,single,secondary,no,Low,no,no,cellular,jul,1,unknown,no
<=33,management,married,tertiary,no,Low,yes,no,cellular,may,1,unknown,no
<=33,self-employed,married,tertiary,no,Low,yes,no,cellular,may,1,unknown,no
<=33,admin.,single,secondary,no,Low,yes,no,cellular,may,3,unknown,no
<=33,blue-collar,married,secondary,no,Low,yes,no,cellular,may,2,unknown,no
<=33,services,single,secondary,no,Low,no,yes,cellular,jul,1,unknown,no
<=33,unemployed,married,secondary,no,Low,yes,no,unknown,may,3,unknown,no
<=33,services,single,secondary,no,Low,yes,no,cellular,may,1,unknown,no
<=33,blue-collar,married,secondary,no,Low,no,no,cellular,jun,1,unknown,no
<=33,technician,single,unknown,no,Low,no,no,cellular,jul,4,unknown,no
<=33,services,married,secondary,no,Low,yes,no,cellular,jul,13,unknown,no
<=33,student,single,secondary,no,Low,yes,no,cellular,apr,1,unknown,no
<=33,self-employed,single,tertiary,no,Low,no,no,cellular,jan,3,unknown,no
<=33,management,married,tertiary,no,Low,yes,yes,cellular,jul,3,unknown,no
<=33,admin.,married,secondary,no,Low,yes,yes,telephone,may,3,unknown,no
<=33,admin.,married,secondary,no,Low,yes,yes,cellular,aug,2,unknown,no
<=33,blue-collar,married,secondary,no,Low,yes,no,unknown,jun,1,unknown,no
<=33,entrepreneur,single,tertiary,no,Low,no,no,cellular,jul,3,unknown,no
<=33,management,single,tertiary,no,Low,yes,yes,cellular,jul,2,unknown,no
<=33,management,single,secondary,no,Low,no,no,cellular,aug,2,unknown,no
<=33,management,divorced,tertiary,yes,Low,no,yes,cellular,nov,1,unknown,no
<=33,entrepreneur,married,secondary,no,Low,yes,no,cellular,may,4,unknown,no
<=33,entrepreneur,single,tertiary,no,Low,no,no,cellular,feb,1,failure,no
<=33,entrepreneur,married,unknown,no,Low,yes,no,cellular,nov,1,failure,no
<=33,admin.,single,unknown,no,Low,no,no,cellular,sep,1,unknown,no
<=33,technician,married,secondary,no,Low,no,yes,cellular,aug,2,unknown,no
<=33,technician,single,tertiary,no,Low,yes,yes,unknown,may,5,unknown,no
<=33,services,married,secondary,no,Low,yes,no,cellular,jul,1,unknown,no
<=33,technician,single,tertiary,no,Low,no,no,cellular,aug,1,unknown,no
<=33,technician,single,tertiary,no,Low,no,no,cellular,jan,2,unknown,no
<=33,management,married,tertiary,no,Low,no,no,cellular,feb,3,unknown,no
<=33,admin.,single,secondary,no,Low,yes,no,cellular,may,2,unknown,no
<=33,blue-collar,married,primary,no,Low,yes,no,unknown,may,9,unknown,no
<=33,services,married,secondary,no,Low,yes,no,cellular,may,2,failure,no
<=33,management,single,tertiary,no,Low,no,no,cellular,jul,1,unknown,no
<=33,unemployed,married,secondary,no,Low,yes,no,cellular,jul,1,unknown,no
<=33,blue-collar,single,primary,no,Low,yes,yes,unknown,may,4,unknown,no
<=33,technician,single,secondary,no,Low,no,no,telephone,may,8,failure,no
<=33,technician,single,secondary,no,Low,yes,no,unknown,may,2,unknown,no
<=33,blue-collar,married,primary,no,Low,yes,no,unknown,may,1,unknown,no
<=33,blue-collar,single,secondary,no,Low,yes,no,unknown,may,3,unknown,no
<=33,student,single,secondary,no,Low,no,no,cellular,may,3,unknown,no
<=33,management,single,tertiary,no,Low,yes,no,unknown,may,4,unknown,no
<=33,technician,single,secondary,no,Low,yes,no,cellular,may,2,other,no
<=33,services,married,secondary,no,Low,yes,no,cellular,may,1,other,no
<=33,management,single,tertiary,no,Low,yes,no,cellular,feb,2,failure,no
<=33,management,married,tertiary,no,Low,no,no,unknown,may,1,unknown,no
<=33,self-employed,single,secondary,no,Low,no,yes,cellular,nov,1,unknown,no
<=33,technician,single,tertiary,no,Low,yes,yes,unknown,may,2,unknown,no
<=33,technician,single,secondary,no,Low,yes,no,telephone,apr,2,failure,no
<=33,technician,single,secondary,yes,Low,no,no,cellular,feb,1,unknown,no
<=33,technician,single,tertiary,no,Low,yes,no,cellular,may,2,failure,no
<=33,blue-collar,married,primary,no,Low,yes,no,cellular,apr,2,other,no
<=33,technician,divorced,secondary,no,Low,no,no,cellular,aug,2,unknown,no
<=33,admin.,married,secondary,no,Low,yes,no,cellular,jul,1,unknown,no
<=33,blue-collar,married,secondary,no,Low,yes,no,unknown,may,1,unknown,no
<=33,admin.,married,secondary,no,Low,yes,no,cellular,apr,1,unknown,no
<=33,technician,single,tertiary,no,Low,yes,no,cellular,aug,2,unknown,no
<=33,blue-collar,married,secondary,no,Low,yes,yes,cellular,apr,3,unknown,no
<=33,admin.,married,secondary,no,Low,yes,yes,unknown,may,2,unknown,no
<=33,technician,married,secondary,no,Low,yes,no,cellular,aug,2,unknown,no
<=33,admin.,single,secondary,no,Low,yes,no,cellular,aug,6,other,no
<=33,services,married,secondary,no,Low,yes,no,cellular,jul,2,unknown,no
<=33,admin.,married,secondary,no,Low,yes,no,cellular,may,1,unknown,no
<=33,unemployed,married,tertiary,no,Low,yes,no,cellular,nov,1,unknown,no
<=33,technician,single,tertiary,no,Low,no,no,cellular,aug,2,unknown,no
<=33,services,divorced,secondary,no,Low,yes,no,unknown,may,6,unknown,no
<=33,management,married,tertiary,no,Low,yes,no,unknown,may,4,unknown,no
<=33,services,single,secondary,no,Low,yes,yes,cellular,jul,3,unknown,no
<=33,technician,single,tertiary,no,Low,no,no,cellular,jul,4,unknown,no
<=33,management,single,tertiary,no,Low,yes,no,cellular,may,1,failure,no
<=33,blue-collar,divorced,secondary,no,Low,yes,no,cellular,jul,3,unknown,no
<=33,technician,married,secondary,no,Low,yes,no,cellular,may,3,unknown,no
<=33,blue-collar,married,secondary,no,Low,yes,no,cellular,jan,3,unknown,no
<=33,admin.,single,secondary,no,Low,no,yes,cellular,jul,1,unknown,no
<=33,services,single,secondary,no,Low,yes,no,unknown,jun,2,unknown,no
<=33,blue-collar,single,secondary,no,Low,yes,no,unknown,may,1,unknown,no
<=33,admin.,single,secondary,no,Low,no,yes,cellular,jul,2,unknown,no
<=33,blue-collar,married,primary,no,Low,yes,yes,cellular,jul,1,unknown,no
<=33,services,married,secondary,no,Low,yes,no,cellular,may,1,failure,no
<=33,services,married,secondary,no,Low,yes,no,cellular,jul,2,unknown,no
<=33,unemployed,divorced,primary,no,Low,no,no,cellular,jul,4,unknown,no
<=33,technician,married,secondary,no,Low,yes,yes,cellular,nov,2,unknown,no
<=33,blue-collar,married,primary,no,Low,yes,yes,telephone,jul,2,unknown,no
<=33,admin.,married,secondary,no,Low,no,no,cellular,jul,5,unknown,no
<=33,admin.,married,secondary,no,Low,yes,no,unknown,may,1,unknown,no
<=33,technician,single,tertiary,no,Low,yes,no,unknown,may,1,unknown,no
<=33,management,single,tertiary,no,Low,no,no,cellular,jul,2,unknown,no
<=33,management,single,tertiary,no,Low,yes,no,unknown,jun,16,unknown,no
<=33,management,single,tertiary,no,Low,yes,no,unknown,may,1,unknown,no
<=33,self-employed,single,secondary,no,Low,yes,no,cellular,jan,2,unknown,no
<=33,blue-collar,divorced,primary,no,Low,yes,no,telephone,may,2,failure,no
<=33,management,single,tertiary,no,Low,no,no,unknown,may,1,unknown,no
<=33,admin.,single,tertiary,no,Low,no,no,cellular,jan,1,unknown,no
<=33,technician,single,secondary,no,Low,no,no,cellular,mar,1,unknown,no
<=33,admin.,married,secondary,no,Low,yes,no,cellular,may,1,failure,no
<=33,technician,single,tertiary,no,Low,no,no,cellular,aug,3,unknown,no
<=33,blue-collar,married,secondary,no,Low,yes,no,unknown,may,1,unknown,no
<=33,student,single,tertiary,no,Low,no,no,cellular,aug,5,other,no
<=33,blue-collar,married,secondary,no,Low,yes,no,unknown,may,4,unknown,no
<=33,technician,single,secondary,no,Low,no,no,cellular,aug,2,unknown,no
<=33,admin.,married,tertiary,no,Low,no,yes,cellular,may,2,unknown,no
<=33,blue-collar,single,secondary,no,Low,yes,no,cellular,may,3,unknown,no
<=33,admin.,single,secondary,no,Low,no,no,cellular,jul,3,unknown,no
<=33,blue-collar,married,secondary,no,Low,yes,yes,cellular,jul,11,unknown,no
<=33,admin.,married,secondary,no,Low,no,no,telephone,jun,2,unknown,no
<=33,technician,married,secondary,no,Low,yes,yes,cellular,aug,3,unknown,no
<=33,self-employed,married,tertiary,no,Low,yes,no,cellular,jul,4,unknown,no
<=33,technician,married,secondary,no,Low,no,no,cellular,apr,1,failure,no
<=33,blue-collar,single,secondary,no,Low,no,no,cellular,jul,1,unknown,no
<=33,management,single,secondary,no,Low,no,no,cellular,oct,1,unknown,no
<=33,student,single,unknown,no,Low,no,no,cellular,jul,3,unknown,no
<=33,blue-collar,married,primary,no,Low,yes,yes,cellular,may,3,unknown,no
<=33,admin.,single,secondary,no,Low,yes,no,unknown,jul,11,unknown,no
<=33,blue-collar,divorced,unknown,no,Low,yes,no,unknown,may,4,unknown,no
<=33,blue-collar,married,secondary,no,Low,yes,no,unknown,may,11,unknown,no
<=33,technician,single,secondary,no,Low,no,no,cellular,aug,2,unknown,no
<=33,technician,married,secondary,no,Low,no,yes,cellular,jul,3,unknown,no
<=33,student,married,tertiary,no,Low,yes,no,cellular,jul,1,unknown,no
<=33,blue-collar,married,primary,no,Low,yes,no,cellular,feb,1,unknown,no
<=33,management,divorced,tertiary,no,Low,yes,yes,unknown,may,4,unknown,no
<=33,blue-collar,married,secondary,no,Low,yes,no,cellular,jul,4,unknown,no
<=33,management,divorced,tertiary,no,Low,yes,no,unknown,may,4,unknown,no
<=33,entrepreneur,single,secondary,no,Low,yes,yes,cellular,may,1,unknown,no
<=33,blue-collar,single,secondary,no,Low,no,no,cellular,feb,2,unknown,no
<=33,admin.,married,secondary,no,Low,yes,no,cellular,nov,2,unknown,no
<=33,services,divorced,secondary,no,Low,yes,no,unknown,may,2,unknown,no
<=33,management,divorced,tertiary,no,Low,no,no,cellular,aug,2,unknown,no
<=33,management,married,tertiary,no,Low,yes,no,cellular,jul,1,unknown,no
<=33,management,married,tertiary,no,Low,yes,no,cellular,jul,8,unknown,no
<=33,services,single,secondary,no,Low,yes,no,unknown,may,2,unknown,no
<=33,self-employed,married,secondary,no,Low,no,yes,unknown,jul,1,other,no
<=33,blue-collar,single,secondary,no,Low,yes,no,cellular,may,3,unknown,no
<=33,blue-collar,single,secondary,no,Low,no,no,unknown,may,2,unknown,no
<=33,blue-collar,married,secondary,no,Low,no,no,cellular,feb,2,unknown,no
<=33,admin.,married,secondary,no,Low,yes,no,unknown,may,2,unknown,no
<=33,technician,single,secondary,no,Low,no,no,cellular,aug,2,unknown,no
<=33,services,single,secondary,no,Low,yes,no,unknown,may,3,unknown,no
<=33,blue-collar,married,secondary,no,Low,yes,no,cellular,may,9,failure,no
<=33,technician,divorced,secondary,yes,Low,yes,yes,cellular,nov,5,unknown,no
<=33,technician,married,secondary,no,Low,yes,no,unknown,jun,3,unknown,no
<=33,services,single,secondary,no,Low,yes,yes,cellular,may,1,unknown,no
<=33,technician,single,secondary,no,Low,no,no,cellular,aug,6,unknown,no
<=33,blue-collar,married,primary,no,Low,yes,no,cellular,may,2,unknown,no
<=33,blue-collar,married,secondary,no,Low,yes,no,cellular,may,2,unknown,no
<=33,services,single,secondary,no,Low,yes,no,cellular,may,1,unknown,no
<=33,admin.,single,secondary,no,Low,yes,yes,cellular,may,3,other,no
<=33,blue-collar,single,secondary,no,Low,no,no,cellular,jul,1,failure,no
<=33,blue-collar,single,secondary,no,Low,yes,no,cellular,may,2,unknown,no
<=33,services,married,secondary,no,Low,no,no,cellular,jul,2,unknown,no
<=33,services,single,secondary,no,Low,no,no,cellular,jan,4,unknown,no
<=33,student,single,unknown,no,Low,no,no,cellular,feb,3,unknown,no
<=33,technician,married,tertiary,no,Low,no,no,cellular,jul,4,unknown,no
<=33,blue-collar,married,secondary,no,Low,yes,no,unknown,jul,3,unknown,no
<=33,services,married,secondary,no,Low,yes,no,telephone,jul,8,unknown,no
<=33,technician,single,secondary,no,Low,no,no,cellular,aug,2,unknown,no
<=33,services,married,secondary,no,Low,yes,yes,unknown,may,2,unknown,no
<=33,management,married,secondary,no,Low,yes,no,unknown,may,2,unknown,no
<=33,blue-collar,married,primary,no,Low,yes,no,cellular,may,2,unknown,no
<=33,blue-collar,single,secondary,no,Low,no,no,cellular,jul,17,unknown,no
<=33,student,single,unknown,no,Low,no,no,cellular,aug,1,unknown,no
<=33,blue-collar,single,secondary,no,Low,yes,no,unknown,may,2,unknown,no
<=33,blue-collar,married,primary,no,Low,yes,yes,unknown,may,4,unknown,no
<=33,blue-collar,married,secondary,no,Low,no,yes,unknown,jul,1,unknown,no
<=33,management,married,tertiary,no,Low,yes,no,cellular,jul,5,unknown,no
<=33,management,single,tertiary,no,Low,yes,no,cellular,mar,2,unknown,yes
<=33,management,single,tertiary,no,Low,no,no,cellular,aug,16,unknown,no
<=33,technician,divorced,tertiary,no,Low,no,no,cellular,may,1,unknown,no
<=33,admin.,married,secondary,no,Low,no,no,unknown,may,1,unknown,no
<=33,blue-collar,married,secondary,no,Low,yes,yes,cellular,jul,12,unknown,no
<=33,services,married,secondary,no,Low,yes,no,unknown,may,2,unknown,no
<=33,entrepreneur,single,secondary,no,Low,no,no,cellular,jan,3,unknown,no
<=33,technician,married,secondary,no,Low,yes,yes,cellular,may,1,unknown,no
<=33,technician,married,secondary,no,Low,no,no,cellular,aug,2,unknown,no
<=33,management,married,secondary,no,Low,yes,no,cellular,may,3,unknown,no
<=33,blue-collar,single,secondary,no,Low,yes,no,cellular,may,1,failure,no
<=33,admin.,single,secondary,no,Low,yes,yes,cellular,may,2,unknown,no
<=33,management,married,tertiary,no,Low,no,no,cellular,aug,4,unknown,no
<=33,self-employed,single,tertiary,no,Low,no,no,cellular,feb,1,unknown,no
<=33,self-employed,single,tertiary,no,Low,no,no,cellular,nov,1,unknown,no
<=33,services,married,secondary,no,Low,yes,no,unknown,may,2,unknown,no
<=33,admin.,single,secondary,no,Low,yes,yes,cellular,feb,2,unknown,no
<=33,management,single,tertiary,no,Low,no,no,cellular,jul,1,unknown,no
<=33,blue-collar,single,primary,no,Low,no,no,unknown,jun,1,unknown,no
<=33,services,single,secondary,no,Low,yes,no,unknown,may,7,unknown,no
<=33,management,single,tertiary,no,Low,no,no,unknown,may,25,unknown,no
<=33,services,married,secondary,no,Low,yes,no,unknown,may,9,unknown,no
<=33,technician,single,secondary,no,Low,yes,no,cellular,jul,2,unknown,no
<=33,services,married,tertiary,no,Low,yes,no,unknown,may,1,unknown,no
<=33,admin.,married,secondary,no,Low,no,no,cellular,oct,2,unknown,no
<=33,student,single,secondary,no,Low,no,no,cellular,feb,2,unknown,no
<=33,services,single,secondary,no,Low,no,no,cellular,jul,23,unknown,no
<=33,blue-collar,married,secondary,no,Low,yes,no,cellular,may,1,unknown,no
<=33,management,single,tertiary,no,Low,no,yes,cellular,jul,1,unknown,no
<=33,student,single,secondary,no,Low,yes,no,cellular,nov,1,unknown,no
<=33,management,married,tertiary,no,Low,yes,no,cellular,may,1,unknown,no
<=33,retired,single,secondary,no,Low,no,yes,unknown,may,2,unknown,no
<=33,housemaid,single,tertiary,no,Low,yes,no,cellular,nov,1,unknown,no
<=33,technician,single,tertiary,no,Low,no,no,cellular,aug,3,unknown,no
<=33,services,single,secondary,no,Low,yes,no,unknown,may,1,unknown,no
<=33,student,single,secondary,no,Low,no,no,cellular,nov,1,failure,no
<=33,technician,divorced,tertiary,no,Low,no,no,cellular,aug,5,unknown,no
<=33,blue-collar,married,secondary,no,Low,yes,no,unknown,may,3,unknown,no
<=33,technician,single,tertiary,no,Low,yes,no,cellular,apr,1,unknown,no
<=33,student,single,tertiary,no,Low,no,no,cellular,sep,1,unknown,no
<=33,blue-collar,single,primary,no,Low,yes,no,cellular,jan,1,failure,no
<=33,unknown,divorced,tertiary,no,Low,no,no,cellular,aug,9,unknown,no
<=33,technician,single,secondary,no,Low,no,no,cellular,aug,2,unknown,no
<=33,admin.,married,secondary,no,Low,no,no,cellular,jan,3,unknown,no
<=33,blue-collar,married,primary,no,Low,yes,no,unknown,may,2,unknown,no
<=33,admin.,married,secondary,no,Low,yes,no,cellular,jul,3,unknown,no
<=33,management,single,tertiary,no,Low,no,no,cellular,aug,4,unknown,no
<=33,admin.,single,secondary,no,Low,yes,no,cellular,nov,1,unknown,no
<=33,admin.,married,secondary,no,Low,yes,no,cellular,jul,12,unknown,no
<=33,services,single,secondary,no,Low,yes,no,unknown,may,10,unknown,no
<=33,blue-collar,married,secondary,no,Low,yes,no,cellular,apr,2,unknown,no
<=33,technician,divorced,secondary,no,Low,yes,no,cellular,may,2,unknown,no
