"Y"_City,_Arkansas 34.735104 -94.073257
Auburndale,_Wisconsin 44.6269064 -90.0076294
Augusta,_Georgia 33.4734978 -82.0105148
Augusta,_Kansas 37.6866844 -96.9767023
Augusta,_Maine 44.3106241 -69.7794897
Augusta,_Wisconsin 44.6802386 -91.1198755
Aulac,_New_Brunswick 45.868455 -64.282426
Ault,_Colorado 40.5824804 -104.7319112
Aurelia,_Iowa 42.71276 -95.4366701
Aurora,_Illinois 41.7605849 -88.3200715
Aurora,_Kentucky 36.7767204 -88.1441967
Auroraville,_Wisconsin 44.0519247 -88.9926155
Austin,_Minnesota 43.6666296 -92.9746367
Austin,_Nevada 39.4925701 -117.0672356
Austin,_Texas 30.267153 -97.7430608
Austintown,_Ohio 41.1017247 -80.7645239
Avinger,_Texas 32.8998554 -94.5563119
Avoca,_Iowa 41.4766571 -95.3380549
Avoca,_New_York 42.4095147 -77.4213729
Avon,_Connecticut 41.8096201 -72.8305154
Avon,_Maine 44.8061682 -70.2711766
Avon,_Montana 46.5985184 -112.5963047
Avondale,_Pennsylvania 39.823443 -75.783273
Axtell,_Nebraska 40.4777906 -99.1259225
Azalea_Park,_Florida 28.5411128 -81.3006237
Aztec,_New_Mexico 36.8222261 -107.9928455
Babb,_Montana 48.860261 -113.4367629
Babcock,_Wisconsin 44.3030048 -90.1113719
Bad_Axe,_Michigan 43.8019592 -83.0007774
Badham,_South_Carolina 33.1957177 -80.6112086
Bainbridge,_Georgia 30.9037995 -84.5754699
Bainbridge,_Ohio 41.3992634 -81.3344408
Baird,_Texas 32.3940168 -99.3942436
Baker,_California 35.2675155 -116.0739073
Bakersfield,_California 35.3732921 -119.0187125
Bakerville,_Wisconsin 44.6271855 -90.2181884
Bala,_Kansas 39.3097187 -96.9497353
Bala-Cynwyd,_Pennsylvania 40.0131418 -75.2304038
Balch_Springs,_Texas 32.7287413 -96.6227714
Balcones_Heights,_Texas 29.4880086 -98.5516856
Bald_Eagle,_Pennsylvania 40.72263 -78.183899
Bald_Knob,_Arkansas 35.3098066 -91.5679114
Baldwin,_Florida 30.3027384 -81.9753865
Baldwin,_Michigan 43.9011229 -85.8517287
Baldwin_Park,_California 34.0852868 -117.9608978
Balko,_Oklahoma 36.6300272 -100.6848736
Ballinger,_Texas 31.7382062 -99.9473077
Balsam_Lake,_Wisconsin 45.4521807 -92.4546428
Baltimore,_Maryland 39.2903848 -76.6121893
Bandon,_Oregon 43.1189978 -124.408448
Banff,_Alberta 51.1783629 -115.5707694
Bangor,_Maine 44.8011821 -68.7778138
Banks,_Oregon 45.6187245 -123.1142758
Bankston,_Alabama 33.6714991 -87.6714017
Bar_Harbor,_Maine 44.3876119 -68.2039123
Barachois_Pond_Provincial_Park,_Newfoundland 48.4747007 -58.2543908
Barberton,_Ohio 41.012833 -81.6051221
Barberville,_Florida 29.1872023 -81.420901
Bardstown,_Kentucky 37.8092279 -85.4669025
Baring,_Maine 45.133367 -67.3116215
Barkleyville,_Pennsylvania 41.1920042 -79.9756122
Barksdale,_Wisconsin 46.6213302 -90.9321314
Barnard,_South_Dakota 45.7326975 -98.4969284
Barnberg,_South_Carolina 33.2971012 -81.0348202
Barnesville,_Georgia 33.0545709 -84.1557495
Barnesville,_Minnesota 46.6533237 -96.4200126
Barnett_Crossroads,_Alabama 31.2212838 -87.3044234
Barneveld,_New_York 43.2722916 -75.1898871
Barnhart,_Texas 31.1279389 -101.170668
Barnsdall,_Oklahoma 36.5620247 -96.1616673
Barnstable,_Massachusetts 41.7003208 -70.3002024
Barre,_Vermont 44.1970055 -72.5020494
Barrett,_Minnesota 45.9107726 -95.8902664
Barrington,_New_Hampshire 43.2228599 -71.0470077
Barron,_Wisconsin 45.4013471 -91.8490626
Barry,_Illinois 39.6942134 -91.0390246
Barstow,_California 34.8957957 -117.0172826
Barstow,_Illinois 41.5183673 -90.3570721
Bartlesville,_Oklahoma 36.7473114 -95.9808179
Barton,_Vermont 44.7480805 -72.176258
Barton_Hills_Village,_Michigan 42.307293 -83.75228
Bartonsville,_Pennsylvania 41.0038964 -75.2776634
Bartonville,_Illinois 40.6503158 -89.6520455
Bartow,_Florida 27.8964147 -81.8431374
Bartow,_Georgia 32.8787666 -82.4737399
Barwick,_Ontario 48.6477138 -93.9848425
Basehor,_Kansas 39.1416692 -94.9385762
Bassett,_Nebraska 42.5858337 -99.5378941
Bastrop,_Louisiana 32.7562463 -91.8723497
Bastrop,_Texas 30.1104947 -97.3152701
Batavia,_New_York 42.9981156 -78.1875167
Batesville,_Arkansas 35.769799 -91.6409721
Batesville,_Mississippi 34.3114982 -89.9442567
Bath,_Ohio 41.1889763 -81.636425
Bathurst,_New_Brunswick 47.6183507 -65.6513358
Baton_Rouge,_Louisiana 30.4582829 -91.1403196
Battle_Creek,_Michigan 42.3211522 -85.1797142
Battle_Mountain,_Nevada 40.6421334 -116.9342671
Baudette,_Minnesota 48.7124736 -94.5999299
Baxley,_Georgia 31.7782514 -82.3484618
Baxter,_Kentucky 36.8598108 -83.330737
Baxter_Springs,_Kansas 37.0236759 -94.7355042
Bay_Bridge,_Ohio 41.6889302 -83.4172251
Bay_City,_Michigan 43.5944677 -83.8888647
Bay_City,_Texas 28.9827565 -95.969402
Bay_Minette,_Alabama 30.8829628 -87.7730474
Bayfield,_New_Brunswick 46.137643 -63.816857
Bayside,_Wisconsin 43.1805645 -87.9006421
Bean_Station,_Tennessee 36.3437016 -83.284062
Bear_Creek,_Wisconsin 44.531369 -88.7264875
Bear_Creek_Springs,_Arkansas 36.296188 -93.182571
Bear_Mountain,_New_York 41.3128717 -74.0062519
Beatrice,_Nebraska 40.2659269 -96.7466913
Beatty,_Nevada 36.9085566 -116.7592265
Beaumont,_California 33.9294606 -116.977248
Beaumont,_Mississippi 31.1693496 -88.9200444
Beaumont,_Texas 30.080174 -94.1265562
Beaumont_Place,_Texas 29.8329746 -95.1992685
Beaver,_Iowa 42.0383148 -94.1421817
Beaver_Dam,_Wisconsin 43.4577692 -88.837329
Beavercreek,_Ohio 39.7092262 -84.0632685
Beaverdam,_Ohio 40.8333852 -83.9766102
Beaverton,_Oregon 45.487062 -122.8037102
Becket_Center,_Massachusetts 42.2834213 -73.0634361
Beckley,_West_Virginia 37.7781702 -81.1881557
Beddington,_Maine 44.8481283 -68.0619547
Bedford,_Indiana 38.8611619 -86.4872149
Bedford,_Iowa 40.666932 -94.721358
Bedford,_Pennsylvania 40.0186921 -78.5039069
Bedford,_Texas 32.844017 -97.1430671
Bedford_Heights,_Ohio 41.4057717 -81.4981174
Beebe,_Arkansas 35.0706423 -91.8795856
Beeville,_Texas 28.4008319 -97.7483312
Beiseker,_Alberta 51.3850292 -113.535263
Bel_Air,_Maryland 39.5359406 -76.3482931
Belchertown,_Massachusetts 42.2770346 -72.4008884
Belfast,_Maine 44.4259092 -69.0064234
Belfield,_North_Dakota 46.8852906 -103.1996219
Belgrade,_Minnesota 45.4530207 -95.0044608
Belgrade,_Montana 45.7762463 -111.1770945
Bellaire,_Ohio 40.0161843 -80.7423054
Bellaire,_Texas 29.7057858 -95.4588299
Belle_Fourche,_South_Dakota 44.6713733 -103.852148
Belle_Glade,_Florida 26.6845104 -80.6675577
Bellefontaine,_Ohio 40.3611643 -83.7596557
Bellefonte,_Arkansas 36.2009054 -93.048508
Belleview,_Missouri 37.687023 -90.7403619
Belleville,_Kansas 39.8244501 -97.6325415
Bellevue,_Nebraska 41.1543623 -95.9145568
Bellevue,_Ohio 41.2736647 -82.8415763
Bellevue,_Washington 47.610377 -122.2006786
Bellevue,_Wisconsin 44.4643249 -87.9563148
Bellingham,_Washington 48.74908 -122.4781473
Bellmawr,_New_Jersey 39.8676134 -75.0946182
Bells,_Tennessee 35.7111846 -89.087565
Bells,_Texas 33.6103837 -96.4108188
Belmont,_Mississippi 34.5098192 -88.20921
Beloit,_Kansas 39.4561178 -98.1061595
Beloit,_Wisconsin 42.5083482 -89.0317765
Belpre,_Ohio 39.2739639 -81.5729029
Belvedere,_South_Carolina 33.5309691 -81.9448369
Belvidere,_New_York 40.6994141 -73.9362051
Belzoni,_Mississippi 33.1842911 -90.4892562
Bemidji,_Minnesota 47.4875361 -94.8858492
Bemus_Point,_New_York 42.1617242 -79.3917144
Benbrook,_Texas 32.673188 -97.4605759
Bend,_Oregon 44.0581728 -121.3153096
Benicia,_California 38.049365 -122.1585777
Benkelman,_Nebraska 40.047217 -101.5332221
Bennington,_Kansas 39.0305556 -97.5941992
Bennington,_Vermont 42.8781345 -73.1967741
Benson,_Arizona 31.9678611 -110.2945174
Benson,_Minnesota 45.3149603 -95.6000349
Benson,_North_Carolina 35.3821067 -78.548621
Benton,_California 37.819099 -118.4765094
Benton,_Kentucky 36.8572781 -88.350315
Benton,_Missouri 37.0978279 -89.5625848
Benton_Harbor,_Michigan 42.1167065 -86.4541894
Bentonville,_Arkansas 36.3728538 -94.2088172
Benzonia,_Michigan 44.6213885 -86.0992576
Beresford,_South_Dakota 43.0805446 -96.773655
Bergland,_Michigan 46.5924472 -89.5732099
Berkshire,_Ohio 40.2653399 -82.9087916
Berlin,_Maryland 38.3226153 -75.2176892
Berlin,_New_Hampshire 44.4686696 -71.1850768
Berlin_Corners,_Vermont 44.2100604 -72.5759414
Bernalillo,_New_Mexico 35.30004 -106.5511369
Bernardo,_New_Mexico 34.4186756 -106.8336377
Bernardston,_Massachusetts 42.6710048 -72.5483277
Berrien_Springs,_Michigan 41.9464342 -86.338905
Berry_Mills,_New_Brunswick 46.109954 -64.939058
Berryville,_Arkansas 36.364792 -93.5679667
Berryville,_Virginia 39.1517713 -77.9822193
Bertram,_Iowa 41.9497259 -91.5354538
Bertrand,_Michigan 41.7929019 -86.3680869
Bethany,_California 33.5026565 -117.7140767
Bethany,_Missouri 40.2683344 -94.0282861
Bethel,_Indiana 39.9867145 -84.8302381
Bethel,_Maine 44.4044586 -70.7898806
Bethel,_North_Carolina 35.8071028 -77.3788558
Bethel,_Tennessee 36.3714403 -87.1783382
Bethel,_Vermont 43.8332779 -72.633995
Bethesda,_Maryland 38.984652 -77.0947092
Bethlehem,_New_Hampshire 44.2803843 -71.6875364
Bethlehem,_West_Virginia 40.043962 -80.6906355
Bettendorf,_Iowa 41.56085 -90.48344
Beulah,_North_Dakota 47.2633403 -101.7779462
Bevington,_Iowa 41.3605472 -93.7907776
Bevis,_Ohio 39.2575569 -84.6016127
Biddeford,_Maine 43.4925843 -70.4533844
Big_Bend,_Texas 29.1274869 -103.2425379
Big_Bend,_Wisconsin 42.8814034 -88.2067573
Big_Cabin,_Oklahoma 36.5378651 -95.221358
Big_Falls,_Minnesota 48.1910626 -93.8065692
Big_Lake,_Minnesota 45.3331421 -93.7335062
Big_Lake,_Texas 31.1915437 -101.4603945
Big_Rapids,_Michigan 43.6980782 -85.4836557
Big_Spring,_Texas 32.2503979 -101.4787355
Big_Timber,_Montana 45.8343543 -109.9540644
Bigfork,_Montana 48.0632864 -114.0726134
Biggs,_Oregon 45.5918204 -120.6992379
Billings,_Missouri 37.0675544 -93.5521411
Billings,_Montana 45.7832856 -108.5006904
Billsburg,_South_Dakota 44.4005405 -101.6801452
Biloxi,_Mississippi 30.3960318 -88.8853078
Binger,_Oklahoma 35.3089454 -98.3420014
Bingham,_Maine 45.0586793 -69.8823059
Binghamton,_New_York 42.0986867 -75.9179738
Bird_City,_Kansas 39.7508287 -101.5329438
Birmingham,_Alabama 33.5206608 -86.80249
Bisbee,_Arizona 31.4481547 -109.9284084
Bishop,_California 37.3614238 -118.3996636
Bismarck,_North_Dakota 46.8083268 -100.7837392
Bixby,_Missouri 37.660324 -91.1151323
Black_Creek,_Wisconsin 44.4774856 -88.4506568
Black_Diamond,_Alberta 50.6883865 -114.2326442
Black_Gap,_Pennsylvania 39.9440564 -77.5569257
Black_River_Falls,_Wisconsin 44.2946833 -90.8515311
Blackduck,_Minnesota 47.7330101 -94.548579
Blackfoot,_Idaho 43.1904709 -112.3449773
Blackstone,_Virginia 37.080428 -77.9972259
Blackton,_Arkansas 34.6675977 -91.1042873
Blackwell,_Texas 32.0868017 -100.3175971
Blaine,_Washington 48.993723 -122.7471191
Blair,_Nebraska 41.5446975 -96.1350702
Blair,_Wisconsin 44.2944029 -91.2351602
Blairsburg,_Iowa 42.4814442 -93.6430922
Blairsden,_California 39.7810095 -120.6166077
Blairsville,_Georgia 34.8761989 -83.9582412
Blakely,_Georgia 31.3776754 -84.934092
Blanding,_Utah 37.6241646 -109.478177
Blaney_Park,_Michigan 46.1155353 -85.9270683
Blomkest,_Minnesota 44.9427397 -95.0233368
Bloomer,_Wisconsin 45.1002389 -91.4887724
Bloomfield,_Indiana 39.0269903 -86.9375068
Bloomfield,_Iowa 40.7516884 -92.4149074
Bloomfield,_New_Mexico 36.7111165 -107.9845116
Bloomfield_Hills,_Michigan 42.583645 -83.2454883
Bloomingdale,_New_Jersey 41.002042 -74.3265388
Bloomington,_Illinois 40.4842027 -88.9936873
Bloomington,_Indiana 39.165325 -86.5263857
Bloomington,_Minnesota 44.840798 -93.2982799
Blue_Earth,_Minnesota 43.6375818 -94.1023906
Blue_Mound,_Texas 32.8565166 -97.3389061
Blue_Mountain_Lake,_New_York 43.8553412 -74.4434931
Blue_Ridge,_Georgia 34.8639719 -84.324087
Blue_Springs,_Missouri 39.0169509 -94.2816148
Blue_Summit,_Missouri 39.0886727 -94.4812434
Bluefield,_West_Virginia 37.2698395 -81.2223195
Bluff,_Utah 37.2844448 -109.5517877
Blythe,_California 33.6177725 -114.5882607
Blytheville,_Arkansas 35.9272953 -89.9189753
Boardman,_Oregon 45.839855 -119.7005834
Bodega_Bay,_California 38.33325 -123.0480571
Bogalusa,_Louisiana 30.7910204 -89.8486858
Bogata,_Texas 33.4706655 -95.2138351
Bogue,_Kansas 39.3625071 -99.6873364
Boise,_Idaho 43.6187102 -116.2146068
Boise_City,_Oklahoma 36.7294675 -102.5132419
Bolingbrook,_Illinois 41.6986416 -88.0683955
Bolinger,_Alabama 31.7784899 -88.331129
Bolivar,_Missouri 37.6144838 -93.4104749
Bolivar,_Tennessee 35.2561937 -88.9878389
Bolton_Notch,_Connecticut 41.7803041 -72.4451381
Boltonville,_Vermont 44.1708963 -72.0998149
Bon_Air,_Virginia 37.5248695 -77.5577653
Bonduel,_Wisconsin 44.7402679 -88.4448242
Bonner_Springs,_Kansas 39.059726 -94.8835754
Bonners_Ferry,_Idaho 48.6913257 -116.3163092
Boone,_North_Carolina 36.216795 -81.6745517
Boonville,_Missouri 38.9736392 -92.7432418
Boonville,_New_York 43.4836801 -75.3365607
Borger,_Texas 35.6678203 -101.3973876
Boron,_California 34.9994202 -117.6497822
Boscawen,_New_Hampshire 43.3243931 -71.636864
Boscobel,_Wisconsin 43.1344289 -90.7054045
Bosler,_Wyoming 41.576084 -105.6952708
Bossier_City,_Louisiana 32.5159852 -93.7321228
Boston,_Massachusetts 42.3600825 -71.0588801
Boston_Heights,_Ohio 41.264778 -81.5131709
Bothell,_Washington 47.7623204 -122.2054035
Bottineau,_North_Dakota 48.8272301 -100.4456984
Bottom,_North_Carolina 36.4748759 -80.7738212
Boulder,_Colorado 40.0149856 -105.2705456
Boulder,_Montana 46.2365947 -112.1208336
Boulder_City,_Nevada 35.9782216 -114.8345117
Boulevard,_California 32.6636254 -116.2738148
Bouton,_Iowa 41.8513741 -94.0091208
Boutte,_Louisiana 29.9024284 -90.3881369
Bow_Mills,_New_Hampshire 43.167026 -71.5331266
Bowbells,_North_Dakota 48.8030833 -102.2460008
Bowdon,_North_Dakota 47.4697217 -99.7078981
Bowers_Hill,_Virginia 36.784973 -76.411255
Bowie,_Texas 33.5589953 -97.8486457
Bowling_Green,_Kentucky 36.9685219 -86.4808043
Bowling_Green,_Missouri 39.3419891 -91.1951437
Bowling_Green,_Ohio 41.3747744 -83.6513229
Bowman,_North_Dakota 46.1830618 -103.3949061
Boxborough,_Massachusetts 42.4834197 -71.5167139
Boyce,_Virginia 39.0931617 -78.0594426
Boyceville,_Wisconsin 45.0435742 -92.0410145
Boyds_Corner,_Delaware 39.5031568 -75.6817652
Boynton,_Oklahoma 35.6487119 -95.6560949
Bozeman,_Montana 45.6769979 -111.0429339
Bozeman_Hot_Spings,_Montana 45.6599292 -111.1852303
Braddock_Heights,_New_York 40.728006 -73.7341564
Bradenton,_Florida 27.4989278 -82.5748194
Bradford,_New_Hampshire 43.2687048 -71.9576292
Bradford,_Vermont 43.9925666 -72.1289793
Brady,_Texas 31.1351682 -99.3350552
Braham,_Minnesota 45.7222222 -93.17
Brainard,_New_York 42.4963527 -73.5137654
Brainerd,_Minnesota 46.3526733 -94.2020084
Braintree,_Massachusetts 42.2079017 -71.0040013
Branch,_Missouri 37.9108682 -93.0051897
Branch,_Wisconsin 44.1458275 -87.7611988
